date_obj,Red%20hat price
2015-03-04,7607
2015-03-05,7607
2015-03-06,7607
2015-03-07,7607
2015-03-08,7607
2015-03-09,7237
2015-03-10,7237
2015-03-11,7237
2015-03-12,7237
2015-03-13,7237
2015-03-14,7237
2015-03-15,7237
2015-03-16,6880
2015-03-17,6880
2015-03-18,6880
2015-03-19,6880
2015-03-20,6880
2015-03-21,6880
2015-03-22,6536
2015-03-23,6536
2015-03-24,6536
2015-03-25,6536
2015-03-26,6536
2015-03-27,6536
2015-03-28,6215
2015-03-29,6215
2015-03-30,6215
2015-03-31,6215
2015-04-01,6215
2015-04-02,5909
2015-04-03,5909
2015-04-04,5909
2015-04-05,5909
2015-04-06,5909
2015-04-07,5613
2015-04-08,5613
2015-04-09,5613
2015-04-10,5613
2015-04-11,5613
2015-04-12,5334
2015-04-13,5334
2015-04-14,5334
2015-04-15,5334
2015-04-16,5334
2015-04-17,5334
2015-04-18,5067
2015-04-19,5067
2015-04-20,5067
2015-04-21,5067
2015-04-22,5067
2015-04-23,5067
2015-04-24,4814
2015-04-25,4814
2015-04-26,4814
2015-04-27,4814
2015-04-28,4814
2015-04-29,4814
2015-04-30,4575
2015-05-01,4575
2015-05-02,4575
2015-05-03,4575
2015-05-04,4575
2015-05-05,4356
2015-05-06,4356
2015-05-07,4356
2015-05-08,4356
2015-05-09,4356
2015-05-10,4140
2015-05-11,4140
2015-05-12,4140
2015-05-13,4140
2015-05-14,4140
2015-05-15,4140
2015-05-16,4140
2015-05-17,3933
2015-05-18,3933
2015-05-19,3933
2015-05-20,3933
2015-05-21,3933
2015-05-22,3933
2015-05-23,3933
2015-05-24,3737
2015-05-25,3737
2015-05-26,3737
2015-05-27,3737
2015-05-28,3553
2015-05-29,3553
2015-05-30,3553
2015-05-31,3553
2015-06-01,3377
2015-06-02,3377
2015-06-03,3377
2015-06-04,3377
2015-06-05,3377
2015-06-06,3222
2015-06-07,3222
2015-06-08,3222
2015-06-09,3222
2015-06-10,3063
2015-06-11,3063
2015-06-12,3063
2015-06-13,3063
2015-06-14,3063
2015-06-15,2921
2015-06-16,2921
2015-06-17,2921
2015-06-18,2921
2015-06-19,2845
2015-06-20,2845
2015-06-21,2845
2015-06-22,2845
2015-06-23,2710
2015-06-24,2710
2015-06-25,2710
2015-06-26,2576
2015-06-27,2576
2015-06-28,2576
2015-06-29,2576
2015-06-30,2576
2015-07-01,2447
2015-07-02,2447
2015-07-03,2447
2015-07-04,2447
2015-07-05,2334
2015-07-06,2334
2015-07-07,2334
2015-07-08,2334
2015-07-09,2347
2015-07-10,2347
2015-07-11,2347
2015-07-12,2347
2015-07-13,2299
2015-07-14,2299
2015-07-15,2299
2015-07-16,2299
2015-07-17,2235
2015-07-18,2235
2015-07-19,2235
2015-07-20,2235
2015-07-21,2157
2015-07-22,2157
2015-07-23,2157
2015-07-24,2051
2015-07-25,2051
2015-07-26,2051
2015-07-27,2051
2015-07-28,1964
2015-07-29,1964
2015-07-30,1964
2015-07-31,1964
2015-08-01,1920
2015-08-02,1920
2015-08-03,1920
2015-08-04,1920
2015-08-05,1892
2015-08-06,1892
2015-08-07,1892
2015-08-08,1892
2015-08-09,1853
2015-08-10,1853
2015-08-11,1853
2015-08-12,1853
2015-08-13,1795
2015-08-14,1795
2015-08-15,1795
2015-08-16,1795
2015-08-17,1727
2015-08-18,1727
2015-08-19,1727
2015-08-20,1727
2015-08-21,1642
2015-08-22,1642
2015-08-23,1642
2015-08-24,1561
2015-08-25,1561
2015-08-26,1561
2015-08-27,1561
2015-08-28,1483
2015-08-29,1483
2015-08-30,1483
2015-08-31,1483
2015-09-02,1424
2015-09-07,1359
2015-09-08,1359
2015-09-10,1356
2015-09-14,1403
2015-09-16,1403
2015-09-22,1452
2015-09-23,1452
2015-09-24,1452
2015-09-25,1452
2015-09-27,1492
2015-09-28,1492
2015-09-29,1492
2015-09-30,1517
2015-10-05,1564
2015-10-06,1564
2015-10-07,1564
2015-10-08,1564
2015-10-09,1570
2015-10-10,1570
2015-10-11,1570
2015-10-12,1570
2015-10-13,1570
2015-10-14,1504
2015-10-15,1504
2015-10-16,1504
2015-10-17,1504
2015-10-18,1430
2015-10-19,1430
2015-10-20,1430
2015-10-22,1391
2015-10-23,1391
2015-10-24,1391
2015-10-25,1373
