date_obj,Mystic%20gloves%20(dusk) price
2019-01-10,11000
2019-01-11,11500
2019-01-12,12032
2019-01-13,12583
2019-01-14,13195
2019-01-15,13822
2019-01-16,14450
2019-01-17,15134
2019-01-18,15792
2019-01-19,16473
2019-01-20,17255
2019-01-21,18072
2019-01-22,18924
2019-01-23,19808
2019-01-24,20756
2019-01-25,21696
2019-01-26,22670
2019-01-27,23742
2019-01-28,24858
2019-01-29,26006
2019-01-30,26006
2019-01-31,27236
2019-02-01,28546
2019-02-02,28546
2019-02-03,29974
2019-02-04,29974
2019-02-05,31153
2019-02-06,31153
2019-02-07,31731
2019-02-08,31731
2019-02-09,32338
2019-02-10,32338
2019-02-11,31870
2019-02-12,31870
2019-02-13,30801
2019-02-14,30801
2019-02-15,30348
2019-02-16,30348
2019-02-17,31234
2019-02-18,31234
2019-02-19,31489
2019-02-20,31489
2019-02-21,32672
2019-02-22,32672
2019-02-23,31127
2019-02-24,31127
2019-02-25,31330
2019-02-26,31330
2019-02-27,32572
2019-02-28,32572
2019-03-01,34183
2019-03-02,34183
2019-03-03,35888
2019-03-04,35888
2019-03-05,36412
2019-03-06,36213
2019-03-07,36213
2019-03-08,35027
2019-03-09,35027
2019-03-10,34521
2019-03-11,34521
2019-03-12,36248
2019-03-13,36248
2019-03-14,37838
2019-03-15,37838
2019-03-16,37838
2019-03-17,39730
2019-03-18,39730
2019-03-19,39730
2019-03-20,41592
2019-03-21,41592
2019-03-22,41592
2019-03-23,43651
2019-03-24,43651
2019-03-25,43651
2019-03-26,45223
2019-03-27,45223
2019-03-28,45223
2019-03-29,42970
2019-03-30,42970
2019-03-31,41054
2019-04-01,41054
2019-04-02,39071
2019-04-03,39071
2019-04-04,38297
2019-04-05,38297
2019-04-06,38297
2019-04-07,36884
2019-04-08,36884
2019-04-09,36884
2019-04-10,35912
2019-04-11,35912
2019-04-12,35912
2019-04-13,36914
2019-04-14,36914
2019-04-15,36385
2019-04-16,36385
2019-04-17,36385
2019-04-18,35238
2019-04-19,35238
2019-04-20,35238
2019-04-21,35606
2019-04-22,35606
2019-04-23,34146
2019-04-24,34146
2019-04-25,32543
2019-04-26,32543
2019-04-27,31135
2019-04-28,31135
2019-04-29,31135
2019-04-30,31478
2019-05-01,31478
2019-05-02,31478
2019-05-03,29953
2019-05-04,29953
2019-05-05,29279
2019-05-06,29279
2019-05-07,29279
2019-05-08,28458
2019-05-09,28458
2019-05-10,28458
2019-05-11,28928
2019-05-12,28928
2019-05-13,29368
2019-05-14,29368
2019-05-15,29368
2019-05-16,29637
2019-05-17,29637
2019-05-18,29637
2019-05-19,30663
2019-05-20,30663
2019-05-21,30663
2019-05-22,31716
2019-05-23,31716
2019-05-24,31716
2019-05-25,31353
2019-05-26,31353
2019-05-27,31353
2019-05-28,32458
2019-05-29,32458
2019-05-30,32458
2019-05-31,33668
2019-06-01,33668
2019-06-02,33668
2019-06-03,32876
2019-06-04,32876
2019-06-05,32876
2019-06-06,33348
2019-06-07,33348
2019-06-08,34956
2019-06-09,34956
2019-06-10,34956
2019-06-11,36679
2019-06-12,36679
2019-06-13,37606
2019-06-14,37606
2019-06-15,37606
2019-06-16,35976
2019-06-17,35976
2019-06-18,35976
2019-06-19,36116
2019-06-20,36116
2019-06-21,37902
2019-06-22,37902
2019-06-23,39138
2019-06-24,39138
2019-06-25,39138
2019-06-26,39677
2019-06-27,41492
2019-06-28,41492
2019-06-29,41492
2019-06-30,43473
2019-07-01,43473
2019-07-02,44993
2019-07-03,44993
2019-07-04,44993
2019-07-05,47243
2019-07-06,47243
2019-07-07,47243
2019-07-08,47312
2019-07-09,47312
2019-07-10,49339
2019-07-11,49339
2019-07-12,50562
2019-07-13,50562
2019-07-14,50562
2019-07-15,51538
2019-07-16,51538
2019-07-17,52472
2019-07-18,52472
2019-07-19,52472
2019-07-20,52472
2019-07-21,52985
2019-07-22,52985
2019-07-23,52985
2019-07-24,50460
2019-07-25,50460
2019-07-26,50460
2019-07-27,48145
2019-07-28,48145
2019-07-29,48145
2019-07-30,49746
2019-07-31,49746
2019-08-01,49746
2019-08-02,50071
2019-08-03,50071
2019-08-04,50071
2019-08-05,48230
2019-08-06,48230
2019-08-07,48230
2019-08-08,49708
2019-08-09,49708
2019-08-10,49708
2019-08-11,50407
2019-08-12,50407
2019-08-13,50407
2019-08-14,51782
2019-08-15,51782
2019-08-16,52327
2019-08-17,52327
2019-08-18,52327
2019-08-19,50170
2019-08-20,50170
2019-08-21,50170
2019-08-22,49160
2019-08-23,49160
2019-08-24,49160
2019-08-24,49160
2019-08-25,48036
2019-08-25,48036
2019-08-26,48036
2019-08-26,48036
2019-08-27,48036
2019-08-27,48036
2019-08-28,46169
2019-08-29,46169
2019-08-30,46169
2019-08-31,46169
2019-09-01,45658
2019-09-02,45658
2019-09-03,45658
2019-09-04,45051
2019-09-05,45051
2019-09-06,45051
2019-09-07,42929
2019-09-08,42929
2019-09-09,42929
2019-09-10,40910
2019-09-11,40910
2019-09-12,40910
2019-09-13,39920
2019-09-14,39920
2019-09-15,39920
2019-09-16,38161
2019-09-17,38161
2019-09-18,38161
2019-09-19,38426
2019-09-20,38426
2019-09-21,38426
2019-09-22,38214
2019-09-23,38214
2019-09-24,38214
2019-09-25,38445
2019-09-26,38445
2019-09-27,38445
2019-09-28,38445
2019-09-29,37452
2019-09-30,37452
2019-10-01,37452
2019-10-02,37622
2019-10-03,37622
2019-10-04,37622
2019-10-05,38412
2019-10-06,38412
2019-10-07,38412
2019-10-08,36668
2019-10-09,36668
2019-10-10,36668
2019-10-11,36668
2019-10-12,35998
2019-10-13,35998
2019-10-14,35998
2019-10-15,37706
2019-10-16,37706
2019-10-17,37706
2019-10-18,37084
2019-10-19,37084
2019-10-20,37084
2019-10-21,36423
2019-10-22,36423
2019-10-23,36423
2019-10-24,36423
2019-10-25,37263
2019-10-26,37263
2019-10-27,37263
2019-10-28,37656
2019-10-29,37656
2019-10-30,37656
2019-10-31,37656
2019-11-01,36688
