date_obj,Druid's%20robe%20top price
2015-03-26,2030
2015-03-27,2030
2015-03-28,2030
2015-03-29,2058
2015-03-30,2058
2015-03-31,2058
2015-04-01,2058
2015-04-02,2058
2015-04-03,2058
2015-04-04,2058
2015-04-05,2058
2015-04-06,2058
2015-04-07,2058
2015-04-08,2058
2015-04-09,2058
2015-04-10,2058
2015-04-11,2058
2015-04-12,2058
2015-04-13,2013
2015-04-14,2013
2015-04-15,2013
2015-04-16,2013
2015-04-17,2013
2015-04-18,2013
2015-04-19,2013
2015-04-20,2013
2015-04-21,2013
2015-04-22,2013
2015-04-23,2013
2015-04-24,2013
2015-04-25,2013
2015-04-26,2013
2015-04-27,2013
2015-04-28,2013
2015-04-29,2013
2015-04-30,2013
2015-05-01,2013
2015-05-02,2022
2015-05-03,2022
2015-05-04,2022
2015-05-05,2022
2015-05-06,2022
2015-05-07,2022
2015-05-08,2022
2015-05-09,2022
2015-05-10,2022
2015-05-11,2022
2015-05-12,2022
2015-05-13,2022
2015-05-14,2022
2015-05-15,2022
2015-05-16,2022
2015-05-17,2022
2015-05-18,2022
2015-05-19,2022
2015-05-20,1977
2015-05-21,1977
2015-05-22,1977
2015-05-23,1977
2015-05-24,1977
2015-05-25,1977
2015-05-26,1977
2015-05-27,1977
2015-05-28,1977
2015-05-29,1977
2015-05-30,1977
2015-05-31,1977
2015-06-01,1976
2015-06-02,1976
2015-06-03,1976
2015-06-04,1976
2015-06-05,1976
2015-06-06,1976
2015-06-07,1976
2015-06-08,1976
2015-06-09,1976
2015-06-10,1976
2015-06-11,1976
2015-06-12,1976
2015-06-13,1976
2015-06-14,1976
2015-06-15,1976
2015-06-16,2006
2015-06-17,2006
2015-06-18,2006
2015-06-19,2006
2015-06-20,2006
2015-06-21,2006
2015-06-22,2006
2015-06-23,2006
2015-06-24,2006
2015-06-25,2006
2015-06-26,2006
2015-06-27,2006
2015-06-28,2006
2015-06-29,2006
2015-06-30,2006
2015-07-01,2034
2015-07-02,2034
2015-07-03,2034
2015-07-04,2034
2015-07-05,2034
2015-07-06,2034
2015-07-07,2034
2015-07-08,2034
2015-07-09,2034
2015-07-10,2034
2015-07-11,2034
2015-07-12,2034
2015-07-13,2034
2015-07-14,2034
2015-07-15,2034
2015-07-16,2034
2015-07-17,2063
2015-07-18,2063
2015-07-19,2063
2015-07-20,2063
2015-07-21,2063
2015-07-22,2063
2015-07-23,2063
2015-07-24,2063
2015-07-25,2063
2015-07-26,2063
2015-07-27,2063
2015-07-28,2063
2015-07-29,2063
2015-07-30,2063
2015-07-31,2063
2015-08-01,2063
2015-08-02,2107
2015-08-03,2107
2015-08-04,2107
2015-08-05,2107
2015-08-06,2107
2015-08-07,2107
2015-08-08,2107
2015-08-09,2107
2015-08-10,2107
2015-08-11,2107
2015-08-12,2107
2015-08-13,2107
2015-08-14,2107
2015-08-15,2107
2015-08-16,2107
2015-08-17,2107
2015-08-18,2149
2015-08-19,2149
2015-08-20,2149
2015-08-21,2149
2015-08-22,2149
2015-08-23,2149
2015-08-24,2149
2015-08-25,2149
2015-08-26,2149
2015-08-27,2149
2015-08-28,2149
2015-08-29,2149
2015-08-30,2149
2015-08-31,2149
2015-09-01,2149
2015-09-02,2149
2015-09-03,2139
2015-09-04,2139
2015-09-05,2139
2015-09-06,2139
2015-09-07,2139
2015-09-08,2139
2015-09-09,2139
2015-09-10,2139
2015-09-11,2139
2015-09-12,2139
2015-09-13,2139
2015-09-14,2139
2015-09-15,2139
2015-09-16,2139
2015-09-17,2144
2015-09-18,2144
2015-09-19,2144
2015-09-20,2144
2015-09-21,2144
2015-09-22,2144
2015-09-23,2144
2015-09-24,2144
2015-09-25,2144
2015-09-27,2144
2015-09-28,2144
2015-09-29,2144
2015-09-30,2144
2015-10-05,2124
2015-10-06,2124
2015-10-07,2124
2015-10-08,2124
2015-10-09,2124
2015-10-10,2124
2015-10-11,2124
2015-10-12,2124
2015-10-13,2124
2015-10-14,2124
2015-10-15,2124
2015-10-16,2124
2015-10-17,2124
2015-10-18,2124
2015-10-19,2110
2015-10-20,2110
2015-10-22,2110
2015-10-23,2110
2015-10-24,2110
2015-10-25,2110
2015-10-26,2110
2015-10-27,2110
2015-10-29,2110
2015-10-30,2110
2015-10-31,2110
2015-11-01,2110
2015-11-02,2110
2015-11-03,2110
2015-11-04,2110
2015-11-05,2091
2015-11-06,2091
2015-11-07,2091
2015-11-08,2091
2015-11-09,2091
2015-11-10,2091
2015-11-11,2091
2015-11-12,2091
2015-11-13,2091
2015-11-14,2091
2015-11-15,2091
2015-11-16,2091
2015-11-17,2091
2015-11-18,2091
2015-11-19,2091
2015-11-20,2091
2015-11-21,2091
2015-11-22,2119
2015-11-23,2119
2015-11-24,2119
2015-11-25,2119
2015-11-26,2119
2015-11-27,2119
2015-11-28,2119
2015-11-29,2119
2015-11-30,2119
2015-12-01,2119
2015-12-02,2119
2015-12-03,2119
2015-12-04,2119
2015-12-05,2119
2015-12-06,2119
2015-12-07,2119
2015-12-08,2119
2015-12-09,2098
2015-12-10,2098
2015-12-11,2098
2015-12-12,2098
2015-12-13,2098
2015-12-14,2098
2015-12-15,2098
2015-12-16,2098
2015-12-17,2098
2015-12-18,2098
2015-12-19,2098
2015-12-20,2098
2015-12-21,2098
2015-12-22,2098
2015-12-23,2017
2015-12-24,2017
2015-12-25,2017
2015-12-26,2017
2015-12-27,2017
2015-12-28,2017
2015-12-29,2017
2015-12-30,2017
2015-12-31,2017
2016-01-01,2017
2016-01-02,2017
2016-01-03,2017
2016-01-04,2017
2016-01-05,2017
2016-01-06,2013
2016-01-07,2013
2016-01-08,2013
2016-01-09,2013
2016-01-10,2013
2016-01-11,2013
2016-01-12,2013
2016-01-13,2013
2016-01-14,2013
2016-01-15,2013
2016-01-16,2013
2016-01-17,2013
2016-01-18,2013
2016-01-19,2013
2016-01-20,1991
2016-01-21,1991
2016-01-22,1991
2016-01-23,1991
2016-01-24,1991
2016-01-25,1991
2016-01-26,1991
2016-01-27,1991
2016-01-28,1991
2016-01-29,1991
2016-01-30,1991
2016-01-31,1991
2016-02-01,1991
2016-02-02,1991
2016-02-03,1929
2016-02-04,1929
2016-02-05,1929
2016-02-06,1929
2016-02-07,1929
2016-02-08,1929
2016-02-09,1929
2016-02-10,1929
2016-02-11,1929
