date_obj,Big%20fishing%20net price
2015-03-26,106
2015-03-27,106
2015-03-28,106
2015-03-29,109
2015-03-30,109
2015-03-31,109
2015-04-01,109
2015-04-02,109
2015-04-03,113
2015-04-04,113
2015-04-05,113
2015-04-06,113
2015-04-07,116
2015-04-08,116
2015-04-09,116
2015-04-10,116
2015-04-11,116
2015-04-12,118
2015-04-13,118
2015-04-14,118
2015-04-15,118
2015-04-16,118
2015-04-17,121
2015-04-18,121
2015-04-19,121
2015-04-20,121
2015-04-21,121
2015-04-22,121
2015-04-23,126
2015-04-24,126
2015-04-25,126
2015-04-26,126
2015-04-27,126
2015-04-28,131
2015-04-29,131
2015-04-30,131
2015-05-01,131
2015-05-02,131
2015-05-03,134
2015-05-04,134
2015-05-05,134
2015-05-06,134
2015-05-07,134
2015-05-08,140
2015-05-09,140
2015-05-10,140
2015-05-11,140
2015-05-12,140
2015-05-13,146
2015-05-14,146
2015-05-15,146
2015-05-16,146
2015-05-17,154
2015-05-18,154
2015-05-19,154
2015-05-20,154
2015-05-21,154
2015-05-22,154
2015-05-23,158
2015-05-24,158
2015-05-25,158
2015-05-26,158
2015-05-27,158
2015-05-28,165
2015-05-29,165
2015-05-30,165
2015-05-31,165
2015-06-01,172
2015-06-02,172
2015-06-03,172
2015-06-04,172
2015-06-05,176
2015-06-06,176
2015-06-07,176
2015-06-08,176
2015-06-09,183
2015-06-10,183
2015-06-11,183
2015-06-12,183
2015-06-13,193
2015-06-14,193
2015-06-15,193
2015-06-16,193
2015-06-17,200
2015-06-18,200
2015-06-19,200
2015-06-20,200
2015-06-21,203
2015-06-22,203
2015-06-23,203
2015-06-24,203
2015-06-25,205
2015-06-26,205
2015-06-27,205
2015-06-28,205
2015-06-29,205
2015-06-30,202
2015-07-01,202
2015-07-02,202
2015-07-03,202
2015-07-04,212
2015-07-05,212
2015-07-06,212
2015-07-07,212
2015-07-08,223
2015-07-09,223
2015-07-10,223
2015-07-11,223
2015-07-12,223
2015-07-13,229
2015-07-14,229
2015-07-15,229
2015-07-16,229
2015-07-17,237
2015-07-18,237
2015-07-19,237
2015-07-20,237
2015-07-21,244
2015-07-22,244
2015-07-23,244
2015-07-24,245
2015-07-25,245
2015-07-26,245
2015-07-27,245
2015-07-28,252
2015-07-29,252
2015-07-30,252
2015-07-31,252
2015-08-01,264
2015-08-02,264
2015-08-03,264
2015-08-04,264
2015-08-05,272
2015-08-06,272
2015-08-07,272
2015-08-08,272
2015-08-09,271
2015-08-10,271
2015-08-11,271
2015-08-12,271
2015-08-13,278
2015-08-14,278
2015-08-15,278
2015-08-16,278
2015-08-17,287
2015-08-18,287
2015-08-19,287
2015-08-20,287
2015-08-21,301
2015-08-22,301
2015-08-23,301
2015-08-24,301
2015-08-25,301
2015-08-26,315
2015-08-27,315
2015-08-28,315
2015-08-29,315
2015-08-30,330
2015-08-31,330
2015-09-01,330
2015-09-02,330
2015-09-03,330
2015-09-04,342
2015-09-05,342
2015-09-06,342
2015-09-07,342
2015-09-08,342
2015-09-09,351
2015-09-10,351
2015-09-11,351
2015-09-12,351
2015-09-13,356
2015-09-14,356
2015-09-15,356
2015-09-16,356
2015-09-17,361
2015-09-18,361
2015-09-19,361
2015-09-20,361
2015-09-21,361
2015-09-22,371
2015-09-23,371
2015-09-24,371
2015-09-25,371
2015-09-27,383
2015-09-28,383
2015-09-29,383
2015-09-30,383
2015-10-05,397
2015-10-06,394
2015-10-07,394
2015-10-08,394
2015-10-09,394
2015-10-10,394
2015-10-11,399
2015-10-12,399
2015-10-13,399
2015-10-14,399
2015-10-15,399
2015-10-16,416
2015-10-17,416
2015-10-18,416
2015-10-19,416
2015-10-20,416
2015-10-22,425
2015-10-23,425
2015-10-24,425
2015-10-25,431
2015-10-26,431
2015-10-27,431
2015-10-28,431
2015-10-29,431
2015-10-30,429
2015-10-31,429
2015-11-01,429
2015-11-02,429
2015-11-03,429
2015-11-04,442
2015-11-05,442
2015-11-06,442
2015-11-07,442
2015-11-08,442
2015-11-09,447
2015-11-10,447
2015-11-11,447
2015-11-12,447
2015-11-13,447
2015-11-14,449
2015-11-15,449
2015-11-16,449
2015-11-17,449
2015-11-18,449
2015-11-19,442
2015-11-20,442
2015-11-21,442
2015-11-22,442
2015-11-23,442
2015-11-24,449
2015-11-25,449
2015-11-26,449
2015-11-27,449
2015-11-28,449
2015-11-29,430
2015-11-30,430
2015-12-01,430
2015-12-02,430
2015-12-03,431
2015-12-04,431
2015-12-05,431
2015-12-06,431
2015-12-07,431
2015-12-08,439
2015-12-09,439
2015-12-10,439
2015-12-11,439
2015-12-12,448
2015-12-13,448
2015-12-14,448
2015-12-15,448
2015-12-16,445
