date_obj,Sapphire%20bolts%20(e) price
2015-03-26,115
2015-03-27,115
2015-03-28,110
2015-03-29,110
2015-03-30,110
2015-03-31,110
2015-04-01,110
2015-04-02,106
2015-04-03,106
2015-04-04,106
2015-04-05,106
2015-04-06,106
2015-04-07,101
2015-04-08,101
2015-04-09,101
2015-04-10,101
2015-04-11,101
2015-04-12,97
2015-04-13,97
2015-04-14,97
2015-04-15,97
2015-04-16,97
2015-04-17,99
2015-04-18,99
2015-04-19,99
2015-04-20,99
2015-04-21,99
2015-04-22,99
2015-04-23,102
2015-04-24,102
2015-04-25,102
2015-04-26,102
2015-04-27,102
2015-04-28,102
2015-04-29,101
2015-04-30,101
2015-05-01,101
2015-05-02,101
2015-05-03,101
2015-05-04,101
2015-05-05,98
2015-05-06,98
2015-05-07,98
2015-05-08,98
2015-05-09,98
2015-05-10,98
2015-05-11,97
2015-05-12,97
2015-05-13,97
2015-05-14,97
2015-05-15,97
2015-05-16,97
2015-05-17,97
2015-05-18,98
2015-05-19,98
2015-05-20,98
2015-05-21,98
2015-05-22,98
2015-05-23,98
2015-05-24,98
2015-05-25,98
2015-05-26,98
2015-05-27,98
2015-05-28,98
2015-05-29,98
2015-05-30,98
2015-05-31,98
2015-06-01,98
2015-06-02,98
2015-06-03,98
2015-06-04,98
2015-06-05,98
2015-06-06,98
2015-06-07,98
2015-06-08,98
2015-06-09,100
2015-06-10,100
2015-06-11,100
2015-06-12,100
2015-06-13,100
2015-06-14,102
2015-06-15,102
2015-06-16,102
2015-06-17,102
2015-06-18,102
2015-06-19,106
2015-06-20,106
2015-06-21,106
2015-06-22,106
2015-06-23,106
2015-06-24,108
2015-06-25,108
2015-06-26,108
2015-06-27,108
2015-06-28,108
2015-06-29,108
2015-06-30,113
2015-07-01,113
2015-07-02,113
2015-07-03,113
2015-07-04,113
2015-07-05,113
2015-07-06,116
2015-07-07,116
2015-07-08,116
2015-07-09,116
2015-07-10,116
2015-07-11,116
2015-07-12,119
2015-07-13,119
2015-07-14,119
2015-07-15,119
2015-07-16,119
2015-07-17,119
2015-07-18,123
2015-07-19,123
2015-07-20,123
2015-07-21,123
2015-07-22,123
2015-07-23,123
2015-07-24,126
2015-07-25,126
2015-07-26,126
2015-07-27,126
2015-07-28,126
2015-07-29,126
2015-07-30,129
2015-07-31,129
2015-08-01,129
2015-08-02,129
2015-08-03,129
2015-08-04,129
2015-08-05,131
2015-08-06,131
2015-08-07,131
2015-08-08,131
2015-08-09,131
2015-08-10,131
2015-08-11,128
2015-08-12,128
2015-08-13,128
2015-08-14,128
2015-08-15,128
2015-08-16,128
2015-08-17,131
2015-08-18,131
2015-08-19,131
2015-08-20,131
2015-08-21,131
2015-08-22,127
2015-08-23,127
2015-08-24,127
2015-08-25,127
2015-08-26,127
2015-08-27,127
2015-08-28,127
2015-08-29,124
2015-08-30,124
2015-08-31,124
2015-09-01,124
2015-09-02,124
2015-09-03,124
2015-09-04,127
2015-09-05,127
2015-09-06,127
2015-09-07,127
2015-09-08,127
2015-09-09,127
2015-09-10,127
2015-09-11,132
2015-09-12,132
2015-09-13,132
2015-09-14,132
2015-09-15,132
2015-09-16,132
2015-09-17,135
2015-09-18,135
2015-09-19,135
2015-09-20,135
2015-09-21,135
2015-09-22,135
2015-09-23,131
2015-09-24,131
2015-09-25,131
2015-09-27,131
2015-09-28,131
2015-09-29,131
2015-09-30,133
2015-10-05,133
2015-10-06,135
2015-10-07,135
2015-10-08,135
2015-10-09,135
2015-10-10,135
2015-10-11,135
2015-10-12,135
2015-10-13,135
2015-10-14,130
2015-10-15,130
2015-10-16,130
2015-10-17,130
2015-10-18,130
2015-10-19,130
2015-10-20,129
2015-10-22,129
2015-10-23,129
2015-10-24,129
2015-10-25,131
2015-10-26,131
2015-10-27,131
2015-10-29,131
2015-10-30,131
2015-10-31,131
2015-11-01,131
2015-11-02,130
2015-11-03,130
2015-11-04,130
2015-11-05,130
2015-11-06,130
2015-11-07,130
2015-11-08,130
2015-11-09,130
2015-11-10,125
2015-11-11,125
2015-11-12,125
2015-11-13,125
2015-11-14,125
2015-11-15,125
2015-11-16,125
2015-11-17,125
2015-11-18,122
2015-11-19,122
2015-11-20,122
2015-11-21,122
2015-11-22,122
2015-11-23,122
2015-11-24,122
2015-11-25,122
2015-11-26,120
2015-11-27,120
2015-11-28,120
2015-11-29,120
2015-11-30,120
2015-12-01,120
2015-12-02,120
2015-12-03,124
2015-12-04,124
2015-12-05,124
2015-12-06,124
2015-12-07,124
2015-12-08,124
2015-12-09,122
2015-12-10,122
2015-12-11,122
2015-12-12,122
2015-12-13,122
2015-12-14,122
2015-12-15,124
2015-12-16,124
2015-12-17,124
2015-12-18,124
2015-12-19,124
2015-12-20,124
2015-12-21,124
2015-12-22,129
2015-12-23,129
2015-12-24,129
2015-12-25,129
2015-12-26,129
2015-12-27,129
2015-12-28,129
2015-12-29,134
2015-12-30,134
2015-12-31,134
2016-01-01,134
2016-01-02,134
2016-01-03,134
2016-01-04,136
2016-01-05,136
2016-01-06,136
2016-01-07,136
2016-01-08,136
