date_obj,Thin%20snail price
2015-03-26,5211
2015-03-27,5211
2015-03-28,5211
2015-03-29,5211
2015-03-30,5211
2015-03-31,4952
2015-04-01,4952
2015-04-02,4952
2015-04-03,4952
2015-04-04,4952
2015-04-05,4952
2015-04-06,4952
2015-04-07,4704
2015-04-08,4704
2015-04-09,4704
2015-04-10,4704
2015-04-11,4704
2015-04-12,4704
2015-04-13,4704
2015-04-14,4704
2015-04-15,4468
2015-04-16,4468
2015-04-17,4468
2015-04-18,4468
2015-04-19,4468
2015-04-20,4468
2015-04-21,4468
2015-04-22,4468
2015-04-23,4468
2015-04-24,4246
2015-04-25,4246
2015-04-26,4246
2015-04-27,4246
2015-04-28,4246
2015-04-29,4246
2015-04-30,4246
2015-05-01,4246
2015-05-02,4034
2015-05-03,4034
2015-05-04,4034
2015-05-05,4034
2015-05-06,4034
2015-05-07,4034
2015-05-08,4034
2015-05-09,4034
2015-05-10,3834
2015-05-11,3834
2015-05-12,3834
2015-05-13,3834
2015-05-14,3834
2015-05-15,3834
2015-05-16,3834
2015-05-17,3647
2015-05-18,3647
2015-05-19,3647
2015-05-20,3647
2015-05-21,3647
2015-05-22,3647
2015-05-23,3647
2015-05-24,3647
2015-05-25,3467
2015-05-26,3467
2015-05-27,3467
2015-05-28,3467
2015-05-29,3467
2015-05-30,3293
2015-05-31,3293
2015-06-01,3293
2015-06-02,3293
2015-06-03,3293
2015-06-04,3293
2015-06-05,3128
2015-06-06,3128
2015-06-07,3128
2015-06-08,3128
2015-06-09,3128
2015-06-10,2971
2015-06-11,2971
2015-06-12,2971
2015-06-13,2971
2015-06-14,2971
2015-06-15,2971
2015-06-16,2824
2015-06-17,2824
2015-06-18,2824
2015-06-19,2824
2015-06-20,2824
2015-06-21,2824
2015-06-22,2685
2015-06-23,2685
2015-06-24,2685
2015-06-25,2685
2015-06-26,2685
2015-06-27,2553
2015-06-28,2553
2015-06-29,2553
2015-06-30,2553
2015-07-01,2553
2015-07-02,2553
2015-07-03,2430
2015-07-04,2430
2015-07-05,2430
2015-07-06,2430
2015-07-07,2430
2015-07-08,2309
2015-07-09,2309
2015-07-10,2309
2015-07-11,2309
2015-07-12,2309
2015-07-13,2309
2015-07-14,2195
2015-07-15,2195
2015-07-16,2195
2015-07-17,2195
2015-07-18,2195
2015-07-19,2089
2015-07-20,2089
2015-07-21,2089
2015-07-22,2089
2015-07-23,2089
2015-07-24,1984
2015-07-25,1984
2015-07-26,1984
2015-07-27,1984
2015-07-28,1984
2015-07-29,1887
2015-07-30,1887
2015-07-31,1887
2015-08-01,1887
2015-08-02,1887
2015-08-03,1796
2015-08-04,1796
2015-08-05,1796
2015-08-06,1796
2015-08-07,1796
2015-08-08,1709
2015-08-09,1709
2015-08-10,1709
2015-08-11,1709
2015-08-12,1709
2015-08-13,1669
2015-08-14,1669
2015-08-15,1669
2015-08-16,1669
2015-08-17,1669
2015-08-18,1602
2015-08-19,1602
2015-08-20,1602
2015-08-21,1602
2015-08-22,1602
2015-08-23,1525
2015-08-24,1525
2015-08-25,1525
2015-08-26,1525
2015-08-27,1525
2015-08-28,1450
2015-08-29,1450
2015-08-30,1450
2015-08-31,1450
2015-09-01,1450
2015-09-02,1450
2015-09-03,1378
2015-09-04,1378
2015-09-05,1378
2015-09-06,1378
2015-09-07,1378
2015-09-08,1378
2015-09-09,1310
2015-09-10,1310
2015-09-11,1310
2015-09-12,1310
2015-09-13,1310
2015-09-14,1310
2015-09-15,1247
2015-09-16,1247
2015-09-17,1247
2015-09-18,1247
2015-09-19,1247
2015-09-20,1247
2015-09-21,1247
2015-09-22,1193
2015-09-23,1193
2015-09-24,1193
2015-09-25,1193
2015-09-27,1193
2015-09-28,1193
2015-09-29,1193
2015-09-30,1198
2015-10-05,1198
2015-10-06,1198
2015-10-07,1198
2015-10-08,1216
2015-10-09,1216
2015-10-10,1216
2015-10-11,1216
2015-10-12,1216
2015-10-13,1216
2015-10-14,1216
2015-10-15,1216
2015-10-16,1196
2015-10-17,1196
2015-10-18,1196
2015-10-19,1196
2015-10-20,1196
2015-10-22,1196
2015-10-23,1196
2015-10-24,1196
2015-10-25,1173
2015-10-26,1173
2015-10-27,1173
2015-10-29,1173
2015-10-30,1173
2015-10-31,1173
