date_obj,Royal%20sceptre price
2015-03-26,220505
2015-03-27,220505
2015-03-28,220505
2015-03-29,215900
2015-03-30,215900
2015-03-31,205973
2015-04-01,205973
2015-04-02,205973
2015-04-03,197281
2015-04-04,197281
2015-04-05,195018
2015-04-06,195018
2015-04-07,191770
2015-04-08,191770
2015-04-09,191770
2015-04-10,186725
2015-04-11,186725
2015-04-12,179691
2015-04-13,179691
2015-04-14,179359
2015-04-15,179359
2015-04-16,173999
2015-04-17,173999
2015-04-18,168662
2015-04-19,168662
2015-04-20,166239
2015-04-21,166239
2015-04-22,164918
2015-04-23,164918
2015-04-24,159642
2015-04-25,159642
2015-04-26,155551
2015-04-27,156782
2015-04-28,156782
2015-04-29,152807
2015-04-30,152807
2015-05-01,150018
2015-05-02,150018
2015-05-03,147696
2015-05-04,147696
2015-05-05,144265
2015-05-06,144265
2015-05-07,139711
2015-05-08,139711
2015-05-09,134030
2015-05-10,129618
2015-05-11,129618
2015-05-12,123915
2015-05-13,123915
2015-05-14,117838
2015-05-15,117838
2015-05-16,112554
2015-05-17,110350
2015-05-18,110350
2015-05-19,106721
2015-05-20,106721
2015-05-21,106721
2015-05-22,102611
2015-05-23,102611
2015-05-24,99089
2015-05-25,94902
2015-05-26,94902
2015-05-27,90156
2015-05-28,90156
2015-05-29,86353
2015-05-30,85061
2015-05-31,85061
2015-06-01,84899
2015-06-02,84899
2015-06-03,85274
2015-06-04,85274
2015-06-05,84745
2015-06-06,84745
2015-06-07,88779
2015-06-08,88779
2015-06-09,93122
2015-06-10,93122
2015-06-11,95420
2015-06-12,95420
2015-06-13,97201
2015-06-14,97201
2015-06-15,96613
2015-06-16,96613
2015-06-17,97612
2015-06-18,97612
2015-06-19,98184
2015-06-20,98184
2015-06-21,100952
2015-06-22,100952
2015-06-23,105878
2015-06-24,105878
2015-06-25,110682
2015-06-26,110682
2015-06-27,115937
2015-06-28,121147
2015-06-29,121147
2015-06-30,123869
2015-07-01,123869
2015-07-02,123869
2015-07-03,127552
2015-07-04,127552
2015-07-05,129754
2015-07-06,129754
2015-07-07,130582
2015-07-08,130582
2015-07-09,125868
2015-07-10,125868
2015-07-11,121224
2015-07-12,121224
2015-07-13,115162
2015-07-14,115162
2015-07-15,111467
2015-07-16,111467
2015-07-17,108983
2015-07-18,108983
2015-07-19,107400
2015-07-20,107400
2015-07-21,106433
2015-07-22,106062
2015-07-23,106062
2015-07-24,107156
2015-07-25,107156
2015-07-26,105573
2015-07-27,105573
2015-07-28,109264
2015-07-29,109264
2015-07-30,110224
2015-07-31,110224
2015-08-01,114491
2015-08-02,118586
2015-08-03,118586
2015-08-04,119760
2015-08-05,120608
2015-08-06,120608
2015-08-07,122726
2015-08-08,122726
2015-08-09,126046
2015-08-10,126046
2015-08-11,129618
2015-08-12,129618
2015-08-13,132710
2015-08-14,134514
2015-08-15,134514
2015-08-16,136433
2015-08-17,136433
2015-08-18,142258
2015-08-19,142258
2015-08-20,149249
2015-08-21,149249
2015-08-22,154763
2015-08-23,154763
2015-08-24,157958
2015-08-25,157958
2015-08-26,159021
2015-08-27,163495
2015-08-28,163495
2015-08-29,170433
2015-08-30,170433
2015-08-31,178330
2015-09-01,178330
2015-09-02,186351
2015-09-03,186351
2015-09-04,194716
2015-09-05,194716
2015-09-06,203402
2015-09-07,203402
2015-09-08,213573
2015-09-09,213573
2015-09-10,222359
2015-09-11,222359
2015-09-12,229543
2015-09-13,229543
2015-09-14,227022
2015-09-15,227022
2015-09-16,221668
2015-09-17,211951
2015-09-18,211951
2015-09-19,202879
2015-09-20,202879
2015-09-21,192735
2015-09-22,192735
2015-09-23,188534
