date_obj,Raw%20trout price
2015-03-26,24
2015-03-27,24
2015-03-28,24
2015-03-29,23
2015-03-30,22
2015-03-31,22
2015-04-01,22
2015-04-02,22
2015-04-03,22
2015-04-04,22
2015-04-05,22
2015-04-06,22
2015-04-07,22
2015-04-08,22
2015-04-09,22
2015-04-10,22
2015-04-11,22
2015-04-12,22
2015-04-13,21
2015-04-14,21
2015-04-15,22
2015-04-16,22
2015-04-17,22
2015-04-18,22
2015-04-19,22
2015-04-20,22
2015-04-21,22
2015-04-22,22
2015-04-23,22
2015-04-24,22
2015-04-25,21
2015-04-26,21
2015-04-27,21
2015-04-28,20
2015-04-29,20
2015-04-30,20
2015-05-01,20
2015-05-02,20
2015-05-03,20
2015-05-04,20
2015-05-05,20
2015-05-06,20
2015-05-07,20
2015-05-08,20
2015-05-09,20
2015-05-10,20
2015-05-11,20
2015-05-12,20
2015-05-13,20
2015-05-14,20
2015-05-15,20
2015-05-16,20
2015-05-17,21
2015-05-18,21
2015-05-19,21
2015-05-20,21
2015-05-21,22
2015-05-22,22
2015-05-23,23
2015-05-24,24
2015-05-25,24
2015-05-26,24
2015-05-27,24
2015-05-28,24
2015-05-29,24
2015-05-30,23
2015-05-31,21
2015-06-01,20
2015-06-02,20
2015-06-03,20
2015-06-04,19
2015-06-05,19
2015-06-06,19
2015-06-07,19
2015-06-08,19
2015-06-09,19
2015-06-10,19
2015-06-11,19
2015-06-12,19
2015-06-13,19
2015-06-14,19
2015-06-15,20
2015-06-16,20
2015-06-17,20
2015-06-18,21
2015-06-19,22
2015-06-20,22
2015-06-21,21
2015-06-22,22
2015-06-23,23
2015-06-24,24
2015-06-25,23
2015-06-26,22
2015-06-27,22
2015-06-28,22
2015-06-29,23
2015-06-30,24
2015-07-01,24
2015-07-02,24
2015-07-03,24
2015-07-04,25
2015-07-05,24
2015-07-06,24
2015-07-07,25
2015-07-08,25
2015-07-09,25
2015-07-10,24
2015-07-11,23
2015-07-12,22
2015-07-13,22
2015-07-14,22
2015-07-15,22
2015-07-16,22
2015-07-17,22
2015-07-18,22
2015-07-19,23
2015-07-20,22
2015-07-21,22
2015-07-22,22
2015-07-23,22
2015-07-24,22
2015-07-25,23
2015-07-26,23
2015-07-27,23
2015-07-28,24
2015-07-29,24
2015-07-30,25
2015-07-31,26
2015-08-01,25
2015-08-02,25
2015-08-03,25
2015-08-04,25
2015-08-05,25
2015-08-06,25
2015-08-07,24
2015-08-08,23
2015-08-09,23
2015-08-10,23
2015-08-11,22
2015-08-12,21
2015-08-13,21
2015-08-14,21
2015-08-15,22
2015-08-16,22
2015-08-17,22
2015-08-18,23
2015-08-19,23
2015-08-20,23
2015-08-21,24
2015-08-22,24
2015-08-23,24
2015-08-24,24
2015-08-25,24
2015-08-26,25
2015-08-27,25
2015-08-28,25
2015-08-29,25
2015-08-30,25
2015-08-31,24
2015-09-01,23
2015-09-02,23
2015-09-03,23
2015-09-04,23
2015-09-05,24
2015-09-06,23
2015-09-07,23
2015-09-08,23
2015-09-09,23
2015-09-10,23
2015-09-11,23
2015-09-12,23
2015-09-13,23
2015-09-14,23
2015-09-15,23
2015-09-16,23
2015-09-17,23
2015-09-18,23
