date_obj,Black%20platebody%20(h3) price
2019-04-11,48000
2019-04-11,49003
2019-04-12,50673
2019-04-13,50673
2019-04-14,49989
2019-04-15,49989
2019-04-16,47775
2019-04-17,47775
2019-04-18,45488
2019-04-19,45488
2019-04-20,43507
2019-04-21,43507
2019-04-22,41479
2019-04-23,41479
2019-04-24,39533
2019-04-25,39533
2019-04-26,37769
2019-04-27,37769
2019-04-28,36103
2019-04-29,36103
2019-04-30,34588
2019-05-01,34588
2019-05-02,33142
2019-05-03,31793
2019-05-04,30442
2019-05-05,30442
2019-05-06,29130
2019-05-07,29130
2019-05-08,27808
2019-05-09,27808
2019-05-10,26579
2019-05-11,26579
2019-05-12,25354
2019-05-13,25354
2019-05-14,24187
2019-05-15,24187
2019-05-16,24187
2019-05-17,23172
2019-05-18,23172
2019-05-19,23172
2019-05-20,22117
2019-05-21,22117
2019-05-22,22117
2019-05-23,22117
2019-05-24,21122
2019-05-25,21122
2019-05-26,20198
2019-05-27,20198
2019-05-28,19391
2019-05-29,19391
2019-05-30,18586
2019-05-31,18586
2019-06-01,18586
2019-06-02,17775
2019-06-03,17775
2019-06-04,17775
2019-06-05,17047
2019-06-06,17047
2019-06-07,17047
2019-06-08,16275
2019-06-09,16275
2019-06-10,16275
2019-06-11,15603
2019-06-12,15603
2019-06-13,15603
2019-06-14,15603
2019-06-15,14886
2019-06-16,14886
2019-06-17,14886
2019-06-18,14886
2019-06-19,14342
2019-06-20,14342
2019-06-21,14342
2019-06-22,13653
2019-06-23,13653
2019-06-24,13653
2019-06-25,13082
2019-06-26,13082
2019-06-27,13082
2019-06-28,13082
2019-06-29,12611
2019-06-30,12611
2019-07-01,12611
2019-07-02,12611
2019-07-03,12184
2019-07-04,12184
2019-07-05,12184
2019-07-06,12184
2019-07-07,12184
2019-07-08,11928
2019-07-09,11928
2019-07-10,11928
2019-07-11,11928
2019-07-12,11397
2019-07-13,11397
2019-07-14,11397
2019-07-15,11397
2019-07-16,11397
2019-07-17,10865
2019-07-18,10865
2019-07-19,10865
2019-07-20,10865
2019-07-21,10404
2019-07-22,10404
2019-07-23,10404
