date_obj,Green%20cape price
2015-03-04,35
2015-03-05,35
2015-03-06,37
2015-03-07,37
2015-03-08,39
2015-03-09,39
2015-03-10,39
2015-03-11,41
2015-03-12,41
2015-03-13,41
2015-03-14,44
2015-03-15,44
2015-03-16,44
2015-03-17,47
2015-03-18,47
2015-03-19,47
2015-03-20,50
2015-03-21,50
2015-03-22,50
2015-03-23,53
2015-03-24,53
2015-03-25,53
2015-03-26,56
2015-03-27,56
2015-03-28,56
2015-03-29,59
2015-03-30,59
2015-03-31,59
2015-04-01,62
2015-04-02,62
2015-04-03,62
2015-04-04,66
2015-04-05,66
2015-04-06,66
2015-04-07,70
2015-04-08,70
2015-04-09,70
2015-04-10,70
2015-04-11,74
2015-04-12,74
2015-04-13,74
2015-04-14,74
2015-04-15,78
2015-04-16,78
2015-04-17,78
2015-04-18,82
2015-04-19,82
2015-04-20,82
2015-04-21,87
2015-04-22,87
2015-04-23,87
2015-04-24,92
2015-04-25,92
2015-04-26,92
2015-04-27,97
2015-04-28,97
2015-04-29,97
2015-04-30,102
2015-05-01,102
2015-05-02,102
2015-05-03,108
2015-05-04,108
2015-05-05,108
2015-05-06,114
2015-05-07,114
2015-05-08,114
2015-05-09,120
2015-05-10,120
2015-05-11,120
2015-05-12,126
2015-05-13,126
2015-05-14,126
2015-05-15,133
2015-05-16,133
2015-05-17,133
2015-05-18,139
2015-05-19,139
2015-05-20,139
2015-05-21,139
2015-05-22,145
2015-05-23,145
2015-05-24,145
2015-05-25,153
2015-05-26,153
2015-05-27,153
2015-05-28,161
2015-05-29,161
2015-05-30,169
2015-05-31,169
2015-06-01,169
2015-06-02,177
2015-06-03,177
2015-06-04,177
2015-06-05,186
2015-06-06,186
2015-06-07,186
2015-06-08,195
2015-06-09,195
2015-06-10,205
2015-06-11,205
2015-06-12,205
2015-06-13,215
2015-06-14,215
2015-06-15,215
2015-06-16,225
2015-06-17,225
2015-06-18,225
2015-06-19,236
2015-06-20,236
2015-06-21,236
2015-06-22,247
2015-06-23,247
2015-06-24,247
2015-06-25,259
2015-06-26,259
2015-06-27,259
2015-06-28,271
2015-06-29,271
2015-06-30,271
2015-07-01,271
2015-07-02,271
2015-07-03,271
2015-07-04,284
2015-07-05,284
2015-07-06,284
2015-07-07,298
2015-07-08,298
2015-07-09,298
2015-07-10,310
2015-07-11,310
2015-07-12,310
2015-07-13,324
2015-07-14,324
2015-07-15,324
2015-07-16,334
2015-07-17,334
2015-07-18,334
2015-07-19,350
2015-07-20,350
2015-07-21,350
2015-07-22,366
2015-07-23,366
2015-07-24,366
2015-07-25,383
2015-07-26,383
2015-07-27,383
2015-07-28,401
2015-07-29,401
2015-07-30,401
2015-07-31,416
2015-08-01,416
2015-08-02,416
2015-08-03,432
2015-08-04,432
2015-08-05,432
2015-08-06,451
2015-08-07,451
2015-08-08,451
2015-08-09,473
2015-08-10,473
2015-08-11,473
2015-08-12,496
2015-08-13,496
2015-08-14,496
2015-08-15,496
2015-08-16,514
2015-08-17,514
2015-08-18,514
2015-08-19,514
2015-08-20,514
2015-08-21,527
2015-08-22,527
2015-08-23,527
2015-08-24,527
2015-08-25,527
2015-08-26,531
2015-08-27,531
2015-08-28,531
2015-08-29,531
2015-08-30,551
2015-08-31,551
2015-09-01,482
2015-09-02,551
2015-09-07,569
