date_obj,Kyatt%20legs price
2015-03-26,85000
2015-03-27,85000
2015-03-28,85000
2015-03-29,85000
2015-03-30,85000
2015-03-31,85000
2015-04-01,85000
2015-04-02,85000
2015-04-03,85000
2015-04-04,85000
2015-04-05,85000
2015-04-06,85000
2015-04-07,85000
2015-04-08,85000
2015-04-09,85000
2015-04-10,85000
2015-04-11,85000
2015-04-12,85000
2015-04-13,85000
2015-04-14,85000
2015-04-15,85000
2015-04-16,85000
2015-04-17,85000
2015-04-18,85000
2015-04-19,85000
2015-04-20,85000
2015-04-21,85000
2015-04-22,85000
2015-04-23,85000
2015-04-24,85000
2015-04-25,80825
2015-04-26,80825
2015-04-27,80825
2015-04-28,80825
2015-04-29,80825
2015-04-30,80825
2015-05-01,80825
2015-05-02,80825
2015-05-03,80825
2015-05-04,80825
2015-05-05,80825
2015-05-06,80825
2015-05-07,80825
2015-05-08,80825
2015-05-09,80825
2015-05-10,80825
2015-05-11,80825
2015-05-12,80825
2015-05-13,80825
2015-05-14,80825
2015-05-15,80825
2015-05-16,80825
2015-05-17,80825
2015-05-18,80825
2015-05-19,80825
2015-05-20,80825
2015-05-21,80825
2015-05-22,80825
2015-05-23,80825
2015-05-24,80825
2015-05-25,80825
2015-05-26,80825
2015-05-27,80825
2015-05-28,80825
2015-05-29,80825
2015-05-30,80825
2015-05-31,80825
2015-06-01,80825
2015-06-02,80825
2015-06-03,80825
2015-06-04,80825
2015-06-05,80825
2015-06-06,80825
2015-06-07,80825
2015-06-08,80825
2015-06-09,80825
2015-06-10,80825
2015-06-11,76991
2015-06-12,76991
2015-06-13,76991
2015-06-14,76991
2015-06-15,76991
2015-06-16,76991
2015-06-17,76991
2015-06-18,76991
2015-06-19,76991
2015-06-20,76991
2015-06-21,76991
2015-06-22,76991
2015-06-23,76991
2015-06-24,76991
2015-06-25,76991
2015-06-26,76991
2015-06-27,76991
2015-06-28,76991
2015-06-29,76991
2015-06-30,76991
2015-07-01,76991
2015-07-02,76991
2015-07-03,76991
2015-07-04,76991
2015-07-05,76991
2015-07-06,76991
2015-07-07,76991
2015-07-08,76991
2015-07-09,76991
2015-07-10,76991
2015-07-11,76991
2015-07-12,76991
2015-07-13,76991
2015-07-14,76991
2015-07-15,76991
2015-07-16,76991
2015-07-17,76991
2015-07-18,76991
2015-07-19,76991
2015-07-20,76991
2015-07-21,76991
2015-07-22,76991
2015-07-23,76991
2015-07-24,76991
2015-07-25,76991
2015-07-26,76991
2015-07-27,76991
2015-07-28,76991
2015-07-29,76991
2015-07-30,76991
2015-07-31,76991
2015-08-01,76991
2015-08-02,73435
2015-08-03,73435
2015-08-04,73435
2015-08-05,73435
2015-08-06,73435
2015-08-07,73435
2015-08-08,73435
2015-08-09,73435
2015-08-10,73435
2015-08-11,73435
2015-08-12,73435
2015-08-13,73435
2015-08-14,73435
2015-08-15,73435
2015-08-16,73435
2015-08-17,73435
2015-08-18,73435
2015-08-19,73435
2015-08-20,73435
2015-08-21,73435
2015-08-22,73435
2015-08-23,73435
2015-08-24,73435
2015-08-25,73435
2015-08-26,73435
2015-08-27,73435
2015-08-28,73435
2015-08-29,73435
2015-08-30,73435
2015-08-31,73435
2015-09-01,73435
2015-09-02,73435
2015-09-03,73435
2015-09-04,73435
2015-09-05,73435
2015-09-06,73435
2015-09-07,73435
2015-09-08,73435
2015-09-09,73435
2015-09-10,73435
2015-09-11,73435
2015-09-12,73435
2015-09-13,73435
2015-09-14,69897
2015-09-15,69897
2015-09-16,69897
2015-09-17,69897
2015-09-18,69897
2015-09-19,69897
2015-09-20,69897
2015-09-21,69897
2015-09-22,69897
2015-09-23,69897
2015-09-24,69897
2015-09-25,69897
2015-09-27,69897
2015-09-28,69897
2015-09-29,69897
2015-09-30,69897
2015-10-05,69897
2015-10-06,69897
2015-10-07,69897
2015-10-08,69897
2015-10-09,69897
2015-10-10,69897
2015-10-11,69897
2015-10-12,69897
2015-10-13,69897
2015-10-14,69897
2015-10-15,69897
2015-10-16,69897
2015-10-17,69897
2015-10-18,69897
2015-10-19,69897
2015-10-20,69897
2015-10-22,69897
2015-10-23,69897
2015-10-24,69897
2015-10-25,69897
2015-10-26,69897
2015-10-27,69897
2015-10-29,69897
2015-10-30,69897
2015-10-31,69897
2015-11-01,69897
2015-11-02,66466
2015-11-03,66466
2015-11-04,66466
2015-11-05,66466
2015-11-06,66466
2015-11-07,66466
2015-11-08,66466
2015-11-09,66466
2015-11-10,66466
2015-11-11,66466
2015-11-12,66466
2015-11-13,66466
2015-11-14,66466
2015-11-15,66466
2015-11-16,66466
2015-11-17,66466
2015-11-18,66466
2015-11-19,66466
2015-11-20,66466
2015-11-21,66466
2015-11-22,66466
2015-11-23,66466
2015-11-24,66466
2015-11-25,66466
2015-11-26,66466
2015-11-27,66466
2015-11-28,66466
2015-11-29,66466
2015-11-30,66466
2015-12-01,66466
2015-12-02,66466
2015-12-03,66466
2015-12-04,66466
2015-12-05,66466
2015-12-06,66466
2015-12-07,66466
2015-12-08,66466
2015-12-09,66466
2015-12-10,66466
2015-12-11,66466
2015-12-12,66466
2015-12-13,66466
2015-12-14,66466
2015-12-15,66466
2015-12-16,66466
2015-12-17,66466
2015-12-18,66466
2015-12-19,66466
2015-12-20,63222
2015-12-21,63222
2015-12-22,63222
2015-12-23,63222
2015-12-24,63222
2015-12-25,63222
2015-12-26,63222
2015-12-27,63222
2015-12-28,63222
2015-12-29,63222
2015-12-30,63222
2015-12-31,63222
2016-01-01,63222
2016-01-02,63222
2016-01-03,63222
2016-01-04,63222
2016-01-05,63222
2016-01-06,63222
2016-01-07,63222
2016-01-08,63222
2016-01-09,63222
2016-01-10,63222
2016-01-11,63222
2016-01-12,63222
2016-01-13,63222
2016-01-14,63222
2016-01-15,63222
2016-01-16,63222
2016-01-17,63222
2016-01-18,63222
2016-01-19,63222
2016-01-20,63222
2016-01-21,63222
2016-01-22,63222
2016-01-23,63222
2016-01-24,63222
2016-01-25,63222
2016-01-26,63222
2016-01-27,63222
2016-01-28,63222
2016-01-29,63222
2016-01-30,63222
2016-01-31,63222
2016-02-01,63222
2016-02-02,60195
2016-02-03,60195
2016-02-04,60195
2016-02-05,60195
2016-02-06,60195
2016-02-07,60195
2016-02-08,60195
2016-02-09,60195
2016-02-10,60195
2016-02-11,60195
2016-02-12,60195
2016-02-13,60195
2016-02-14,60195
2016-02-15,60195
2016-02-16,60195
2016-02-17,60195
2016-02-18,60195
2016-02-19,60195
2016-02-20,60195
2016-02-21,60195
2016-02-22,60195
2016-02-23,60195
2016-02-24,60195
2016-02-25,60195
2016-02-26,60195
2016-02-27,60195
2016-02-28,60195
2016-02-29,60195
2016-03-01,60195
2016-03-02,60195
2016-03-03,60195
2016-03-04,60195
2016-03-05,60195
2016-03-06,60195
2016-03-07,57237
2016-03-08,57237
2016-03-09,57237
2016-03-10,57237
2016-03-11,57237
2016-03-12,57237
2016-03-13,57237
2016-03-14,57237
2016-03-15,57237
2016-03-16,57237
2016-03-17,57237
2016-03-18,57237
2016-03-19,57237
2016-03-20,57237
2016-03-21,57237
2016-03-22,57237
2016-03-23,57237
2016-03-24,57237
2016-03-25,57237
2016-03-26,57237
2016-03-27,57237
2016-03-28,57237
2016-03-29,57237
2016-03-30,57237
2016-03-31,57237
2016-04-01,57237
2016-04-02,57237
2016-04-03,57237
2016-04-04,57237
2016-04-05,57237
2016-04-06,57237
2016-04-07,57237
2016-04-08,57237
2016-04-09,57237
2016-04-10,57237
2016-04-11,57237
2016-04-12,54447
2016-04-13,54447
2016-04-14,54447
2016-04-15,54447
2016-04-16,54447
2016-04-17,54447
2016-04-18,54447
2016-04-19,54447
2016-04-20,54447
2016-04-21,54447
2016-04-22,54447
2016-04-23,54447
2016-04-24,54447
2016-04-25,54447
2016-04-26,54447
2016-04-27,54447
2016-04-28,54447
2016-04-29,54447
2016-04-30,54447
2016-05-01,54447
2016-05-02,54447
2016-05-03,54447
2016-05-04,54447
2016-05-05,54447
2016-05-06,54447
2016-05-07,54447
2016-05-08,54447
