date_obj,Superior%20dragon%20bones price
2018-01-03,16800
2018-01-04,17607
2018-01-05,16731
2018-01-06,15894
2018-01-07,15161
2018-01-08,14402
2018-01-09,13681
2018-01-10,12996
2018-01-11,12346
2018-01-12,11728
2018-01-13,11141
2018-01-14,10583
2018-01-15,10053
2018-01-16,9561
2018-01-17,9998
2018-01-18,10402
2018-01-19,10682
2018-01-20,10615
2018-01-21,10765
2018-01-22,10879
2018-01-23,11368
2018-01-24,11785
2018-01-25,11387
2018-01-26,10868
2018-01-27,10360
2018-01-28,10256
2018-01-29,9792
2018-01-30,9634
2018-02-01,9841
2018-02-02,9663
2018-02-03,9629
2018-02-04,9533
2018-02-05,9425
2018-02-06,9432
2018-02-07,9499
2018-02-08,9559
2018-02-09,9699
2018-02-10,10038
2018-02-11,9551
2018-02-12,9301
2018-02-13,9180
2018-02-14,9226
2018-02-15,9248
2018-02-16,9404
2018-02-17,9514
2018-02-18,9887
2018-02-19,10226
2018-02-20,10626
2018-02-21,10423
2018-02-22,10274
2018-02-23,10221
2018-02-24,10132
2018-02-25,10079
2018-02-26,10001
2018-02-27,9754
2018-02-28,9532
2018-03-01,9503
2018-03-02,9541
2018-03-03,9557
2018-03-04,9520
2018-03-05,9471
2018-03-06,9546
2018-03-07,9602
2018-03-08,9561
2018-03-09,9536
2018-03-10,9558
2018-03-11,9512
2018-03-12,9553
2018-03-13,9587
2018-03-14,9714
2018-03-15,9637
2018-03-16,9924
2018-03-17,9846
2018-03-18,9738
2018-03-19,9627
2018-03-20,9652
2018-03-21,9851
2018-03-23,9911
2018-03-24,9946
2018-03-26,10168
2018-03-27,9760
2018-03-28,9621
2018-03-29,9591
2018-03-30,9656
2018-03-31,9673
2018-04-01,9693
2018-04-02,9542
2018-04-03,9595
2018-04-04,9664
2018-04-05,9653
2018-04-06,9708
2018-04-08,9717
2018-04-09,9906
2018-04-10,10368
2018-04-11,10791
2018-04-12,10906
2018-04-13,10642
2018-04-14,10440
2018-04-16,10387
2018-04-17,10587
2018-04-18,10477
2018-04-19,10696
2018-04-20,10927
2018-04-21,11324
2018-04-22,11491
2018-04-23,11851
2018-04-24,12260
2018-04-25,12344
2018-04-26,12673
2018-04-27,12577
2018-04-28,12526
2018-04-29,12460
2018-04-30,12492
2018-05-02,12214
2018-05-03,12616
2018-05-04,13046
2018-05-05,13254
2018-05-06,12680
2018-05-07,12570
2018-05-08,12255
2018-05-09,11795
2018-05-10,11884
2018-05-11,12115
2018-05-12,12077
2018-05-13,11921
2018-05-14,11986
2018-05-15,11987
2018-05-16,11940
2018-05-17,12007
2018-05-18,11931
2018-05-19,11722
2018-05-20,11819
2018-05-21,11734
2018-05-22,11653
2018-05-23,11564
2018-05-24,11599
2018-05-25,11649
2018-05-26,11613
2018-05-27,11549
2018-05-28,11599
2018-05-29,11655
2018-05-30,11706
2018-05-31,11885
2018-06-01,11938
2018-06-02,12065
2018-06-03,12110
2018-06-04,12100
2018-06-05,12220
2018-06-06,11912
2018-06-07,11376
2018-06-08,11300
2018-06-09,11278
2018-06-10,11455
2018-06-11,11216
2018-06-12,10716
2018-06-13,10539
2018-06-14,10830
2018-06-15,11265
2018-06-16,11590
2018-06-17,12044
2018-06-18,12440
2018-06-19,12854
2018-06-20,13280
2018-06-21,12708
2018-06-22,12128
2018-06-23,11865
2018-06-24,11792
2018-06-25,11577
2018-06-26,11348
2018-06-27,11408
2018-06-28,11456
2018-06-29,11338
2018-06-30,11215
2018-07-01,11179
2018-07-02,11246
2018-07-03,11383
2018-07-04,11721
2018-07-05,11886
2018-07-06,12006
2018-07-07,11786
2018-07-08,11654
2018-07-09,11552
2018-07-10,11552
2018-07-11,11532
2018-07-12,11455
2018-07-13,11434
2018-07-14,11871
2018-07-15,11811
2018-07-16,11829
2018-07-17,11824
2018-07-18,11848
2018-07-19,12029
2018-07-20,12193
2018-07-21,12214
2018-07-22,12169
2018-07-23,12263
2018-07-24,12204
2018-07-25,12119
2018-07-26,11957
2018-07-27,11945
2018-07-28,12239
2018-07-29,12332
2018-07-30,12261
2018-07-31,12233
2018-08-01,12172
2018-08-02,12160
2018-08-03,12100
2018-08-04,12108
2018-08-05,11984
2018-08-06,12109
2018-08-07,12378
2018-08-08,12610
2018-08-09,13026
2018-08-10,12864
2018-08-11,12646
2018-08-12,12275
2018-08-14,12120
2018-08-16,12375
2018-08-17,12442
2018-08-18,12148
2018-08-19,12088
2018-08-20,12099
2018-08-21,12073
2018-08-22,12161
2018-08-23,12210
2018-08-24,12116
2018-08-25,11961
2018-08-26,12043
2018-08-27,12091
2018-08-28,12273
2018-08-29,12494
2018-08-30,12616
2018-08-31,12662
2018-09-01,12942
2018-09-02,13266
2018-09-03,13174
2018-09-04,12945
2018-09-05,12905
2018-09-06,12834
2018-09-07,12689
2018-09-08,12771
2018-09-09,12864
2018-09-10,12835
2018-09-11,12696
2018-09-12,12654
2018-09-13,12700
2018-09-14,12853
2018-09-15,13019
2018-09-16,13594
2018-09-17,13256
2018-09-18,13065
2018-09-19,13177
2018-09-20,13117
2018-09-21,12987
2018-09-22,12741
2018-09-23,12802
2018-09-24,12744
2018-09-25,12676
2018-09-26,12594
2018-09-27,12624
2018-09-28,12641
2018-09-29,12709
2018-09-30,12769
2018-10-02,12810
2018-10-03,12761
2018-10-04,12796
2018-10-05,12779
2018-10-06,12898
2018-10-07,12963
2018-10-08,13274
2018-10-09,12935
2018-10-10,12872
2018-10-11,12870
2018-10-12,12803
2018-10-13,12696
2018-10-14,12748
2018-10-15,12707
2018-10-16,12659
2018-10-17,12620
2018-10-18,12567
2018-10-19,12615
2018-10-20,12856
2018-10-21,12769
2018-10-22,12664
2018-10-23,12629
2018-10-24,12617
2018-10-25,12573
2018-10-26,12605
2018-10-27,12715
2018-10-28,12862
2018-10-29,12750
2018-10-30,12619
2018-10-31,12454
2018-11-01,12613
2018-11-03,12671
2018-11-04,12747
2018-11-05,12827
2018-11-06,12932
2018-11-07,12939
2018-11-08,12945
2018-11-09,13272
2018-11-10,13147
2018-11-11,12913
2018-11-12,12712
2018-11-13,12646
2018-11-14,12551
2018-11-15,12334
2018-11-16,12402
2018-11-17,12282
2018-11-18,12255
2018-11-19,12311
2018-11-20,12384
2018-11-21,12299
2018-11-22,12123
2018-11-23,11885
2018-11-24,12076
2018-11-25,12049
2018-11-26,12060
2018-11-27,12010
2018-11-28,12042
2018-11-29,12141
2018-12-01,12308
2018-12-02,12345
2018-12-03,12188
2018-12-04,12007
2018-12-05,11872
2018-12-07,11825
2018-12-09,11932
2018-12-10,11938
2018-12-11,11943
2018-12-12,12186
2018-12-13,12200
2018-12-14,12153
2018-12-15,12277
2018-12-16,12329
2018-12-17,12271
2018-12-18,12210
2018-12-19,12128
2018-12-20,12074
2018-12-21,12122
2018-12-22,12156
2018-12-23,12173
2018-12-24,12211
2018-12-25,12122
2018-12-26,12103
2018-12-27,12134
2018-12-28,12308
2018-12-29,12303
2018-12-30,12490
