date_obj,Justiciar%20armour%20set price
2018-06-06,525000000
2018-06-07,525000000
2018-06-08,525000000
2018-06-09,525000000
2018-06-10,525000000
2018-06-11,525000000
2018-06-12,543687500
2018-06-13,543687500
2018-06-14,543687500
2018-06-15,543687500
2018-06-16,543687500
2018-06-17,566116051
2018-06-18,566116051
2018-06-19,566116051
2018-06-20,566116051
2018-06-21,562796523
2018-06-22,562796523
2018-06-23,534656696
2018-06-24,534656696
2018-06-25,534656696
2018-06-26,508160435
2018-06-27,508160435
2018-06-28,508160435
2018-06-29,482752413
2018-06-30,482752413
2018-07-01,458614792
2018-07-02,458614792
2018-07-03,435684052
2018-07-04,414518365
2018-07-05,414518365
2018-07-06,393792446
2018-07-07,393792446
2018-07-08,374102823
2018-07-09,355397681
2018-07-10,338075571
2018-07-11,322239917
2018-07-12,306472361
2018-07-13,291148742
2018-07-14,276591304
2018-07-15,276591304
2018-07-16,262761738
2018-07-17,249623651
2018-07-18,237142468
2018-07-19,237142468
2018-07-20,225308742
2018-07-21,214194572
2018-07-22,207536524
2018-07-23,201744743
2018-07-24,192453832
2018-07-25,182831140
2018-07-26,173689583
2018-07-27,165350906
2018-07-28,161704431
2018-07-29,167967631
2018-07-30,173869825
2018-07-31,181867055
2018-08-01,181867055
2018-08-02,183301344
2018-08-03,174315141
2018-08-04,170324670
2018-08-05,171318410
2018-08-06,172084073
2018-08-07,169571941
2018-08-08,161795576
2018-08-09,153742155
2018-08-10,146118130
2018-08-11,142241984
2018-08-12,139654613
2018-08-14,131551239
2018-08-16,124542800
2018-08-17,130091835
2018-08-18,135615893
2018-08-19,136034488
2018-08-20,138315225
2018-08-21,144532492
2018-08-22,149334176
2018-08-23,148637747
2018-08-24,144399802
2018-08-25,138130965
2018-08-26,131267830
2018-08-27,127201993
2018-08-28,127177216
2018-08-29,122248299
2018-08-30,120005962
2018-08-31,123665054
2018-09-01,123392619
2018-09-02,121053787
2018-09-03,119066320
2018-09-04,114171926
2018-09-05,108580816
2018-09-06,108580816
2018-09-07,104409518
2018-09-08,99196339
2018-09-09,94259743
2018-09-10,89668077
2018-09-11,85214251
2018-09-12,87315898
2018-09-13,90559064
2018-09-14,94282474
2018-09-15,98982749
2018-09-16,99827249
2018-09-17,97257663
2018-09-18,92423537
2018-09-19,88464222
2018-09-20,86326643
2018-09-21,87345399
2018-09-22,90134738
2018-09-23,90849952
2018-09-24,90905734
2018-09-25,91417250
2018-09-26,90677261
2018-09-27,89949813
2018-09-28,89667839
2018-09-29,90479757
2018-09-30,90499092
2018-10-02,91773615
2018-10-03,93099049
2018-10-04,93297255
2018-10-05,93183105
2018-10-06,92352537
2018-10-07,91357086
2018-10-08,90924564
2018-10-09,89041347
2018-10-10,87472727
2018-10-11,87128232
2018-10-12,86498276
2018-10-13,86358456
2018-10-14,85711289
2018-10-15,85793192
2018-10-16,87061987
2018-10-17,88490849
2018-10-18,88863542
2018-10-19,87585530
2018-10-20,87145061
2018-10-21,86585823
2018-10-22,85862084
2018-10-23,85625144
2018-10-24,85419375
2018-10-25,85119283
2018-10-26,84680467
2018-10-27,83802695
2018-10-28,83414712
2018-10-29,83474351
2018-10-30,83010170
2018-10-31,81815596
2018-11-01,79364574
2018-11-03,78535291
2018-11-04,76569600
2018-11-05,74127736
2018-11-06,71529810
2018-11-07,68308144
2018-11-08,65090534
2018-11-09,63693578
2018-11-10,66299035
2018-11-11,69587411
2018-11-12,73043971
2018-11-13,76240028
2018-11-14,79218346
2018-11-15,80244913
2018-11-16,78638896
2018-11-17,78132194
2018-11-18,77465631
2018-11-19,74951313
2018-11-20,72191943
2018-11-21,74404256
2018-11-22,77101021
2018-11-23,80956073
2018-11-24,84763486
2018-11-25,85497011
2018-11-26,85684127
2018-11-27,84820259
2018-11-28,82910200
2018-11-29,80480417
