date_obj,Lumberyard%20teleport price
2015-03-26,3499
2015-03-27,3499
2015-03-28,3597
2015-03-29,3597
2015-03-30,3604
2015-03-31,3604
2015-04-01,3604
2015-04-02,3624
2015-04-03,3624
2015-04-04,3555
2015-04-05,3555
2015-04-06,3555
2015-04-07,3729
2015-04-08,3729
2015-04-09,3729
2015-04-10,3902
2015-04-11,3902
2015-04-12,4005
2015-04-13,4005
2015-04-14,4005
2015-04-15,3925
2015-04-16,3925
2015-04-17,3925
2015-04-18,3729
2015-04-19,3729
2015-04-20,3729
2015-04-21,3543
2015-04-22,3543
2015-04-23,3371
2015-04-24,3371
2015-04-25,3350
2015-04-26,3350
2015-04-27,3308
2015-04-28,3308
2015-04-29,3308
2015-04-30,3289
2015-05-01,3289
2015-05-02,3321
2015-05-03,3321
2015-05-04,3262
2015-05-05,3262
2015-05-06,3187
2015-05-07,3187
2015-05-08,3112
2015-05-09,3112
2015-05-10,2989
2015-05-11,2989
2015-05-12,2875
2015-05-13,2875
2015-05-14,2747
2015-05-15,2747
2015-05-16,2747
2015-05-17,2619
2015-05-18,2619
2015-05-19,2501
2015-05-20,2501
2015-05-21,2501
2015-05-22,2378
2015-05-23,2378
2015-05-24,2363
2015-05-25,2363
2015-05-26,2411
2015-05-27,2411
2015-05-28,2501
2015-05-29,2501
2015-05-30,2515
2015-05-31,2515
2015-06-01,2641
2015-06-02,2641
2015-06-03,2749
2015-06-04,2749
2015-06-05,2828
2015-06-06,2828
2015-06-07,2794
2015-06-08,2794
2015-06-09,2852
2015-06-10,2852
2015-06-11,2973
2015-06-12,2973
2015-06-13,2977
2015-06-14,2977
2015-06-15,3057
2015-06-16,3057
2015-06-17,3184
2015-06-18,3184
2015-06-19,3163
2015-06-20,3163
2015-06-21,3039
2015-06-22,3039
2015-06-23,3063
2015-06-24,3063
2015-06-25,3077
2015-06-26,3186
2015-06-27,3186
2015-06-28,3346
2015-06-29,3346
2015-06-30,3514
2015-07-01,3514
2015-07-02,3662
2015-07-03,3846
2015-07-04,3846
2015-07-05,4038
2015-07-06,4038
2015-07-07,4175
2015-07-08,4175
2015-07-09,4218
2015-07-10,4218
2015-07-11,4429
2015-07-12,4429
2015-07-13,4456
2015-07-14,4456
2015-07-15,4489
2015-07-16,4489
2015-07-17,4444
2015-07-18,4444
2015-07-19,4535
2015-07-20,4535
2015-07-21,4585
2015-07-22,4643
2015-07-23,4643
2015-07-24,4623
2015-07-25,4623
2015-07-26,4391
2015-07-27,4391
2015-07-28,4314
2015-07-29,4218
2015-07-30,4218
2015-07-31,4146
2015-08-01,4146
