date_obj,White%20lily price
2019-01-10,250
2019-01-10,250
2019-01-11,261
2019-01-12,273
2019-01-13,287
2019-01-14,302
2019-01-15,318
2019-01-16,334
2019-01-17,351
2019-01-18,369
2019-01-19,388
2019-01-20,408
2019-01-21,429
2019-01-22,451
2019-01-23,474
2019-01-24,498
2019-01-25,523
2019-01-26,550
2019-01-27,578
2019-01-28,607
2019-01-29,638
2019-01-30,670
2019-01-31,704
2019-02-01,740
2019-02-02,777
2019-02-03,816
2019-02-04,857
2019-02-05,900
2019-02-06,945
2019-02-07,993
2019-02-08,1043
2019-02-09,1096
2019-02-10,1151
2019-02-11,1209
2019-02-12,1270
2019-02-13,1334
2019-02-14,1401
2019-02-15,1472
2019-02-16,1546
2019-02-17,1622
2019-02-18,1701
2019-02-19,1787
2019-02-20,1877
2019-02-21,1888
2019-02-22,1793
2019-02-23,1716
2019-02-24,1693
2019-02-25,1608
2019-02-26,1527
2019-02-27,1450
2019-02-28,1377
2019-03-01,1308
2019-03-02,1242
2019-03-03,1194
2019-03-04,1134
2019-03-05,1077
2019-03-06,1023
2019-03-07,975
2019-03-08,926
2019-03-09,904
2019-03-10,896
2019-03-11,889
2019-03-12,889
2019-03-13,900
2019-03-14,904
2019-03-15,937
2019-03-16,900
2019-03-17,892
2019-03-18,886
2019-03-19,900
2019-03-20,905
2019-03-21,915
2019-03-22,900
2019-03-23,901
2019-03-24,870
2019-03-25,854
2019-03-26,891
2019-03-27,900
2019-03-28,900
2019-03-29,900
2019-03-30,900
2019-03-31,900
2019-04-01,900
2019-04-02,899
2019-04-03,889
2019-04-04,900
2019-04-05,901
2019-04-06,930
2019-04-07,901
2019-04-08,898
2019-04-09,900
2019-04-10,902
2019-04-11,901
2019-04-12,909
2019-04-13,900
2019-04-14,900
2019-04-15,900
2019-04-16,900
2019-04-17,900
2019-04-18,900
2019-04-19,897
2019-04-20,901
2019-04-21,855
2019-04-22,812
2019-04-23,800
2019-04-24,808
2019-04-25,839
2019-04-26,878
2019-04-27,900
2019-04-28,945
2019-04-29,993
2019-04-30,1043
2019-05-01,1096
2019-05-02,1151
2019-05-03,1209
2019-05-04,1270
2019-05-05,1334
2019-05-06,1401
2019-05-07,1468
2019-05-08,1542
2019-05-09,1620
2019-05-10,1701
2019-05-11,1787
2019-05-12,1877
