date_obj,Saradomin%20plateskirt price
2015-03-26,53707
2015-03-27,53707
2015-03-28,51171
2015-03-29,51171
2015-03-30,48898
2015-03-31,48898
2015-04-01,48898
2015-04-02,48898
2015-04-03,46453
2015-04-04,46453
2015-04-05,46453
2015-04-06,44269
2015-04-07,44269
2015-04-08,44269
2015-04-09,42446
2015-04-10,42446
2015-04-11,42446
2015-04-12,41758
2015-04-13,41758
2015-04-14,41758
2015-04-15,40364
2015-04-16,40364
2015-04-17,40364
2015-04-18,39512
2015-04-19,39512
2015-04-20,39512
2015-04-21,39512
2015-04-22,40120
2015-04-23,40120
2015-04-24,40120
2015-04-25,40120
2015-04-26,41114
2015-04-27,41114
2015-04-28,41114
2015-04-29,41218
2015-04-30,41218
2015-05-01,41218
2015-05-02,41144
2015-05-03,41144
2015-05-04,41144
2015-05-05,41144
2015-05-06,40531
2015-05-07,40531
2015-05-08,40531
2015-05-09,40531
2015-05-10,40159
2015-05-11,40159
2015-05-12,40159
2015-05-13,40159
2015-05-14,39845
2015-05-15,39845
2015-05-16,39845
2015-05-17,39845
2015-05-18,39573
2015-05-19,39573
2015-05-20,39573
2015-05-21,39573
2015-05-22,39584
2015-05-23,39584
2015-05-24,39584
2015-05-25,39636
2015-05-26,39636
2015-05-27,39636
2015-05-28,40250
2015-05-29,40250
2015-05-30,40389
2015-05-31,40389
2015-06-01,40389
2015-06-02,41007
2015-06-03,41007
2015-06-04,41513
2015-06-05,41513
2015-06-06,41639
2015-06-07,41639
2015-06-08,41639
2015-06-09,41137
2015-06-10,41137
2015-06-11,41137
2015-06-12,40911
2015-06-13,40911
2015-06-14,40465
2015-06-15,40465
2015-06-16,40189
2015-06-17,40189
2015-06-18,39547
2015-06-19,39547
2015-06-20,39614
2015-06-21,39614
2015-06-22,39614
2015-06-23,39357
2015-06-24,39357
2015-06-25,40053
2015-06-26,40053
2015-06-27,40322
2015-06-28,40322
2015-06-29,40767
2015-06-30,40767
2015-07-01,41126
2015-07-02,41126
2015-07-03,41126
2015-07-04,40653
2015-07-05,40653
2015-07-06,40653
2015-07-07,40687
2015-07-08,40687
2015-07-09,40687
2015-07-10,40661
2015-07-11,40661
2015-07-12,40661
2015-07-13,41175
2015-07-14,41175
2015-07-15,41175
2015-07-16,41818
2015-07-17,41818
2015-07-18,41818
2015-07-19,42170
2015-07-20,42170
2015-07-21,42170
2015-07-22,41746
2015-07-23,41746
2015-07-24,41746
2015-07-25,41820
2015-07-26,41820
2015-07-27,41820
2015-07-28,40827
2015-07-29,40827
2015-07-30,40827
2015-07-31,41579
2015-08-01,41579
2015-08-02,41959
2015-08-03,41959
2015-08-04,41959
2015-08-05,41723
2015-08-06,41723
2015-08-07,41723
2015-08-08,41775
2015-08-09,41775
2015-08-10,41546
2015-08-11,41546
2015-08-12,41546
2015-08-13,42330
2015-08-14,42330
2015-08-15,42330
2015-08-16,42904
2015-08-17,42904
2015-08-18,42904
2015-08-19,42698
2015-08-20,42698
2015-08-21,42698
2015-08-22,42126
2015-08-23,42126
2015-08-24,42126
2015-08-25,41959
2015-08-26,41959
2015-08-27,41959
2015-08-28,41246
2015-08-29,41246
2015-08-30,41246
2015-08-31,40994
2015-09-01,40994
2015-09-02,40994
2015-09-03,39744
2015-09-04,39744
2015-09-05,39744
2015-09-06,39745
2015-09-07,39745
2015-09-08,39745
2015-09-09,40012
2015-09-10,40012
2015-09-11,40113
2015-09-12,40113
2015-09-13,40113
2015-09-14,40681
2015-09-15,40681
2015-09-16,40681
2015-09-17,41290
2015-09-18,41290
2015-09-19,41290
2015-09-20,41627
2015-09-21,41627
2015-09-22,41627
2015-09-23,41715
2015-09-24,41715
2015-09-25,41715
2015-09-27,42552
2015-09-28,42552
2015-09-29,42552
2015-09-30,42631
2015-10-05,42824
2015-10-06,42340
2015-10-07,42340
2015-10-08,42340
2015-10-09,41807
2015-10-10,41807
2015-10-11,41807
2015-10-12,41326
2015-10-13,41326
2015-10-14,41326
2015-10-15,40379
2015-10-16,40379
2015-10-17,40379
