date_obj,Jester%20cape price
2019-04-11,25000
2019-04-11,26250
2019-04-12,27563
2019-04-13,28942
2019-04-14,30390
2019-04-15,190000
2019-04-16,190000
2019-04-17,190565
2019-04-18,191255
2019-04-19,191767
2019-04-20,192127
2019-04-21,190411
2019-04-22,185492
2019-04-23,180637
2019-04-24,173986
2019-04-25,167474
2019-04-26,163662
2019-04-27,157853
2019-04-28,151317
2019-04-29,147376
2019-04-30,143293
2019-05-01,138978
2019-05-02,137313
2019-05-03,135181
2019-05-04,133170
2019-05-05,131376
2019-05-06,129985
2019-05-07,131081
2019-05-08,132375
2019-05-09,130840
2019-05-10,132446
2019-05-11,129990
2019-05-12,129986
2019-05-13,131427
2019-05-14,135032
2019-05-15,138063
2019-05-16,142097
2019-05-17,141852
2019-05-18,143898
2019-05-19,144826
2019-05-20,144274
2019-05-21,143300
2019-05-22,145277
2019-05-23,149053
2019-05-24,151801
2019-05-25,153533
2019-05-26,152862
2019-05-27,152209
2019-05-28,152607
2019-05-29,151837
2019-05-30,154524
2019-05-31,155549
2019-06-01,155560
2019-06-02,155379
2019-06-03,153736
2019-06-04,152979
2019-06-05,153198
2019-06-06,151863
2019-06-07,152271
2019-06-08,152438
2019-06-09,153176
2019-06-10,153176
2019-06-11,152516
2019-06-12,152461
2019-06-13,152961
2019-06-14,153338
2019-06-15,154174
2019-06-16,155076
2019-06-17,156418
2019-06-18,156536
2019-06-19,156726
2019-06-20,158126
2019-06-21,159599
2019-06-22,162367
2019-06-23,164612
2019-06-24,163212
2019-06-25,163950
2019-06-26,161006
2019-06-27,157447
2019-06-28,157447
2019-06-29,157596
2019-06-30,158463
2019-07-01,158463
2019-07-02,157347
2019-07-03,156851
2019-07-04,156851
2019-07-05,156255
2019-07-06,157014
2019-07-07,156509
2019-07-08,155852
2019-07-09,154209
2019-07-10,153311
2019-07-11,153916
2019-07-12,153775
2019-07-13,153775
2019-07-14,153497
2019-07-15,153497
2019-07-16,154719
2019-07-17,153712
2019-07-18,154435
2019-07-19,155971
2019-07-20,154497
2019-07-21,154317
2019-07-22,154465
2019-07-23,152571
2019-07-24,152571
2019-07-25,152773
2019-07-26,152773
2019-07-27,153997
2019-07-28,154286
2019-07-29,154408
2019-07-30,155174
2019-07-31,162828
2019-08-01,167672
2019-08-02,169723
2019-08-03,168021
2019-08-04,168930
2019-08-05,168107
2019-08-06,169250
2019-08-07,168288
2019-08-08,165574
2019-08-09,165574
2019-08-10,163214
2019-08-11,163214
2019-08-12,160310
2019-08-13,157186
2019-08-14,156152
2019-08-15,153870
2019-08-16,152654
2019-08-17,152654
2019-08-18,152518
2019-08-19,154365
2019-08-20,154855
2019-08-21,154282
2019-08-22,156308
2019-08-23,156308
2019-08-24,157814
2019-08-24,157814
2019-08-25,157814
2019-08-25,157814
2019-08-26,155781
2019-08-26,155781
2019-08-27,155257
2019-08-27,155257
2019-08-28,153497
2019-08-29,155093
2019-08-30,158318
2019-08-31,158318
2019-09-01,160188
2019-09-02,160188
2019-09-03,158061
2019-09-04,158144
2019-09-05,162376
2019-09-06,162376
2019-09-07,163754
2019-09-08,161424
2019-09-09,161424
2019-09-10,160626
2019-09-11,158992
2019-09-12,160493
2019-09-13,163390
2019-09-14,162177
2019-09-15,160567
2019-09-16,160971
2019-09-17,160310
2019-09-18,160994
2019-09-19,160994
2019-09-20,161759
2019-09-21,160410
2019-09-22,161581
2019-09-23,164521
2019-09-24,164521
2019-09-25,165998
2019-09-26,167687
2019-09-27,167687
2019-09-28,168401
2019-09-29,168401
2019-09-30,167903
2019-10-01,164995
2019-10-02,164995
2019-10-03,165764
2019-10-04,165764
2019-10-05,164331
2019-10-06,161516
2019-10-07,158723
2019-10-08,154335
