date_obj,Black%20longsword price
2015-03-26,2410
2015-03-27,2410
2015-03-28,2295
2015-03-29,2295
2015-03-30,2187
2015-03-31,2187
2015-04-01,2085
2015-04-02,2085
2015-04-03,1988
2015-04-04,1988
2015-04-05,1894
2015-04-06,1894
2015-04-07,1810
2015-04-08,1810
2015-04-09,1724
2015-04-10,1724
2015-04-11,1642
2015-04-12,1642
2015-04-13,1565
2015-04-14,1565
2015-04-15,1491
2015-04-16,1491
2015-04-17,1422
2015-04-18,1422
2015-04-19,1351
2015-04-20,1351
2015-04-21,1288
2015-04-22,1288
2015-04-23,1226
2015-04-24,1226
2015-04-25,1170
2015-04-26,1170
2015-04-27,1111
2015-04-28,1111
2015-04-29,1059
2015-04-30,1011
2015-05-01,964
2015-05-02,920
2015-05-03,920
2015-05-04,877
2015-05-05,877
2015-05-06,833
2015-05-07,833
2015-05-08,791
2015-05-09,791
2015-05-10,751
2015-05-11,751
2015-05-12,715
2015-05-13,715
2015-05-14,683
2015-05-15,683
2015-05-16,695
2015-05-17,664
2015-05-18,664
2015-05-19,633
2015-05-20,633
2015-05-21,633
2015-05-22,601
2015-05-23,601
2015-05-24,570
2015-05-25,570
2015-05-26,542
2015-05-27,542
2015-05-28,516
2015-05-29,516
2015-05-30,493
2015-05-31,493
2015-06-01,469
2015-06-02,469
2015-06-03,449
2015-06-04,449
2015-06-05,426
2015-06-06,405
2015-06-07,405
2015-06-08,401
2015-06-09,421
2015-06-10,418
2015-06-11,418
2015-06-12,402
2015-06-13,402
2015-06-14,398
2015-06-15,398
2015-06-16,403
2015-06-17,403
2015-06-18,404
2015-06-19,404
2015-06-20,390
2015-06-21,390
2015-06-22,377
2015-06-23,377
2015-06-24,368
2015-06-25,368
2015-06-26,357
2015-06-27,357
2015-06-28,365
2015-06-29,365
2015-06-30,372
2015-07-01,372
2015-07-02,372
2015-07-03,376
2015-07-04,376
2015-07-05,367
2015-07-06,367
2015-07-07,378
2015-07-08,378
2015-07-09,378
2015-07-10,378
2015-07-11,379
2015-07-12,379
2015-07-13,375
2015-07-14,375
2015-07-15,368
2015-07-16,368
2015-07-17,366
2015-07-18,366
2015-07-19,370
2015-07-20,370
2015-07-21,361
2015-07-22,356
2015-07-23,356
2015-07-24,356
2015-07-25,356
2015-07-26,369
2015-07-27,369
2015-07-28,382
2015-07-29,391
2015-07-30,391
2015-07-31,386
2015-08-01,386
2015-08-02,390
2015-08-03,390
2015-08-04,397
2015-08-05,397
2015-08-06,397
2015-08-07,397
2015-08-08,397
2015-08-09,397
2015-08-10,403
2015-08-11,403
2015-08-12,396
2015-08-13,396
2015-08-14,403
2015-08-15,403
