date_obj,Glassblowing%20pipe price
2015-03-26,148
2015-03-27,148
2015-03-28,140
2015-03-29,140
2015-03-30,140
2015-03-31,133
2015-04-01,133
2015-04-02,133
2015-04-03,126
2015-04-04,126
2015-04-05,126
2015-04-06,122
2015-04-07,122
2015-04-08,122
2015-04-09,122
2015-04-10,122
2015-04-11,122
2015-04-12,116
2015-04-13,116
2015-04-14,116
2015-04-15,118
2015-04-16,118
2015-04-17,118
2015-04-18,121
2015-04-19,121
2015-04-20,121
2015-04-21,125
2015-04-22,125
2015-04-23,125
2015-04-24,127
2015-04-25,127
2015-04-26,127
2015-04-27,131
2015-04-28,131
2015-04-29,131
2015-04-30,137
2015-05-01,137
2015-05-02,137
2015-05-03,144
2015-05-04,144
2015-05-05,144
2015-05-06,151
2015-05-07,151
2015-05-08,151
2015-05-09,151
2015-05-10,151
2015-05-11,151
2015-05-12,153
2015-05-13,153
2015-05-14,153
2015-05-15,154
2015-05-16,154
2015-05-17,154
2015-05-18,154
2015-05-19,154
2015-05-20,154
2015-05-21,154
2015-05-22,158
2015-05-23,158
2015-05-24,158
2015-05-25,162
2015-05-26,162
2015-05-27,162
2015-05-28,161
2015-05-29,161
2015-05-30,157
2015-05-31,157
2015-06-01,153
2015-06-02,153
2015-06-03,153
2015-06-04,151
2015-06-05,151
2015-06-06,155
2015-06-07,155
2015-06-08,155
2015-06-09,160
2015-06-10,160
2015-06-11,157
2015-06-12,157
2015-06-13,149
2015-06-14,149
2015-06-15,149
2015-06-16,146
2015-06-17,146
2015-06-18,146
2015-06-19,143
2015-06-20,143
2015-06-21,143
2015-06-22,140
2015-06-23,140
2015-06-24,138
2015-06-25,138
2015-06-26,138
2015-06-27,140
2015-06-28,140
2015-06-29,140
2015-06-30,140
2015-07-01,138
2015-07-02,138
2015-07-03,135
2015-07-04,135
2015-07-05,133
2015-07-06,133
2015-07-07,133
2015-07-08,135
2015-07-09,135
2015-07-10,135
2015-07-11,137
2015-07-12,137
2015-07-13,137
2015-07-14,143
2015-07-15,143
2015-07-16,143
2015-07-17,143
2015-07-18,138
2015-07-19,138
2015-07-20,140
2015-07-21,140
2015-07-22,142
2015-07-23,142
2015-07-24,144
2015-07-25,144
2015-07-26,144
2015-07-27,137
2015-07-28,137
2015-07-29,140
2015-07-30,140
2015-07-31,140
2015-08-01,145
2015-08-02,145
2015-08-03,153
2015-08-04,153
2015-08-05,157
2015-08-06,157
2015-08-07,157
2015-08-08,163
2015-08-09,163
2015-08-10,168
2015-08-11,168
2015-08-12,168
2015-08-13,170
2015-08-14,170
2015-08-15,161
2015-08-16,161
2015-08-17,157
2015-08-18,157
2015-08-19,157
2015-08-20,157
2015-08-21,161
2015-08-22,161
2015-08-23,161
2015-08-24,167
2015-08-25,167
2015-08-26,167
2015-08-27,171
2015-08-28,171
2015-08-29,171
2015-08-30,177
2015-08-31,177
2015-09-01,179
2015-09-02,179
2015-09-03,179
2015-09-04,175
2015-09-05,175
2015-09-06,175
2015-09-07,166
2015-09-08,166
2015-09-09,166
2015-09-10,161
2015-09-11,161
2015-09-12,156
2015-09-13,156
2015-09-14,155
2015-09-15,155
2015-09-16,155
2015-09-17,157
2015-09-18,157
2015-09-19,157
2015-09-20,162
2015-09-21,162
2015-09-22,162
2015-09-23,167
2015-09-24,167
2015-09-25,167
2015-09-27,173
2015-09-28,181
2015-09-29,181
2015-09-30,176
2015-10-05,183
2015-10-06,186
2015-10-07,186
2015-10-08,186
2015-10-09,191
2015-10-10,191
2015-10-11,191
2015-10-12,197
2015-10-13,197
2015-10-14,197
2015-10-15,199
2015-10-16,199
2015-10-17,199
2015-10-18,206
2015-10-19,206
