date_obj,Grimy%20cadantine price
2015-03-26,562
2015-03-27,538
2015-03-28,515
2015-03-29,514
2015-03-30,503
2015-03-31,529
2015-04-01,556
2015-04-02,580
2015-04-03,609
2015-04-04,616
2015-04-05,589
2015-04-06,571
2015-04-07,547
2015-04-08,526
2015-04-09,507
2015-04-10,520
2015-04-11,507
2015-04-12,515
2015-04-13,524
2015-04-14,531
2015-04-15,550
2015-04-16,538
2015-04-17,516
2015-04-18,498
2015-04-19,482
2015-04-20,466
2015-04-21,472
2015-04-22,493
2015-04-23,487
2015-04-24,474
2015-04-25,457
2015-04-26,446
2015-04-27,450
2015-04-28,463
2015-04-29,479
2015-04-30,491
2015-05-01,512
2015-05-02,538
2015-05-03,565
2015-05-04,590
2015-05-05,620
2015-05-06,651
2015-05-07,680
2015-05-08,704
2015-05-09,739
2015-05-10,775
2015-05-11,813
2015-05-12,852
2015-05-13,895
2015-05-14,915
2015-05-15,925
2015-05-16,961
2015-05-17,938
2015-05-18,925
2015-05-19,918
2015-05-20,939
2015-05-21,957
2015-05-22,966
2015-05-23,978
2015-05-24,981
2015-05-25,1023
2015-05-26,1075
2015-05-27,1057
2015-05-28,1100
2015-05-29,1137
2015-05-30,1151
2015-05-31,1181
2015-06-01,1146
2015-06-02,1146
2015-06-03,1136
2015-06-04,1175
2015-06-05,1234
2015-06-06,1287
2015-06-07,1334
2015-06-08,1348
2015-06-09,1372
2015-06-10,1385
2015-06-11,1372
2015-06-12,1429
2015-06-13,1415
2015-06-14,1421
2015-06-15,1414
2015-06-16,1388
2015-06-17,1354
2015-06-18,1321
2015-06-19,1382
2015-06-20,1345
2015-06-21,1345
2015-06-22,1372
2015-06-23,1408
2015-06-24,1403
2015-06-25,1456
2015-06-26,1419
2015-06-27,1433
2015-06-28,1456
2015-06-29,1422
2015-06-30,1444
2015-07-01,1507
2015-07-02,1549
2015-07-03,1541
2015-07-04,1508
2015-07-05,1480
2015-07-06,1549
2015-07-07,1605
2015-07-08,1676
2015-07-09,1759
2015-07-10,1792
2015-07-11,1791
2015-07-12,1857
2015-07-13,1786
2015-07-14,1697
2015-07-15,1612
2015-07-16,1577
2015-07-17,1589
2015-07-18,1569
2015-07-19,1595
2015-07-20,1622
2015-07-21,1659
2015-07-22,1715
2015-07-23,1801
2015-07-24,1860
2015-07-25,1856
2015-07-26,1901
2015-07-27,1914
2015-07-28,1967
