date_obj,Shirt%20(yellow) price
2015-02-25,5000
2015-02-26,5000
2015-02-27,5000
2015-02-28,5000
2015-03-01,5000
2015-03-02,5000
2015-03-03,5000
2015-03-04,5000
2015-03-05,5000
2015-03-06,5000
2015-03-07,5000
2015-03-08,5000
2015-03-09,5000
2015-03-10,5000
2015-03-11,5000
2015-03-12,5000
2015-03-13,5000
2015-03-14,5000
2015-03-15,5000
2015-03-16,5000
2015-03-17,5000
2015-03-18,5000
2015-03-19,5000
2015-03-20,5000
2015-03-21,5000
2015-03-22,5000
2015-03-23,5000
2015-03-24,5000
2015-03-25,5000
2015-03-26,5000
2015-03-27,5000
2015-03-28,5000
2015-03-29,5000
2015-03-30,5000
2015-03-31,5000
2015-04-01,5000
2015-04-02,5000
2015-04-03,5000
2015-04-04,5000
2015-04-05,5000
2015-04-06,4906
2015-04-07,4906
2015-04-08,4906
2015-04-09,4906
2015-04-10,4906
2015-04-11,4906
2015-04-12,4906
2015-04-13,4906
2015-04-14,4906
2015-04-15,4906
2015-04-16,4906
2015-04-17,4906
2015-04-18,4906
2015-04-19,4906
2015-04-20,4906
2015-04-21,4906
2015-04-22,4906
2015-04-23,4906
2015-04-24,4906
2015-04-25,4906
2015-04-26,4906
2015-04-27,4906
2015-04-28,4906
2015-04-29,4906
2015-04-30,4906
2015-05-01,4906
2015-05-02,4906
2015-05-03,4906
2015-05-04,4906
2015-05-05,4906
2015-05-06,4906
2015-05-07,4906
2015-05-08,4906
2015-05-09,4906
2015-05-10,4906
2015-05-11,4906
2015-05-12,4906
2015-05-13,4906
2015-05-14,4906
2015-05-15,4906
2015-05-16,4906
2015-05-17,4906
2015-05-18,4906
2015-05-19,4729
2015-05-20,4729
2015-05-21,4729
2015-05-22,4729
2015-05-23,4729
2015-05-24,4729
2015-05-25,4729
2015-05-26,4729
2015-05-27,4729
2015-05-28,4729
2015-05-29,4729
2015-05-30,4729
2015-05-31,4729
2015-06-01,4729
2015-06-02,4729
2015-06-03,4729
2015-06-04,4729
2015-06-05,4729
2015-06-06,4729
2015-06-07,4729
2015-06-08,4729
2015-06-09,4729
2015-06-10,4729
2015-06-11,4729
2015-06-12,4729
2015-06-13,4729
2015-06-14,4729
2015-06-15,4729
2015-06-16,4729
2015-06-17,4729
2015-06-18,4729
2015-06-19,4681
2015-06-20,4681
2015-06-21,4681
2015-06-22,4681
2015-06-23,4681
2015-06-24,4681
2015-06-25,4681
2015-06-26,4681
2015-06-27,4681
2015-06-28,4681
2015-06-29,4681
2015-06-30,4681
2015-07-01,4681
2015-07-02,4681
2015-07-03,4681
2015-07-04,4681
2015-07-05,4681
2015-07-06,4681
2015-07-07,4681
2015-07-08,4681
2015-07-09,4681
2015-07-10,4681
2015-07-11,4681
2015-07-12,4681
2015-07-13,4681
2015-07-14,4681
2015-07-15,4681
2015-07-16,4681
2015-07-17,4681
2015-07-18,4681
2015-07-19,4681
2015-07-20,4681
2015-07-21,4681
2015-07-22,4581
2015-07-23,4581
2015-07-24,4581
2015-07-25,4581
2015-07-26,4581
2015-07-27,4581
2015-07-28,4581
2015-07-29,4581
2015-07-30,4581
2015-07-31,4581
2015-08-01,4581
2015-08-02,4581
2015-08-03,4581
2015-08-04,4581
2015-08-05,4581
2015-08-06,4581
2015-08-07,4581
2015-08-08,4581
2015-08-09,4581
2015-08-10,4581
2015-08-11,4581
