date_obj,Dharok's%20armour%20set price
2015-03-26,1645111
2015-03-27,1645111
2015-03-28,1614643
2015-03-29,1580180
2015-03-30,1573614
2015-03-31,1605146
2015-04-01,1633718
2015-04-02,1664518
2015-04-03,1672592
2015-04-04,1672051
2015-04-05,1667168
2015-04-06,1657316
2015-04-07,1650467
2015-04-08,1666080
2015-04-09,1677091
2015-04-10,1677620
2015-04-11,1653983
2015-04-12,1639988
2015-04-13,1634982
2015-04-14,1623411
2015-04-15,1631351
2015-04-16,1614542
2015-04-17,1604155
2015-04-18,1576081
2015-04-19,1559156
2015-04-20,1554317
2015-04-21,1557694
2015-04-22,1547806
2015-04-23,1550080
2015-04-24,1542509
2015-04-25,1527937
2015-04-26,1522213
2015-04-27,1532577
2015-04-28,1550967
2015-04-29,1563305
2015-04-30,1569670
2015-05-01,1552096
2015-05-02,1550800
2015-05-03,1530170
2015-05-04,1541181
2015-05-05,1549247
2015-05-06,1539458
2015-05-07,1547964
2015-05-08,1550824
2015-05-09,1560585
2015-05-10,1564666
2015-05-11,1574866
2015-05-12,1582312
2015-05-13,1577137
2015-05-14,1580852
2015-05-15,1587980
2015-05-16,1581489
2015-05-17,1580678
2015-05-18,1577605
2015-05-19,1574204
2015-05-20,1581449
2015-05-21,1597496
2015-05-22,1601331
2015-05-23,1643556
2015-05-24,1648862
2015-05-25,1677544
2015-05-26,1678057
2015-05-27,1696146
2015-05-28,1746283
2015-05-29,1790870
2015-05-30,1769854
2015-05-31,1748923
2015-06-01,1728909
2015-06-02,1710911
2015-06-03,1723433
2015-06-04,1735657
2015-06-05,1772555
2015-06-06,1796820
2015-06-07,1781664
2015-06-08,1746345
2015-06-09,1717913
2015-06-10,1698855
2015-06-11,1682463
2015-06-12,1678288
2015-06-13,1673981
2015-06-14,1649017
2015-06-15,1646289
2015-06-16,1667249
2015-06-17,1661971
2015-06-18,1676327
2015-06-19,1682039
2015-06-20,1676531
2015-06-21,1670007
2015-06-22,1658349
2015-06-23,1658324
2015-06-24,1714415
2015-06-25,1700643
2015-06-26,1698357
2015-06-27,1733704
2015-06-28,1739248
2015-06-29,1707375
2015-06-30,1690818
2015-07-01,1680638
2015-07-02,1669438
2015-07-03,1720591
2015-07-04,1728276
2015-07-05,1726463
2015-07-06,1754561
2015-07-07,1718179
2015-07-08,1702994
2015-07-09,1686010
2015-07-10,1653742
2015-07-11,1636331
2015-07-12,1619356
2015-07-13,1599937
2015-07-14,1581064
2015-07-15,1537890
2015-07-16,1516833
2015-07-17,1527646
2015-07-18,1552121
2015-07-19,1589798
2015-07-20,1589249
2015-07-21,1622746
2015-07-22,1623224
2015-07-23,1642098
2015-07-24,1657093
2015-07-25,1688056
2015-07-26,1714716
2015-07-27,1742659
2015-07-28,1738558
