date_obj,Boots%20of%20stone price
2019-12-25,311
2019-12-26,315
2019-12-27,323
2019-12-28,336
2019-12-29,344
2019-12-30,343
2019-12-31,343
2020-01-01,355
2020-01-02,362
2020-01-03,368
2020-01-04,375
2020-01-05,380
2020-01-06,398
2020-01-07,396
2020-01-08,403
2020-01-09,416
2020-01-10,433
2020-01-11,445
2020-01-12,447
2020-01-13,444
2020-01-14,453
2020-01-15,445
2020-01-16,442
2020-01-17,444
2020-01-18,446
2020-01-19,453
2020-01-20,458
2020-01-21,455
2020-01-22,444
2020-01-23,446
2020-01-24,456
2020-01-25,460
2020-01-26,466
2020-01-27,451
2020-01-28,429
2020-01-29,416
2020-01-30,411
2020-01-31,397
2020-02-01,391
2020-02-02,381
2020-02-03,376
2020-02-04,372
2020-02-05,363
2020-02-06,359
2020-02-07,350
2020-02-08,350
2020-02-09,357
2020-02-10,367
2020-02-11,361
2020-02-12,359
2020-02-13,363
2020-02-14,368
2020-02-15,373
2020-02-16,365
2020-02-17,355
2020-02-18,349
2020-02-19,347
2020-02-20,355
2020-02-21,355
2020-02-22,348
2020-02-23,345
2020-02-24,334
2020-02-25,317
2020-02-26,301
2020-02-27,297
2020-02-28,297
2020-02-29,297
2020-03-01,293
2020-03-02,303
2020-03-03,306
2020-03-04,302
2020-03-05,314
2020-03-06,315
2020-03-07,312
2020-03-08,321
2020-03-09,328
2020-03-10,337
2020-03-11,333
2020-03-12,330
2020-03-13,333
2020-03-14,337
2020-03-15,331
2020-03-16,329
2020-03-17,335
2020-03-18,326
2020-03-19,332
2020-03-20,338
2020-03-21,340
2020-03-22,343
2020-03-23,350
2020-03-24,349
2020-03-25,364
2020-03-26,371
2020-03-27,376
2020-03-28,381
2020-03-29,396
2020-03-30,394
2020-03-31,398
2020-04-01,398
2020-04-02,404
2020-04-03,408
2020-04-04,418
2020-04-05,411
2020-04-06,407
2020-04-07,386
2020-04-08,367
2020-04-09,362
2020-04-10,361
2020-04-11,361
2020-04-12,362
2020-04-13,362
2020-04-14,343
2020-04-15,337
2020-04-16,336
2020-04-17,337
2020-04-18,343
2020-04-19,351
2020-04-20,353
2020-04-21,363
2020-04-22,371
2020-04-23,373
2020-04-24,376
2020-04-25,371
2020-04-26,381
2020-04-27,385
2020-04-28,390
2020-04-29,396
2020-04-30,392
2020-05-01,402
2020-05-02,404
2020-05-03,410
2020-05-04,402
2020-05-05,399
2020-05-06,407
2020-05-07,404
2020-05-08,384
2020-05-09,386
2020-05-10,396
2020-05-11,396
2020-05-12,391
2020-05-13,387
