date_obj,Dark%20bow price
2015-03-26,1181018
2015-03-27,1175723
2015-03-28,1150371
2015-03-29,1145690
2015-03-30,1126377
2015-03-31,1113705
2015-04-01,1095386
2015-04-02,1077982
2015-04-03,1078100
2015-04-04,1114701
2015-04-05,1145147
2015-04-06,1198401
2015-04-07,1244019
2015-04-08,1275657
2015-04-09,1296418
2015-04-10,1327914
2015-04-11,1355512
2015-04-12,1362651
2015-04-13,1341414
2015-04-14,1317799
2015-04-15,1282626
2015-04-16,1275452
2015-04-17,1249942
2015-04-18,1238959
2015-04-19,1253086
2015-04-20,1250010
2015-04-21,1231963
2015-04-22,1215709
2015-04-23,1208216
2015-04-24,1201515
2015-04-25,1197764
2015-04-26,1206837
2015-04-27,1197456
2015-04-28,1180600
2015-04-29,1167968
2015-04-30,1150726
2015-05-01,1183027
2015-05-02,1207556
2015-05-03,1200571
2015-05-04,1173894
2015-05-05,1177276
2015-05-06,1187753
2015-05-07,1204577
2015-05-08,1216449
2015-05-09,1214127
2015-05-10,1201327
2015-05-11,1183725
2015-05-12,1167060
2015-05-13,1165746
2015-05-14,1156521
2015-05-15,1162156
2015-05-16,1184431
2015-05-17,1209002
2015-05-18,1229329
2015-05-19,1229632
2015-05-20,1218024
2015-05-21,1210514
2015-05-22,1192125
2015-05-23,1180212
2015-05-24,1170715
2015-05-25,1171750
2015-05-26,1171898
2015-05-27,1165246
2015-05-28,1150874
2015-05-29,1132409
2015-05-30,1111767
2015-05-31,1087059
2015-06-01,1068882
2015-06-02,1055826
2015-06-03,1070152
2015-06-04,1075659
2015-06-05,1082443
2015-06-06,1099704
2015-06-07,1116885
2015-06-08,1121181
2015-06-09,1121953
2015-06-10,1128573
2015-06-11,1130563
2015-06-12,1114923
2015-06-13,1101437
2015-06-14,1085795
2015-06-15,1073715
2015-06-16,1066823
2015-06-17,1059929
2015-06-18,1074751
2015-06-19,1074922
2015-06-20,1090604
2015-06-21,1086637
2015-06-22,1082666
2015-06-23,1079443
2015-06-24,1090197
2015-06-25,1091123
2015-06-26,1099373
2015-06-27,1122850
2015-06-28,1140694
2015-06-29,1154210
2015-06-30,1183356
2015-07-01,1233874
2015-07-02,1286881
2015-07-03,1321580
2015-07-04,1323853
2015-07-05,1358537
2015-07-06,1382959
2015-07-07,1377494
2015-07-08,1361444
2015-07-09,1346878
2015-07-10,1317001
2015-07-11,1288799
2015-07-12,1242557
2015-07-13,1219185
2015-07-14,1198149
2015-07-15,1194991
2015-07-16,1189921
2015-07-17,1216855
2015-07-18,1237771
2015-07-19,1261680
2015-07-20,1277330
2015-07-21,1287474
2015-07-22,1289546
2015-07-23,1317060
2015-07-24,1338845
2015-07-25,1358937
2015-07-26,1368270
2015-07-27,1431639
2015-07-28,1454855
2015-07-29,1447580
2015-07-30,1494752
2015-07-31,1534649
2015-08-01,1522763
2015-08-02,1557917
2015-08-03,1635723
2015-08-04,1620996
2015-08-05,1585333
2015-08-06,1532602
2015-08-07,1509864
2015-08-08,1521108
2015-08-09,1501408
2015-08-10,1495849
2015-08-11,1483522
2015-08-12,1440483
2015-08-13,1406029
2015-08-14,1410081
2015-08-15,1414132
2015-08-16,1424420
2015-08-17,1393716
2015-08-18,1343083
2015-08-19,1300639
2015-08-20,1266109
2015-08-21,1255712
2015-08-22,1261285
2015-08-23,1270980
2015-08-24,1273492
2015-08-25,1286128
2015-08-26,1319251
2015-08-27,1305330
2015-08-28,1281420
2015-08-29,1262450
2015-08-30,1250714
2015-08-31,1213948
2015-09-01,1167479
2015-09-02,1158964
2015-09-03,1154195
2015-09-04,1131409
2015-09-05,1159304
2015-09-06,1160178
2015-09-07,1174312
2015-09-08,1190053
2015-09-09,1212420
2015-09-10,1198045
2015-09-11,1188264
2015-09-12,1182129
2015-09-13,1197502
2015-09-14,1251148
2015-09-15,1238063
2015-09-16,1238637
2015-09-17,1221712
2015-09-18,1225859
2015-09-19,1225286
2015-09-20,1225910
2015-09-21,1222938
2015-09-22,1214774
2015-09-23,1215484
2015-09-24,1231427
2015-09-25,1230061
2015-09-27,1240039
2015-09-28,1258779
2015-09-29,1264866
2015-09-30,1287709
2015-10-05,1249604
2015-10-06,1245080
2015-10-07,1223961
2015-10-08,1203201
2015-10-09,1193728
2015-10-10,1180690
2015-10-11,1175945
2015-10-12,1152530
2015-10-13,1158286
2015-10-14,1145077
2015-10-15,1140216
2015-10-16,1153759
2015-10-17,1141490
2015-10-18,1134691
2015-10-19,1122062
2015-10-20,1144221
2015-10-22,1164872
2015-10-23,1175633
2015-10-24,1180793
2015-10-25,1193254
2015-10-26,1219334
2015-10-27,1215034
2015-10-29,1216401
2015-10-30,1225372
2015-10-31,1257872
2015-11-01,1288895
2015-11-02,1273260
2015-11-03,1274611
2015-11-04,1276700
2015-11-05,1251012
2015-11-06,1224584
2015-11-07,1208957
2015-11-08,1225537
2015-11-09,1214298
2015-11-10,1191962
2015-11-11,1172406
2015-11-12,1153197
2015-11-13,1140813
