date_obj,Pestle%20and%20mortar price
2015-03-26,256
2015-03-27,256
2015-03-28,268
2015-03-29,282
2015-03-30,297
2015-03-31,312
2015-04-01,325
2015-04-02,342
2015-04-03,360
2015-04-04,378
2015-04-05,394
2015-04-06,414
2015-04-07,435
2015-04-08,435
2015-04-09,448
2015-04-10,463
2015-04-11,486
2015-04-12,511
2015-04-13,530
2015-04-14,530
2015-04-15,557
2015-04-16,581
2015-04-17,605
2015-04-18,618
2015-04-19,606
2015-04-20,606
2015-04-21,603
2015-04-22,603
2015-04-23,608
2015-04-24,594
2015-04-25,573
2015-04-26,544
2015-04-27,516
2015-04-28,490
2015-04-29,490
2015-04-30,465
2015-05-01,449
2015-05-02,443
2015-05-03,443
2015-05-04,454
2015-05-05,473
2015-05-06,494
2015-05-07,514
2015-05-08,539
2015-05-09,566
2015-05-10,561
2015-05-11,561
2015-05-12,532
2015-05-13,532
2015-05-14,505
2015-05-15,505
2015-05-16,479
2015-05-17,455
2015-05-18,432
2015-05-19,432
2015-05-20,410
2015-05-21,410
2015-05-22,391
2015-05-23,391
2015-05-24,371
2015-05-25,352
2015-05-26,335
2015-05-27,335
2015-05-28,318
2015-05-29,317
2015-05-30,331
2015-05-31,331
2015-06-01,348
2015-06-02,348
2015-06-03,362
2015-06-04,362
2015-06-05,380
2015-06-06,397
2015-06-07,414
2015-06-08,414
2015-06-09,431
2015-06-10,452
2015-06-11,452
2015-06-12,475
2015-06-13,499
2015-06-14,521
2015-06-15,539
2015-06-16,539
2015-06-17,513
2015-06-18,498
2015-06-19,498
2015-06-20,491
2015-06-21,491
2015-06-22,479
2015-06-23,479
2015-06-24,455
2015-06-25,455
2015-06-26,432
2015-06-27,432
2015-06-28,417
2015-06-29,417
2015-06-30,403
2015-07-01,382
2015-07-02,382
2015-07-03,362
2015-07-04,348
2015-07-05,348
2015-07-06,331
2015-07-07,315
2015-07-08,299
2015-07-09,299
2015-07-10,284
2015-07-11,284
2015-07-12,269
2015-07-13,255
2015-07-14,242
2015-07-15,238
2015-07-16,238
2015-07-17,237
2015-07-18,237
2015-07-19,235
2015-07-20,225
2015-07-21,225
2015-07-22,221
2015-07-23,221
2015-07-24,213
2015-07-25,213
2015-07-26,216
2015-07-27,208
2015-07-28,210
2015-07-29,211
2015-07-30,211
2015-07-31,211
2015-08-01,212
2015-08-02,214
2015-08-03,214
2015-08-04,203
2015-08-05,197
2015-08-06,196
2015-08-07,196
2015-08-08,197
2015-08-09,198
2015-08-10,208
2015-08-11,219
2015-08-12,219
2015-08-13,230
2015-08-14,242
2015-08-15,242
2015-08-16,255
2015-08-17,255
2015-08-18,268
2015-08-19,268
2015-08-20,282
2015-08-21,293
2015-08-22,293
2015-08-23,308
2015-08-24,308
2015-08-25,324
2015-08-26,324
2015-08-27,339
2015-08-28,339
2015-08-29,354
2015-08-30,354
2015-08-31,366
2015-09-01,366
2015-09-02,384
2015-09-03,384
2015-09-04,399
2015-09-05,399
2015-09-06,418
2015-09-07,418
2015-09-08,439
2015-09-09,439
2015-09-10,461
2015-09-11,461
2015-09-12,483
2015-09-13,483
2015-09-14,507
2015-09-15,507
2015-09-16,529
2015-09-17,529
2015-09-18,541
2015-09-19,541
2015-09-20,567
2015-09-21,567
2015-09-22,583
2015-09-23,583
2015-09-24,612
2015-09-25,612
2015-09-27,635
2015-09-28,636
2015-09-29,636
2015-09-30,648
2015-10-05,584
2015-10-06,584
2015-10-07,557
2015-10-08,557
2015-10-09,529
2015-10-10,529
2015-10-11,502
2015-10-12,502
2015-10-13,476
2015-10-14,476
2015-10-15,470
2015-10-16,470
2015-10-17,470
2015-10-18,462
2015-10-19,462
2015-10-20,449
2015-10-22,449
2015-10-23,454
2015-10-24,454
2015-10-25,456
2015-10-26,456
2015-10-27,456
2015-10-29,456
2015-10-30,456
2015-10-31,449
2015-11-01,449
2015-11-02,428
2015-11-03,428
2015-11-04,428
2015-11-05,417
2015-11-06,417
2015-11-07,414
2015-11-08,414
2015-11-09,414
2015-11-10,414
2015-11-11,414
2015-11-12,416
2015-11-13,416
2015-11-14,416
2015-11-15,415
2015-11-16,415
2015-11-17,415
2015-11-18,434
2015-11-19,434
2015-11-20,454
2015-11-21,454
2015-11-22,477
2015-11-23,477
2015-11-24,477
2015-11-25,501
2015-11-26,501
2015-11-27,526
2015-11-28,526
2015-11-29,549
2015-11-30,549
2015-12-01,561
2015-12-02,561
2015-12-03,536
2015-12-04,536
2015-12-05,536
2015-12-06,523
2015-12-07,523
2015-12-08,527
2015-12-09,527
2015-12-10,515
2015-12-11,515
2015-12-12,503
2015-12-13,503
2015-12-14,481
2015-12-15,456
2015-12-16,456
2015-12-17,442
2015-12-18,442
2015-12-19,430
2015-12-20,423
2015-12-21,423
2015-12-22,424
2015-12-23,424
2015-12-24,424
2015-12-25,424
2015-12-26,430
2015-12-27,450
2015-12-28,450
2015-12-29,467
2015-12-30,467
2015-12-31,478
2016-01-01,478
2016-01-02,488
2016-01-03,503
2016-01-04,496
2016-01-05,496
2016-01-06,474
2016-01-07,474
2016-01-08,450
2016-01-09,450
2016-01-10,427
2016-01-11,427
2016-01-12,405
2016-01-13,405
2016-01-14,384
2016-01-15,384
2016-01-16,364
2016-01-17,364
2016-01-18,361
2016-01-19,361
2016-01-20,371
2016-01-21,371
2016-01-22,382
2016-01-23,382
2016-01-24,401
2016-01-25,408
2016-01-26,408
2016-01-27,395
2016-01-28,395
2016-01-29,375
2016-01-30,375
2016-01-31,356
2016-02-01,339
2016-02-02,339
2016-02-03,322
2016-02-04,322
2016-02-05,305
2016-02-06,289
2016-02-07,289
2016-02-08,274
2016-02-09,274
2016-02-10,260
2016-02-11,260
2016-02-12,247
2016-02-13,234
2016-02-14,234
2016-02-15,222
2016-02-16,222
2016-02-17,229
2016-02-18,229
2016-02-19,234
2016-02-20,234
2016-02-21,245
2016-02-22,245
2016-02-23,257
2016-02-24,257
2016-02-25,270
2016-02-26,270
2016-02-27,283
2016-02-28,283
2016-02-29,298
2016-03-01,312
2016-03-02,312
2016-03-03,328
2016-03-04,328
2016-03-05,345
2016-03-06,362
2016-03-07,362
2016-03-08,380
2016-03-09,380
2016-03-10,384
2016-03-11,384
2016-03-12,376
2016-03-13,376
2016-03-14,377
2016-03-15,377
2016-03-16,376
2016-03-17,376
2016-03-18,375
2016-03-19,375
2016-03-20,375
2016-03-21,375
2016-03-22,376
2016-03-23,378
2016-03-24,378
2016-03-25,377
2016-03-26,377
2016-03-27,377
2016-03-28,379
2016-03-29,379
2016-03-30,374
2016-03-31,374
2016-04-01,375
2016-04-02,375
2016-04-03,382
2016-04-04,382
2016-04-05,377
2016-04-06,379
2016-04-07,379
2016-04-08,380
2016-04-09,395
2016-04-10,412
2016-04-11,412
2016-04-12,425
2016-04-13,425
2016-04-14,444
2016-04-15,465
2016-04-16,465
2016-04-17,488
2016-04-18,510
2016-04-19,510
2016-04-20,530
2016-04-21,530
2016-04-22,550
2016-04-23,576
2016-04-24,576
2016-04-25,597
2016-04-26,597
2016-04-27,622
2016-04-28,622
2016-04-29,643
2016-04-30,669
2016-05-01,669
2016-05-02,696
2016-05-03,696
2016-05-04,696
2016-05-05,715
2016-05-06,715
2016-05-07,722
2016-05-08,722
2016-05-09,686
2016-05-10,662
2016-05-11,662
2016-05-12,628
2016-05-13,596
2016-05-14,596
2016-05-15,566
2016-05-16,566
2016-05-17,537
2016-05-18,510
2016-05-19,510
2016-05-22,459
2016-05-23,436
2016-05-24,414
2016-05-25,414
2016-05-26,398
2016-05-27,395
2016-05-28,395
2016-05-29,394
2016-05-30,394
2016-05-31,390
2016-06-01,388
2016-06-02,388
2016-06-03,387
2016-06-04,385
2016-06-05,385
2016-06-06,376
2016-06-07,376
2016-06-08,364
2016-06-09,346
2016-06-10,328
2016-06-11,328
2016-06-12,311
2016-06-13,311
2016-06-14,295
2016-06-15,295
2016-06-16,280
2016-06-17,266
2016-06-18,266
2016-06-19,252
2016-06-20,252
2016-06-21,245
2016-06-22,241
2016-06-23,247
2016-06-24,247
2016-06-25,246
2016-06-26,246
2016-06-27,245
2016-06-28,251
2016-06-29,251
2016-06-30,246
2016-07-01,246
2016-07-02,246
2016-07-03,247
2016-07-04,246
2016-07-05,246
2016-07-06,246
2016-07-07,246
2016-07-08,246
2016-07-09,246
2016-07-10,247
2016-07-11,248
2016-07-12,248
2016-07-13,245
2016-07-14,244
2016-07-15,244
2016-07-16,252
2016-07-17,252
2016-07-18,254
2016-07-23,264
2016-07-24,272
