date_obj,Berserker%20helm price
2015-03-26,56124
2015-03-27,56124
2015-03-28,56321
2015-03-29,55944
2015-03-30,53215
2015-03-31,51085
2015-04-01,50418
2015-04-02,48394
2015-04-03,47527
2015-04-04,47267
2015-04-05,46796
2015-04-06,46601
2015-04-07,46178
2015-04-08,48278
2015-04-09,50692
2015-04-10,52259
2015-04-11,54787
2015-04-12,52923
2015-04-13,50760
2015-04-14,48342
2015-04-15,47791
2015-04-16,49751
2015-04-17,50763
2015-04-18,50876
2015-04-19,50768
2015-04-20,50166
2015-04-21,50327
2015-04-22,50306
2015-04-23,51363
2015-04-24,53513
2015-04-25,55027
2015-04-26,56112
2015-04-27,54636
2015-04-28,53432
2015-04-29,52165
2015-04-30,52553
2015-05-01,51193
2015-05-02,49943
2015-05-03,49253
2015-05-04,48593
2015-05-05,47230
2015-05-06,47371
2015-05-07,47507
2015-05-08,47392
2015-05-09,48913
2015-05-10,49683
2015-05-11,48674
2015-05-12,49162
2015-05-13,50833
2015-05-14,51737
2015-05-15,53243
2015-05-16,55481
2015-05-17,57548
2015-05-18,54862
2015-05-19,54699
2015-05-20,54921
2015-05-21,53231
2015-05-22,51664
2015-05-23,49757
2015-05-24,49360
2015-05-25,48854
2015-05-26,50700
2015-05-27,50319
2015-05-28,52033
2015-05-29,52433
2015-05-30,53364
2015-05-31,53566
2015-06-01,52110
2015-06-02,51701
2015-06-03,51669
2015-06-04,51868
2015-06-05,51814
2015-06-06,51563
2015-06-07,50970
2015-06-08,50444
2015-06-09,50063
2015-06-10,50234
2015-06-11,50992
2015-06-12,50208
2015-06-13,50270
2015-06-14,51149
2015-06-15,50772
2015-06-16,50781
2015-06-17,49751
2015-06-18,50112
2015-06-19,50838
2015-06-20,50780
2015-06-21,51402
2015-06-22,51680
2015-06-23,50948
2015-06-24,51051
2015-06-25,51649
2015-06-26,51934
2015-06-27,51840
2015-06-28,51879
2015-06-29,51800
2015-06-30,51442
2015-07-01,50792
2015-07-02,51065
2015-07-03,51623
2015-07-04,51152
2015-07-05,50994
2015-07-06,51429
2015-07-07,51558
2015-07-08,51812
2015-07-09,51794
2015-07-10,51685
2015-07-11,51372
2015-07-12,51236
2015-07-13,51557
2015-07-14,51826
2015-07-15,52723
2015-07-16,52360
2015-07-17,51982
2015-07-18,50935
2015-07-19,51133
2015-07-20,52133
2015-07-21,52909
2015-07-22,53082
2015-07-23,54204
2015-07-24,54858
2015-07-25,57350
2015-07-26,56654
2015-07-27,53842
2015-07-28,51978
2015-07-29,52201
2015-07-30,51518
2015-07-31,52114
2015-08-01,52445
2015-08-02,52798
2015-08-03,53132
2015-08-04,55031
2015-08-05,56501
2015-08-06,55864
2015-08-07,53368
2015-08-08,53270
2015-08-09,53166
2015-08-10,53804
2015-08-11,52883
2015-08-12,53032
2015-08-13,53591
2015-08-14,53526
2015-08-15,52961
2015-08-16,51018
2015-08-17,51258
2015-08-18,51205
2015-08-19,50604
2015-08-20,52187
2015-08-21,54023
2015-08-22,54107
2015-08-23,55976
2015-08-24,55813
2015-08-25,54360
2015-08-26,54030
2015-08-27,53004
2015-08-28,52901
2015-08-29,53748
2015-08-30,52973
2015-08-31,52345
2015-09-01,51628
2015-09-02,52606
2015-09-03,51257
2015-09-04,50853
2015-09-05,50401
2015-09-06,50615
2015-09-07,50339
2015-09-08,52190
2015-09-09,54624
2015-09-10,52587
2015-09-11,52010
2015-09-12,53280
2015-09-13,52177
2015-09-14,52786
2015-09-15,53655
2015-09-16,54233
2015-09-17,54491
2015-09-18,54545
2015-09-19,54252
2015-09-20,53952
2015-09-21,53445
2015-09-22,54687
2015-09-23,56146
2015-09-24,55623
2015-09-25,55790
2015-09-27,52658
2015-09-28,50869
2015-09-29,52119
2015-09-30,53323
2015-10-05,54413
2015-10-06,54130
2015-10-07,53389
2015-10-08,52724
2015-10-09,52607
2015-10-10,52784
2015-10-11,52347
2015-10-12,51819
2015-10-13,51680
2015-10-14,51314
2015-10-15,50251
2015-10-16,51011
2015-10-17,51529
2015-10-18,51291
2015-10-19,52151
2015-10-20,52582
2015-10-22,52727
2015-10-23,52547
2015-10-24,53418
2015-10-25,54687
2015-10-26,56616
2015-10-27,57355
2015-10-28,55694
2015-10-29,53438
2015-10-30,54114
2015-10-31,54807
2015-11-01,57442
2015-11-02,59040
2015-11-03,57409
2015-11-04,57841
2015-11-05,58342
2015-11-06,59490
2015-11-07,58377
2015-11-08,56947
2015-11-09,54492
2015-11-10,53533
2015-11-11,53228
2015-11-12,53003
2015-11-13,54180
2015-11-14,52943
2015-11-15,53029
2015-11-16,52920
2015-11-17,52376
2015-11-18,52960
2015-11-19,54124
2015-11-20,54759
2015-11-21,55451
2015-11-22,54859
