date_obj,Leaf-bladed%20battleaxe price
2016-09-14,500000
2016-09-15,522863
2016-09-16,522863
2016-09-17,547484
2016-09-18,574859
2016-09-19,587011
2016-09-20,587011
2016-09-21,566691
2016-09-22,538424
2016-09-23,511502
2016-09-24,511502
2016-09-25,485931
2016-09-26,461634
2016-09-27,438552
2016-09-28,416624
2016-09-29,395792
2016-09-30,376002
2016-10-01,357201
2016-10-02,357201
2016-10-03,340347
2016-10-04,332828
2016-10-05,347581
2016-10-06,355986
2016-10-07,372392
2016-10-08,387014
2016-10-09,387014
2016-10-10,386452
2016-10-11,377028
2016-10-12,358465
2016-10-13,347255
2016-10-14,339200
2016-10-15,330282
2016-10-16,335888
2016-10-17,346381
2016-10-18,363701
2016-10-19,381887
2016-10-20,400982
2016-10-21,420298
2016-10-22,420298
2016-10-23,440692
2016-10-24,462064
2016-10-25,462064
2016-10-26,475885
2016-10-27,464454
2016-10-28,441659
2016-10-29,419576
2016-10-30,399757
2016-10-31,380286
2016-11-01,380286
2016-11-02,362201
2016-11-03,344287
2016-11-04,332154
2016-11-05,332154
2016-11-06,336309
2016-11-07,321796
2016-11-08,308793
2016-11-09,302573
2016-11-10,305961
2016-11-11,293403
2016-11-12,280854
2016-11-13,274967
2016-11-14,262608
2016-12-07,276591
2016-12-08,264682
2016-12-09,251482
2016-12-10,242440
2016-12-11,243055
2016-12-12,253438
2016-12-13,257769
2016-12-14,265874
2016-12-15,265874
2016-12-16,268516
2016-12-17,281363
2016-12-18,281363
2016-12-19,289923
2016-12-20,277146
2016-12-21,270083
2016-12-22,272161
2016-12-23,275690
2016-12-24,266512
2016-12-25,268218
2016-12-26,266469
2016-12-27,263744
2016-12-28,252840
2016-12-29,259209
2016-12-30,265810
2016-12-31,260781
2017-01-01,253976
2017-01-02,252589
2017-01-03,246531
2017-01-04,239159
2017-01-05,227294
2017-01-06,217633
2017-01-07,206751
2017-01-08,196413
2017-01-09,187148
2017-01-10,181964
2017-01-11,173033
2017-01-12,165266
2017-01-13,159085
2017-01-14,157210
2017-01-15,157385
2017-01-16,163755
2017-01-17,171723
2017-01-18,180020
2017-01-19,187594
2017-01-20,187345
2017-01-21,179905
2017-01-22,176817
2017-01-27,144046
2017-01-28,143634
2017-01-29,143516
2017-01-30,149193
2017-01-31,152064
2017-02-01,147220
2017-02-02,140354
2017-02-03,134653
2017-02-04,133058
2017-02-05,129567
2017-02-06,128134
2017-02-07,124928
2017-02-08,119348
2017-02-09,119348
2017-02-10,116997
2017-02-11,118529
2017-02-12,119130
2017-02-13,117751
2017-02-14,121056
2017-02-15,123691
2017-02-16,127077
2017-02-18,130389
2017-02-19,133735
2017-02-20,134511
2017-02-21,137661
2017-02-22,138622
2017-02-23,137038
2017-02-24,133779
2017-02-25,133718
2017-02-26,134351
2017-02-27,132652
2017-02-28,129898
2017-03-01,127707
2017-03-02,128191
2017-03-03,123180
2017-03-04,118453
2017-03-05,115885
2017-03-06,113613
2017-03-07,111456
2017-03-08,110059
2017-03-09,105432
2017-03-10,103890
2017-03-11,102890
2017-03-12,102807
2017-03-13,98558
2017-03-14,95723
2017-03-15,92731
2017-03-16,96116
2017-03-17,95513
2017-03-18,90737
2017-03-19,86286
2017-03-20,81971
2017-03-21,77872
2017-03-22,74849
2017-03-23,72320
2017-03-24,74933
2017-03-25,74933
2017-03-26,76811
2017-03-27,76997
2017-03-28,73394
2017-03-29,69782
2017-03-30,66993
2017-03-31,63643
2017-04-01,61906
2017-04-02,60356
2017-04-03,60963
2017-04-04,63606
2017-04-12,66629
2017-04-13,63592
2017-04-14,65656
2017-04-15,65986
2017-04-16,65962
2017-04-17,64215
2017-04-18,64916
2017-04-19,66882
2017-04-20,67412
2017-04-21,66419
2017-04-22,67511
2017-04-23,68375
2017-04-24,69657
2017-04-25,70110
2017-04-26,70110
2017-04-27,72884
2017-04-28,76529
2017-04-29,80356
2017-04-30,84018
2017-05-01,88096
2017-05-02,91859
2017-05-03,94147
2017-05-04,94626
2017-05-05,96606
2017-05-06,92865
2017-05-07,88221
2017-05-08,83809
2017-05-09,79618
2017-05-10,75637
2017-05-11,72061
2017-05-12,72414
2017-05-13,75199
2017-05-14,72862
2017-05-15,72105
2017-05-16,72655
2017-05-17,71304
2017-05-18,71301
2017-05-19,71301
2017-05-20,71715
2017-05-21,71715
2017-05-22,72854
2017-05-23,72494
2017-05-24,69537
2017-05-25,66745
2017-05-26,63415
2017-05-27,60746
2017-05-28,59509
2017-05-29,59194
2017-05-30,58655
2017-05-31,58571
2017-06-01,60410
2017-06-02,61806
2017-06-03,59723
2017-06-04,60064
2017-06-06,60958
2017-06-07,61182
2017-06-08,61182
2017-06-09,59386
2017-06-10,58121
2017-06-11,59145
2017-06-12,58461
2017-06-13,57967
2017-06-14,58422
2017-06-15,58459
2017-06-16,58913
2017-06-17,60248
2017-06-18,60846
2017-06-19,60846
2017-06-20,60935
2017-06-21,60931
2017-06-22,60931
2017-06-23,58676
2017-06-24,59214
2017-06-25,60628
2017-06-26,62613
2017-06-27,65744
2017-06-28,67928
2017-06-29,67058
2017-06-30,66512
2017-07-01,66512
2017-07-02,65963
2017-07-03,65168
2017-07-04,65308
2017-07-05,65308
2017-07-06,64626
2017-07-07,64626
2017-07-08,62569
2017-07-13,61016
2017-07-14,62648
2017-07-15,62648
2017-07-16,62964
2017-07-17,61316
2017-07-18,60599
2017-07-19,60248
2017-07-20,58516
2017-07-21,58570
2017-07-22,58550
2017-07-23,59575
2017-07-24,59249
2017-07-25,60403
2017-07-26,61663
2017-07-27,63349
2017-07-28,64948
2017-07-29,65386
2017-07-30,65501
2017-07-31,65501
2017-08-01,65236
2017-08-02,62621
2017-08-03,62205
2017-08-04,61068
2017-08-05,60858
2017-08-06,60830
2017-08-09,60485
2017-08-10,61008
2017-08-11,61633
2017-08-12,60568
2017-08-13,60679
2017-08-14,59923
2017-08-15,60305
2017-08-17,61368
2017-08-18,61368
2017-08-19,61344
2017-08-20,61697
2017-08-21,62073
2017-08-22,62294
2017-08-23,63595
2017-08-24,64812
2017-08-25,62922
2017-08-26,62226
2017-08-27,61147
2017-08-28,61854
2017-08-29,61854
2017-08-30,61593
2017-08-31,60419
2017-09-01,60419
2017-09-02,60328
2017-09-03,60328
2017-09-04,60916
2017-09-05,60585
2017-09-06,60917
2017-09-07,60704
2017-09-08,60704
2017-09-09,59659
2017-09-10,58614
2017-09-11,58386
2017-09-12,58386
2017-09-13,59172
2017-09-14,58912
2017-09-15,58912
2017-09-16,58184
2017-09-17,58599
2017-09-19,59527
2017-09-20,59164
2017-09-21,59796
2017-09-22,59690
2017-09-23,59690
2017-09-24,59234
2017-09-25,58450
2017-09-26,58088
2017-09-27,59556
2017-09-28,60942
2017-09-29,59899
2017-09-30,61473
2017-10-01,62288
2017-10-02,63963
2017-10-03,66169
2017-10-04,68852
2017-10-05,72295
2017-10-06,75910
2017-10-07,79672
2017-10-08,79539
2017-10-09,80818
2017-10-10,83791
2017-10-11,83791
2017-10-12,85906
2017-10-13,81865
2017-10-14,78088
2017-10-15,78088
2017-10-16,75385
2017-10-17,75385
2017-10-18,74970
2017-10-19,78536
2017-10-20,82463
2017-10-21,85968
2017-10-22,89246
2017-10-23,88800
2017-10-24,85704
2017-10-25,82102
2017-10-26,82321
2017-10-27,79493
2017-10-28,79493
2017-10-29,80649
2017-10-30,79301
2017-10-31,83096
2017-11-01,83096
2017-11-02,84393
2017-11-03,83227
2017-11-04,80194
2017-11-05,76677
2017-11-06,75431
2017-11-07,75337
2017-11-08,76458
2017-11-09,75892
2017-11-10,75232
2017-11-11,74251
2017-11-12,73717
2017-11-13,70749
2017-11-14,71115
2017-11-15,69349
2017-11-16,70654
2017-11-17,71055
2017-11-18,70861
2017-11-19,70977
2017-11-20,71043
2017-11-21,71136
2017-11-22,72467
2017-11-23,74675
2017-11-24,77377
2017-11-25,79119
2017-11-26,80752
2017-11-27,80752
2017-11-28,81283
2017-11-29,84302
2017-11-30,88486
2017-12-01,88900
2017-12-02,84455
2017-12-03,80745
2017-12-04,80707
2017-12-05,82530
2017-12-06,85891
2017-12-07,88675
2017-12-08,92456
2017-12-09,95676
2017-12-10,98688
2017-12-11,101842
2017-12-12,106867
2017-12-14,117822
2017-12-15,121983
2017-12-16,124793
2017-12-17,129695
2017-12-18,135700
2017-12-19,140314
2017-12-20,145353
2017-12-21,151754
2017-12-22,159342
2017-12-23,166271
2017-12-24,163297
2017-12-25,158130
2017-12-26,152368
2017-12-27,144833
2017-12-28,137820
2017-12-29,138805
2017-12-30,141934
2017-12-31,138702
2018-01-01,137881
2018-01-02,132612
2018-01-03,126520
2018-01-04,121218
2018-01-05,119818
2018-01-06,118612
2018-01-07,119108
2018-01-08,121932
2018-01-09,123750
2018-01-10,120903
2018-01-11,124649
2018-01-12,126670
2018-01-13,128692
2018-01-14,128928
2018-01-15,126670
2018-01-16,126848
2018-01-17,121023
2018-01-18,114971
2018-01-19,109993
2018-01-20,112791
2018-01-21,118147
2018-01-22,120380
2018-01-23,116486
2018-01-25,111633
2018-01-26,110450
2018-01-27,105664
2018-01-28,102403
2018-01-29,100522
2018-01-31,102037
2018-02-01,102248
2018-02-02,103436
2018-02-03,103278
2018-02-04,105759
2018-02-05,105512
2018-02-06,105405
2018-02-07,106119
2018-02-08,105295
2018-02-09,107517
2018-02-10,109780
2018-02-11,114247
2018-02-12,115759
2018-02-13,118980
2018-02-14,120378
2018-02-15,124736
2018-02-16,121171
2018-02-17,117433
2018-02-18,120713
2018-02-19,126636
2018-02-20,132040
2018-02-21,138457
2018-02-22,140648
2018-02-23,135528
2018-02-24,130626
2018-02-25,132682
2018-02-26,130616
2018-02-27,128845
2018-02-28,129179
2018-03-01,127513
2018-03-02,131263
2018-03-03,135372
2018-03-04,135911
2018-03-05,134379
2018-03-06,134413
2018-03-07,135448
2018-03-08,134453
2018-03-09,132650
2018-03-10,130749
2018-03-11,131385
2018-03-12,132076
2018-03-13,133751
2018-03-14,133739
2018-03-15,131204
2018-03-16,130610
2018-03-17,128519
2018-03-18,128607
2018-03-19,130601
2018-03-20,129331
2018-03-21,129546
2018-03-23,129633
2018-03-24,128840
2018-03-25,133261
2018-03-26,133640
2018-03-27,132155
2018-03-28,130491
2018-03-29,131536
2018-03-30,134502
2018-03-31,134206
2018-04-01,133441
2018-04-02,133961
2018-04-03,131623
2018-04-04,132327
2018-04-05,132920
2018-04-06,134000
2018-04-07,133211
