date_obj,Anglerfish price
2016-01-08,1112
2016-01-09,1168
2016-01-10,1227
2016-01-11,1289
2016-01-12,1354
2016-01-13,1422
2016-01-14,1494
2016-01-15,1567
2016-01-16,1629
2016-01-17,1694
2016-01-18,1763
2016-01-19,1692
2016-01-20,1667
2016-01-21,1626
2016-01-22,1692
2016-01-23,1769
2016-01-24,1785
2016-01-25,1741
2016-01-26,1752
2016-01-27,1830
2016-01-28,1850
2016-01-29,1843
2016-01-30,1866
2016-01-31,1877
2016-02-01,1969
2016-02-02,2043
2016-02-03,2056
2016-02-04,2057
2016-02-05,2008
2016-02-06,1971
2016-02-07,1937
2016-02-08,1874
2016-02-09,1880
2016-02-10,1864
2016-02-11,1794
2016-02-12,1790
2016-02-13,1805
2016-02-14,1838
2016-02-15,1853
2016-02-16,1844
2016-02-17,1809
2016-02-18,1801
2016-02-19,1753
2016-02-20,1784
2016-02-21,1852
2016-02-22,1894
2016-02-23,1924
2016-02-24,1946
2016-02-25,1955
2016-02-26,1974
2016-02-27,1920
2016-02-28,1845
2016-02-29,1809
2016-03-01,1786
2016-03-02,1824
2016-03-03,1818
2016-03-04,1857
2016-03-05,1826
2016-03-06,1782
2016-03-07,1771
2016-03-08,1818
2016-03-09,1803
2016-03-10,1803
2016-03-11,1844
2016-03-12,1809
2016-03-13,1801
2016-03-14,1775
2016-03-15,1762
2016-03-16,1748
2016-03-17,1742
2016-03-18,1739
2016-03-19,1754
2016-03-20,1767
2016-03-21,1760
2016-03-22,1746
2016-03-23,1697
2016-03-24,1683
2016-03-25,1690
2016-03-26,1687
2016-03-27,1667
2016-03-28,1614
2016-03-29,1617
2016-03-30,1635
2016-03-31,1613
2016-04-01,1625
2016-04-02,1623
2016-04-03,1614
2016-04-04,1596
2016-04-05,1575
2016-04-06,1574
2016-04-07,1561
2016-04-08,1566
2016-04-09,1532
2016-04-10,1556
2016-04-11,1562
2016-04-12,1561
2016-04-13,1602
2016-04-14,1578
2016-04-15,1623
2016-04-16,1641
2016-04-17,1691
2016-04-18,1729
2016-04-19,1768
2016-04-20,1822
2016-04-21,1892
2016-04-22,1874
2016-04-23,1856
2016-04-24,1832
2016-04-25,1846
2016-04-26,1866
2016-04-27,1910
2016-04-28,1909
2016-04-29,1975
2016-04-30,2062
2016-05-01,2020
2016-05-02,2017
2016-05-03,2009
2016-05-04,1994
2016-05-05,1997
2016-05-06,2057
2016-05-07,2151
2016-05-08,2157
2016-05-09,2132
2016-05-10,2189
2016-05-11,2134
2016-05-12,2101
2016-05-13,2035
2016-05-14,2021
2016-05-15,2036
2016-05-16,2092
2016-05-17,2164
2016-05-18,2132
2016-05-19,2026
2016-05-22,1931
2016-05-23,1970
2016-05-24,2018
2016-05-25,2032
2016-05-26,2022
2016-05-27,1988
2016-05-28,1960
2016-05-29,1961
2016-05-30,1968
2016-05-31,1970
2016-06-01,2001
2016-06-02,2018
2016-06-03,2029
2016-06-04,1999
2016-06-05,1978
2016-06-06,1975
2016-06-07,1983
2016-06-08,1964
2016-06-09,1975
2016-06-10,1948
2016-06-11,1924
2016-06-12,1873
2016-06-13,1909
2016-06-14,1916
2016-06-15,1907
2016-06-16,1900
2016-06-17,1902
2016-06-18,1929
2016-06-19,1906
2016-06-20,1894
2016-06-21,1873
2016-06-22,1882
2016-06-23,1904
2016-06-24,1888
2016-06-25,1892
2016-06-26,1909
2016-06-27,1880
2016-06-28,1874
