date_obj,Chef's%20delight price
2015-03-26,23014
2015-03-27,23014
2015-03-28,23014
2015-03-29,23014
2015-03-30,23014
2015-03-31,23014
2015-04-01,21885
2015-04-02,21885
2015-04-03,21885
2015-04-04,21885
2015-04-05,21885
2015-04-06,20829
2015-04-07,20829
2015-04-08,20829
2015-04-09,20829
2015-04-10,20829
2015-04-11,20829
2015-04-12,19833
2015-04-13,19833
2015-04-14,19833
2015-04-15,19833
2015-04-16,19833
2015-04-17,19833
2015-04-18,18855
2015-04-19,18855
2015-04-20,18855
2015-04-21,18855
2015-04-22,18855
2015-04-23,18855
2015-04-24,17945
2015-04-25,17945
2015-04-26,17945
2015-04-27,17945
2015-04-28,17945
2015-04-29,17061
2015-04-30,17061
2015-05-01,17061
2015-05-02,17061
2015-05-03,17061
2015-05-04,17061
2015-05-05,16306
2015-05-06,16306
2015-05-07,16306
2015-05-08,16306
2015-05-09,16306
2015-05-10,16306
2015-05-11,16306
2015-05-12,15490
2015-05-13,15490
2015-05-14,15490
2015-05-15,15490
2015-05-16,15490
2015-05-17,15490
2015-05-18,15490
2015-05-19,14743
2015-05-20,14743
2015-05-21,14743
2015-05-22,14743
2015-05-23,14743
2015-05-24,14743
2015-05-25,14743
2015-05-26,14743
2015-05-27,14049
2015-05-28,14049
2015-05-29,14049
2015-05-30,14049
2015-05-31,13346
2015-06-01,13346
2015-06-02,13346
2015-06-03,13346
2015-06-04,12717
2015-06-05,12717
2015-06-06,12717
2015-06-07,12717
2015-06-08,12145
2015-06-09,12145
2015-06-10,12145
2015-06-11,12145
2015-06-12,11583
2015-06-13,11583
2015-06-14,11583
2015-06-15,11583
2015-06-16,11003
2015-06-17,11003
2015-06-18,11003
2015-06-19,11003
2015-06-20,10474
2015-06-21,10474
2015-06-22,10474
2015-06-23,10474
2015-06-24,9950
2015-06-25,9950
2015-06-26,9950
2015-06-27,9950
2015-06-28,9566
2015-06-29,9566
2015-06-30,9566
2015-07-01,9566
2015-07-02,9566
2015-07-03,9087
2015-07-04,9087
2015-07-05,9087
2015-07-06,9087
2015-07-07,9087
2015-07-08,8632
2015-07-09,8632
2015-07-10,8632
2015-07-11,8632
2015-07-12,8632
2015-07-13,8632
2015-07-14,8225
2015-07-15,8225
2015-07-16,8225
2015-07-17,8225
2015-07-18,8225
2015-07-19,7925
2015-07-20,7925
2015-07-21,7925
2015-07-22,7925
2015-07-23,7715
2015-07-24,7715
2015-07-25,7715
2015-07-26,7715
2015-07-27,7556
2015-07-28,7556
2015-07-29,7556
2015-07-30,7556
2015-07-31,7532
2015-08-01,7532
2015-08-02,7532
2015-08-03,7532
2015-08-04,7306
2015-08-05,7306
2015-08-06,7306
2015-08-07,7306
2015-08-08,7210
2015-08-09,7210
2015-08-10,7210
2015-08-11,7210
2015-08-12,7096
2015-08-13,7096
2015-08-14,7096
2015-08-15,7096
2015-08-16,7096
2015-08-17,6874
2015-08-18,6874
2015-08-19,6874
2015-08-20,6874
2015-08-21,6632
2015-08-22,6632
2015-08-23,6632
2015-08-24,6632
2015-08-25,6477
2015-08-26,6477
2015-08-27,6477
2015-08-28,6477
