date_obj,Adamant%20helm%20(h5) price
2015-03-26,5888
2015-03-27,5888
2015-03-28,5627
2015-03-29,5627
2015-03-30,5364
2015-03-31,5364
2015-04-01,5364
2015-04-02,5104
2015-04-03,5104
2015-04-04,4891
2015-04-05,4891
2015-04-06,4891
2015-04-07,4676
2015-04-08,4676
2015-04-09,4676
2015-04-10,4498
2015-04-11,4498
2015-04-12,4305
2015-04-13,4305
2015-04-14,4305
2015-04-15,4111
2015-04-16,4111
2015-04-17,4111
2015-04-18,3925
2015-04-19,3925
2015-04-20,3925
2015-04-21,3872
2015-04-22,3872
2015-04-23,3872
2015-04-24,3682
2015-04-25,3682
2015-04-26,3682
2015-04-27,3613
2015-04-28,3613
2015-04-29,3613
2015-04-30,3452
2015-05-01,3452
2015-05-02,3292
2015-05-03,3292
2015-05-04,3163
2015-05-05,3163
2015-05-06,3055
2015-05-07,3055
2015-05-08,2920
2015-05-09,2920
2015-05-10,2818
2015-05-11,2818
2015-05-12,2718
2015-05-13,2718
2015-05-14,2624
2015-05-15,2624
2015-05-16,2624
2015-05-17,2513
2015-05-18,2513
2015-05-19,2546
2015-05-20,2546
2015-05-21,2546
2015-05-22,2552
2015-05-23,2552
2015-05-24,2453
2015-05-25,2453
2015-05-26,2371
2015-05-27,2371
2015-05-28,2371
2015-05-29,2293
2015-05-30,2293
2015-05-31,2191
2015-06-01,2191
2015-06-02,2191
2015-06-03,2101
2015-06-04,2101
2015-06-05,2101
2015-06-06,2072
2015-06-07,2072
2015-06-08,2072
2015-06-09,2072
2015-06-10,2028
2015-06-11,2028
2015-06-12,2028
2015-06-13,2028
2015-06-14,2073
2015-06-15,2073
2015-06-16,2073
2015-06-17,2124
2015-06-18,2124
2015-06-19,2124
2015-06-20,2061
2015-06-21,2061
2015-06-22,1985
2015-06-23,1985
2015-06-24,1985
2015-06-25,2016
2015-06-26,2016
2015-06-27,2016
2015-06-28,1997
2015-06-29,1997
2015-06-30,1997
2015-07-01,2057
2015-07-02,2057
2015-07-03,2057
2015-07-04,2044
2015-07-05,2044
2015-07-06,2044
2015-07-07,2023
2015-07-08,2023
2015-07-09,2023
2015-07-10,2071
2015-07-11,2071
2015-07-12,2071
2015-07-13,2071
2015-07-14,1980
2015-07-15,1980
2015-07-16,1980
2015-07-17,1922
2015-07-18,1922
2015-07-19,1922
2015-07-20,1922
2015-07-21,1971
2015-07-22,1971
2015-07-23,1971
2015-07-24,1993
2015-07-25,1993
2015-07-26,1993
2015-07-27,1993
2015-07-28,1982
2015-07-29,1982
2015-07-30,1982
2015-07-31,1911
2015-08-01,1911
2015-08-02,1928
2015-08-03,1928
2015-08-04,1928
2015-08-05,1934
2015-08-06,1934
2015-08-07,1934
2015-08-08,1934
2015-08-09,1900
2015-08-10,1900
2015-08-11,1900
2015-08-12,1957
2015-08-13,1957
2015-08-14,1957
2015-08-15,1951
2015-08-16,1951
2015-08-17,1951
2015-08-18,1999
2015-08-19,1999
2015-08-20,1999
2015-08-21,1977
2015-08-22,1977
2015-08-23,1977
2015-08-24,2073
2015-08-25,2073
2015-08-26,2073
2015-08-27,2073
2015-08-28,2073
2015-08-29,2053
2015-08-30,2053
2015-08-31,2053
2015-09-01,1993
2015-09-02,1993
2015-09-03,1993
2015-09-04,1993
2015-09-05,1991
2015-09-06,1991
2015-09-07,1991
2015-09-08,1979
2015-09-09,1979
2015-09-10,1979
2015-09-11,1979
2015-09-12,2000
2015-09-13,2000
2015-09-14,2000
2015-09-15,2038
2015-09-16,2038
2015-09-17,2038
2015-09-18,2038
2015-09-19,1993
2015-09-20,1993
2015-09-21,1993
2015-09-22,1993
2015-09-23,1910
2015-09-24,1910
2015-09-25,1910
2015-09-27,1924
2015-09-28,1924
2015-09-29,1924
2015-09-30,1918
2015-10-05,1955
2015-10-06,1955
2015-10-07,1955
2015-10-08,2022
2015-10-09,2022
2015-10-10,2022
2015-10-11,2045
2015-10-12,2045
2015-10-13,2045
2015-10-14,2045
2015-10-15,2045
2015-10-16,2045
2015-10-17,2045
2015-10-18,2045
2015-10-19,2101
2015-10-20,2101
2015-10-22,2101
2015-10-23,2107
2015-10-24,2107
2015-10-25,2107
2015-10-26,2191
2015-10-27,2191
2015-10-28,2191
2015-10-29,2191
2015-10-30,2295
2015-10-31,2295
2015-11-01,2295
2015-11-02,2295
2015-11-03,2383
2015-11-04,2383
2015-11-05,2383
2015-11-06,2383
2015-11-07,2485
2015-11-08,2485
2015-11-09,2485
2015-11-10,2485
2015-11-11,2485
2015-11-12,2608
2015-11-13,2608
2015-11-14,2608
2015-11-15,2608
2015-11-16,2608
2015-11-17,2720
2015-11-18,2720
2015-11-19,2720
2015-11-20,2832
2015-11-21,2832
2015-11-22,2832
2015-11-23,2832
2015-11-24,2956
2015-11-25,2956
2015-11-26,2956
2015-11-27,3101
2015-11-28,3101
2015-11-29,3101
2015-11-30,3219
2015-12-01,3219
2015-12-02,3219
2015-12-03,3219
2015-12-04,3219
2015-12-05,3275
2015-12-06,3275
2015-12-07,3275
2015-12-08,3403
2015-12-09,3403
2015-12-10,3403
2015-12-11,3403
2015-12-12,3498
2015-12-13,3498
2015-12-14,3498
2015-12-15,3498
2015-12-16,3395
2015-12-17,3395
2015-12-18,3395
2015-12-19,3395
2015-12-20,3476
2015-12-21,3476
2015-12-22,3476
2015-12-23,3441
2015-12-24,3441
2015-12-25,3441
2015-12-26,3441
2015-12-27,3368
2015-12-28,3368
2015-12-29,3368
2015-12-30,3394
2015-12-31,3394
2016-01-01,3394
2016-01-02,3394
2016-01-03,3500
2016-01-04,3500
2016-01-05,3512
2016-01-06,3512
2016-01-07,3512
2016-01-08,3512
2016-01-09,3565
2016-01-10,3565
2016-01-11,3565
2016-01-12,3648
2016-01-13,3648
2016-01-14,3648
2016-01-15,3829
2016-01-16,3829
2016-01-17,3829
2016-01-18,3952
2016-01-19,3952
2016-01-20,3952
2016-01-21,3920
2016-01-22,3920
2016-01-23,3920
2016-01-24,4014
2016-01-25,4014
2016-01-26,4014
2016-01-27,4097
2016-01-28,4097
2016-01-29,4097
2016-01-30,4104
2016-01-31,4104
2016-02-01,4251
2016-02-02,4251
2016-02-03,4251
2016-02-04,4460
2016-02-05,4460
2016-02-06,4648
2016-02-07,4648
2016-02-08,4648
2016-02-09,4870
2016-02-10,4870
2016-02-11,4870
2016-02-12,4870
2016-02-13,5084
2016-02-14,5084
2016-02-15,5084
2016-02-16,4956
2016-02-17,4956
2016-02-18,4956
2016-02-19,5042
2016-02-20,5042
2016-02-21,5159
2016-02-22,5159
2016-02-23,5159
2016-02-24,4950
2016-02-25,4950
2016-02-26,4950
2016-02-27,4705
2016-02-28,4705
2016-02-29,4647
2016-03-01,4647
2016-03-02,4647
2016-03-03,4864
2016-03-04,4864
2016-03-05,4864
2016-03-06,5108
2016-03-07,5108
2016-03-08,5108
2016-03-09,5248
2016-03-10,5248
2016-03-11,5248
2016-03-12,5021
2016-03-13,5021
2016-03-14,5021
2016-03-15,4848
2016-03-16,4848
2016-03-17,4835
2016-03-18,4835
2016-03-19,4865
2016-03-20,4865
2016-03-21,4865
2016-03-22,4968
2016-03-23,4968
2016-03-24,4968
2016-03-25,4731
2016-03-26,4731
2016-03-27,4729
2016-03-28,4729
2016-03-29,4729
2016-03-30,4851
2016-03-31,4851
2016-04-01,4851
2016-04-02,4794
2016-04-03,4794
2016-04-04,4701
2016-04-05,4701
2016-04-06,4701
2016-04-07,4541
2016-04-08,4541
2016-04-09,4467
2016-04-10,4467
2016-04-11,4467
2016-04-12,4477
2016-04-13,4477
2016-04-14,4477
2016-04-15,4529
2016-04-16,4529
2016-04-17,4681
2016-04-18,4681
2016-04-19,4835
2016-04-20,4835
2016-04-21,4835
2016-04-22,4900
2016-04-23,4900
2016-04-24,5104
2016-04-25,5104
2016-04-26,5287
2016-04-27,5287
2016-04-28,5136
2016-04-29,5136
2016-04-30,4886
2016-05-01,4886
2016-05-02,4738
2016-05-03,4738
2016-05-04,4754
2016-05-05,4754
