date_obj,Ensouled%20abyssal%20head price
2016-01-07,6451
2016-01-08,6773
2016-01-09,7112
2016-01-10,7468
2016-01-11,7582
2016-01-12,7285
2016-01-13,7369
2016-01-14,7738
2016-01-15,8124
2016-01-16,8442
2016-01-17,8640
2016-01-18,8638
2016-01-19,8472
2016-01-20,8456
2016-01-21,8033
2016-01-22,7631
2016-01-23,7249
2016-01-24,6955
2016-01-25,6876
2016-01-26,6970
2016-01-27,7120
2016-01-28,7185
2016-01-29,7066
2016-01-30,6767
2016-01-31,6617
2016-02-01,6917
2016-02-02,7263
2016-02-03,7627
2016-02-04,8009
2016-02-05,8405
2016-02-06,8672
2016-02-07,8419
2016-02-08,8443
2016-02-09,8272
2016-02-10,8138
2016-02-11,7769
2016-02-12,7859
2016-02-13,7727
2016-02-14,7508
2016-02-15,7244
2016-02-16,7043
2016-02-17,7020
2016-02-18,7371
2016-02-19,7666
2016-02-20,7686
2016-02-21,7443
2016-02-22,7797
2016-02-23,7771
2016-02-24,8160
2016-02-25,8099
2016-02-26,7837
2016-02-27,8095
2016-02-28,8499
2016-02-29,8924
2016-03-01,9250
2016-03-02,9364
2016-03-03,9720
2016-03-04,9717
2016-03-05,9437
2016-03-06,9627
2016-03-07,10096
2016-03-08,10307
2016-03-09,10254
2016-03-10,10591
2016-03-11,11043
2016-03-12,11412
2016-03-13,11181
2016-03-14,10840
2016-03-15,10586
2016-03-16,10138
2016-03-17,10181
2016-03-18,9923
2016-03-19,9784
2016-03-20,9964
2016-03-21,9603
2016-03-22,9541
2016-03-23,9682
2016-03-24,9316
2016-03-25,9259
2016-03-26,9361
2016-03-27,9298
2016-03-28,9445
2016-03-29,9918
2016-03-30,10000
2016-03-31,9736
2016-04-01,9563
2016-04-02,9441
2016-04-03,9346
2016-04-04,9165
2016-04-05,9012
2016-04-06,8828
2016-04-07,8725
2016-04-08,8719
2016-04-09,8961
2016-04-10,8843
2016-04-11,8689
2016-04-12,8529
2016-04-13,8473
2016-04-14,8236
2016-04-15,8299
2016-04-16,8515
2016-04-17,8711
2016-04-18,8557
2016-04-19,8500
2016-04-20,8528
2016-04-21,8736
2016-04-22,9003
2016-04-23,9092
2016-04-24,8921
2016-04-25,8655
2016-04-26,8455
2016-04-27,8426
2016-04-28,8578
2016-04-29,8356
2016-04-30,8522
2016-05-01,8616
2016-05-02,8470
2016-05-03,8307
2016-05-04,8353
2016-05-05,8441
2016-05-06,8326
2016-05-07,8156
2016-05-08,8078
2016-05-09,7791
2016-05-10,7867
2016-05-11,7675
2016-05-12,7524
2016-05-13,7901
2016-05-14,8098
2016-05-15,8237
2016-05-16,7968
2016-05-17,7885
2016-05-18,7784
2016-05-19,7436
2016-05-22,7315
2016-05-23,7659
2016-05-24,7950
2016-05-25,7586
2016-05-26,7556
2016-05-27,7707
2016-05-28,7575
2016-05-29,7702
2016-05-30,7547
2016-05-31,7475
2016-06-01,7481
2016-06-02,7681
2016-06-03,7538
2016-06-04,7560
2016-06-05,7544
2016-06-06,7612
2016-06-07,7648
2016-06-08,7649
2016-06-09,7641
2016-06-10,7598
2016-06-11,7508
2016-06-12,7487
2016-06-13,7587
2016-06-14,7563
2016-06-15,7531
2016-06-16,7562
2016-06-17,7503
2016-06-18,7550
2016-06-19,7543
2016-06-20,7612
2016-06-21,7663
2016-06-22,7785
2016-06-23,8115
2016-06-24,8513
2016-06-25,8638
2016-06-26,8233
2016-06-27,8617
2016-06-28,9029
2016-06-29,8884
2016-06-30,8602
2016-07-01,8525
2016-07-02,8611
2016-07-03,8634
2016-07-04,8681
2016-07-05,8829
2016-07-06,8575
2016-07-07,8195
2016-07-08,8438
2016-07-09,8733
2016-07-10,8836
2016-07-11,8617
2016-07-12,8739
2016-07-13,8938
2016-07-14,9073
2016-07-15,9320
2016-07-16,9556
2016-07-17,9688
2016-07-18,9533
2016-07-23,9638
2016-07-24,9794
2016-07-25,9785
2016-07-26,9621
2016-07-27,9460
2016-07-28,9458
2016-07-29,9603
2016-07-30,9728
2016-07-31,9487
2016-08-01,9622
2016-08-02,9589
2016-08-03,9863
2016-08-04,9815
2016-08-05,9704
2016-08-06,9577
2016-08-07,9395
2016-08-08,9409
2016-08-09,9188
2016-08-10,9065
2016-08-11,8998
2016-08-12,8937
2016-08-13,8904
2016-08-14,8880
2016-08-15,8930
2016-08-16,8653
2016-08-17,8766
2016-08-18,8668
2016-08-19,8548
2016-08-20,8524
2016-08-21,8529
2016-08-22,8680
2016-08-23,8714
2016-08-24,8569
2016-08-25,8332
2016-08-26,8269
2016-08-28,8391
2016-08-31,8363
2016-09-01,8130
2016-09-02,8280
2016-09-03,8161
2016-09-04,7998
2016-09-05,7988
2016-09-06,7925
2016-09-07,7956
2016-09-08,8151
2016-09-09,7911
2016-09-10,7978
2016-09-11,8348
2016-09-12,8338
2016-09-13,8150
2016-09-14,7994
2016-09-15,7805
2016-09-16,7865
2016-09-17,7874
2016-09-18,8045
2016-09-19,8147
2016-09-20,8117
2016-09-21,7929
2016-09-22,7982
2016-09-23,7966
2016-09-24,8181
2016-09-25,8249
2016-09-26,8325
2016-09-27,8217
2016-09-28,8057
2016-09-29,8118
2016-09-30,7873
2016-10-01,7890
2016-10-02,7738
2016-10-03,7673
2016-10-04,7802
2016-10-05,7873
2016-10-06,8040
2016-10-07,8243
2016-10-08,8260
2016-10-09,8317
2016-10-10,8028
2016-10-11,8037
2016-10-12,8161
2016-10-13,8054
2016-10-14,7959
2016-10-15,7954
2016-10-16,7873
2016-10-17,7998
2016-10-18,8134
2016-10-19,8181
2016-10-20,8453
2016-10-21,8624
2016-10-22,8744
2016-10-23,8540
2016-10-24,8742
2016-10-25,8768
2016-10-26,8502
2016-10-27,8256
2016-10-28,8239
2016-10-29,8498
2016-10-30,8574
2016-10-31,8478
2016-11-01,8535
2016-11-02,8572
2016-11-03,8638
2016-11-04,8396
2016-11-05,8265
2016-11-06,8243
2016-11-07,8334
2016-11-08,8025
2016-11-09,7968
2016-11-10,7922
2016-11-11,7634
2016-11-12,7846
2016-11-13,7862
2016-11-14,7916
2016-11-15,7790
2016-12-07,9174
2016-12-08,9352
2016-12-09,9494
2016-12-10,9140
2016-12-11,8698
2016-12-12,8351
2016-12-13,8198
2016-12-14,8277
2016-12-15,8422
2016-12-16,8702
2016-12-17,8555
2016-12-18,8735
2016-12-19,8988
2016-12-20,8860
2016-12-21,8847
2016-12-22,8774
2016-12-23,8959
2016-12-24,9217
2016-12-25,9581
2016-12-26,9339
2016-12-27,9126
2016-12-28,9270
2016-12-29,9003
2016-12-30,8874
2016-12-31,8780
2017-01-01,8758
2017-01-02,8526
2017-01-03,8387
2017-01-04,8284
2017-01-05,8115
2017-01-06,8230
2017-01-07,8276
2017-01-08,8475
2017-01-09,8307
2017-01-10,8122
2017-01-11,8185
2017-01-12,8298
2017-01-13,8438
2017-01-14,8709
2017-01-15,8803
2017-01-16,8843
2017-01-17,8762
2017-01-18,8517
2017-01-19,8308
2017-01-20,8201
2017-01-21,8300
2017-01-22,8507
2017-01-23,8579
2017-01-27,8793
2017-01-28,8862
2017-01-29,9098
2017-01-30,9149
2017-01-31,9151
2017-02-01,9246
2017-02-02,9224
2017-02-03,9322
2017-02-04,9095
2017-02-05,9366
2017-02-06,9362
2017-02-07,9545
2017-02-08,9551
2017-02-09,9494
2017-02-10,9504
2017-02-11,9407
2017-02-12,8954
2017-02-13,9063
2017-02-14,9096
2017-02-15,9213
2017-02-16,9572
2017-02-18,9500
2017-02-19,9263
2017-02-20,9217
2017-02-21,9150
2017-02-22,9097
2017-02-23,9232
2017-02-24,9353
2017-02-25,9440
2017-02-26,9287
2017-02-27,9435
2017-02-28,9237
2017-03-01,9205
2017-03-02,9132
2017-03-03,9141
2017-03-04,9248
2017-03-05,8957
2017-03-06,9004
2017-03-07,8763
2017-03-08,8805
2017-03-09,8785
2017-03-10,8863
2017-03-11,8754
2017-03-12,8648
2017-03-13,8465
2017-03-14,8768
2017-03-15,8663
2017-03-16,8523
2017-03-17,8456
2017-03-18,8637
2017-03-19,8538
2017-03-20,8557
2017-03-21,8496
2017-03-22,8521
2017-03-23,8511
2017-03-24,8306
2017-03-25,8069
2017-03-26,8380
2017-03-27,8553
2017-03-28,8486
2017-03-29,8580
2017-03-30,8590
2017-03-31,8598
2017-04-01,8448
2017-04-02,8479
2017-04-03,8427
2017-04-04,8465
2017-04-12,8324
2017-04-13,8428
2017-04-14,8358
2017-04-15,8330
2017-04-16,8348
2017-04-17,8281
2017-04-18,8246
2017-04-19,8238
2017-04-20,8224
2017-04-21,8272
2017-04-22,8348
2017-04-23,8295
2017-04-24,8376
2017-04-25,8272
2017-04-26,8228
2017-04-27,8136
2017-04-28,8143
2017-04-29,8091
2017-04-30,8076
2017-05-01,8111
2017-05-02,8224
2017-05-03,8313
2017-05-04,8066
2017-05-05,8029
2017-05-06,7813
2017-05-07,7867
2017-05-08,7826
2017-05-09,7917
2017-05-10,7923
2017-05-11,7884
2017-05-12,8027
2017-05-13,7947
2017-05-14,7918
2017-05-15,7800
2017-05-16,7784
2017-05-17,7676
2017-05-18,7710
2017-05-19,7750
2017-05-20,7668
2017-05-21,7747
2017-05-22,7702
2017-05-23,7737
2017-05-24,7582
2017-05-25,7578
2017-05-26,7633
2017-05-27,7668
2017-05-28,7632
2017-05-29,7619
2017-05-30,7689
2017-05-31,7682
2017-06-01,7792
2017-06-02,7822
2017-06-03,7890
2017-06-04,8169
2017-06-05,8021
2017-06-06,8052
2017-06-07,8076
2017-06-08,7938
2017-06-09,7939
2017-06-10,7996
2017-06-11,7978
2017-06-12,8076
2017-06-13,8398
2017-06-14,8322
2017-06-15,8570
2017-06-16,8382
2017-06-17,8423
2017-06-18,8311
2017-06-19,8303
2017-06-20,8275
2017-06-21,8304
2017-06-22,8286
2017-06-23,8128
2017-06-24,7979
2017-06-25,7803
2017-06-26,7794
2017-06-27,7743
2017-06-28,7715
2017-06-29,7568
2017-06-30,7542
2017-07-01,7625
2017-07-02,7643
2017-07-03,7694
2017-07-04,7482
2017-07-05,7206
2017-07-06,7002
2017-07-07,6920
2017-07-08,6679
2017-07-13,6938
2017-07-14,7032
2017-07-15,7049
2017-07-16,7094
2017-07-17,7179
2017-07-18,7123
2017-07-19,7355
2017-07-20,7640
2017-07-21,7649
2017-07-22,7535
2017-07-23,7415
2017-07-24,7470
2017-07-25,7567
2017-07-26,7752
2017-07-27,7842
2017-07-28,8012
2017-07-29,7960
2017-07-30,7812
2017-07-31,7596
2017-08-01,7399
2017-08-02,7488
2017-08-03,7564
2017-08-04,7326
2017-08-05,7361
2017-08-06,7507
2017-08-09,7214
2017-08-10,7288
2017-08-11,7203
2017-08-12,7102
2017-08-13,7168
2017-08-14,7202
2017-08-15,7359
2017-08-16,7335
2017-08-17,7480
2017-08-18,7476
2017-08-19,7479
2017-08-20,7474
2017-08-21,7398
2017-08-22,7368
2017-08-23,7266
2017-08-24,7221
2017-08-25,7220
2017-08-26,7256
