date_obj,Frog-leather%20boots price
2015-03-26,15902
2015-03-27,15113
2015-03-28,15113
2015-03-29,15113
2015-03-30,15113
2015-03-31,15113
2015-04-01,14365
2015-04-02,14365
2015-04-03,14365
2015-04-04,14365
2015-04-05,14365
2015-04-06,13653
2015-04-07,13653
2015-04-08,13653
2015-04-09,13653
2015-04-10,13653
2015-04-11,12978
2015-04-12,12978
2015-04-13,12978
2015-04-14,12978
2015-04-15,12978
2015-04-16,12978
2015-04-17,12342
2015-04-18,12342
2015-04-19,12342
2015-04-20,12342
2015-04-21,12342
2015-04-22,11840
2015-04-23,11840
2015-04-24,11840
2015-04-25,11840
2015-04-26,11840
2015-04-27,11840
2015-04-28,11379
2015-04-29,11379
2015-04-30,11379
2015-05-01,11379
2015-05-02,11379
2015-05-03,11379
2015-05-04,10859
2015-05-05,10859
2015-05-06,10859
2015-05-07,10859
2015-05-08,10859
2015-05-09,10859
2015-05-10,10320
2015-05-11,10320
2015-05-12,10320
2015-05-13,10320
2015-05-14,10320
2015-05-15,10320
2015-05-16,9813
2015-05-17,9813
2015-05-18,9813
2015-05-19,9813
2015-05-20,9813
2015-05-21,9813
2015-05-22,9357
2015-05-23,9357
2015-05-24,9357
2015-05-25,9357
2015-05-26,9357
2015-05-27,9357
2015-05-28,8889
2015-05-29,8889
2015-05-30,8889
2015-05-31,8450
2015-06-01,8450
2015-06-02,8450
2015-06-03,8450
2015-06-04,8035
2015-06-05,8035
2015-06-06,8035
2015-06-07,7658
2015-06-08,7658
2015-06-09,7658
2015-06-10,7303
2015-06-11,7303
2015-06-12,7303
2015-06-13,7303
2015-06-14,6956
2015-06-15,6956
2015-06-16,6956
2015-06-17,6956
2015-06-18,6616
2015-06-19,6616
2015-06-20,6616
2015-06-21,6616
2015-06-22,6285
2015-06-23,6285
2015-06-24,6285
2015-06-25,6285
2015-06-26,5970
2015-06-27,5970
2015-06-28,5970
2015-06-29,5673
2015-06-30,5673
2015-07-01,5673
2015-07-02,5673
2015-07-03,5389
2015-07-04,5389
2015-07-05,5389
2015-07-06,5389
2015-07-07,5204
2015-07-08,5204
2015-07-09,5204
2015-07-10,5204
2015-07-11,5204
2015-07-12,4957
2015-07-13,4957
2015-07-14,4957
2015-07-15,4715
2015-07-16,4715
2015-07-17,4715
2015-07-18,4715
2015-07-19,4485
2015-07-20,4485
2015-07-21,4485
2015-07-22,4271
2015-07-23,4271
2015-07-24,4271
2015-07-25,4067
2015-07-26,4067
2015-07-27,4067
2015-07-28,3871
2015-07-29,3871
2015-07-30,3871
2015-07-31,3677
2015-08-01,3677
2015-08-02,3677
2015-08-03,3507
2015-08-04,3507
2015-08-05,3507
2015-08-06,3341
2015-08-07,3341
2015-08-08,3341
2015-08-09,3196
2015-08-10,3196
2015-08-11,3196
2015-08-12,3196
2015-08-13,3128
2015-08-14,3128
2015-08-15,3128
2015-08-16,3128
2015-08-17,2978
2015-08-18,2978
2015-08-19,2978
2015-08-20,2978
2015-08-21,2829
2015-08-22,2829
2015-08-23,2829
2015-08-24,2829
2015-08-25,2829
2015-08-26,2687
2015-08-27,2687
2015-08-28,2687
2015-08-29,2687
2015-08-30,2553
2015-08-31,2553
2015-09-01,2553
2015-09-02,2553
2015-09-03,2429
2015-09-04,2429
2015-09-05,2429
2015-09-06,2429
2015-09-07,2307
2015-09-08,2307
2015-09-09,2307
2015-09-10,2307
2015-09-11,2239
2015-09-12,2239
2015-09-13,2239
2015-09-14,2239
2015-09-15,2191
2015-09-16,2191
2015-09-17,2191
2015-09-18,2191
2015-09-19,2191
2015-09-20,2123
2015-09-21,2123
2015-09-22,2123
2015-09-23,2123
2015-09-24,2123
2015-09-25,2123
2015-09-27,2065
2015-09-28,2065
2015-09-29,2065
2015-09-30,2065
2015-10-05,2069
2015-10-06,2059
2015-10-07,2059
2015-10-08,2059
2015-10-09,2059
2015-10-10,2059
2015-10-11,2023
2015-10-12,2023
2015-10-13,2023
2015-10-14,2023
2015-10-15,2023
2015-10-16,2019
2015-10-17,2019
2015-10-18,2019
2015-10-19,2019
