date_obj,Armadyl%20platelegs price
2016-02-13,40409
2016-02-14,40409
2016-02-15,40608
2016-02-16,40608
2016-02-17,40876
2016-02-18,40876
2016-02-19,41255
2016-02-20,40514
2016-02-21,40687
2016-02-22,40687
2016-02-23,40398
2016-02-24,40398
2016-02-25,39308
2016-02-26,39308
2016-02-27,38264
2016-02-28,38264
2016-02-29,38402
2016-03-01,39396
2016-03-02,39396
2016-03-03,39574
2016-03-04,40425
2016-03-05,40609
2016-03-06,40083
2016-03-07,40083
2016-03-08,40200
2016-03-09,40200
2016-03-10,40746
2016-03-11,40746
2016-03-12,40830
2016-03-13,40830
2016-03-14,41014
2016-03-15,40841
2016-03-16,39530
2016-03-17,40515
2016-03-18,40667
2016-03-19,40060
2016-03-20,40504
2016-03-21,40504
2016-03-22,39717
2016-03-23,39169
2016-03-24,39169
2016-03-25,39594
2016-03-26,39618
2016-03-27,39618
2016-03-28,40092
2016-03-29,40340
2016-03-30,40340
2016-03-31,41925
2016-04-01,41925
2016-04-02,43456
2016-04-03,45579
2016-04-04,47634
2016-04-05,47634
2016-04-06,48156
2016-04-07,49625
2016-04-08,51269
2016-04-09,52081
2016-04-10,52306
2016-04-11,52306
2016-04-12,50809
2016-04-13,48867
2016-04-14,47487
2016-04-15,45628
2016-04-16,44547
2016-04-17,44236
2016-04-18,42881
2016-04-19,42809
2016-04-20,41928
2016-04-21,41569
2016-04-22,41569
2016-04-23,41545
2016-04-24,40804
2016-04-25,40729
2016-04-26,40493
2016-04-27,39383
2016-04-28,38728
2016-04-29,39274
2016-04-30,39684
2016-05-01,40095
2016-05-02,40222
2016-05-03,40503
2016-05-04,40309
2016-05-05,39333
2016-05-06,39333
2016-05-07,39051
2016-05-08,39700
2016-05-09,39719
2016-05-10,39793
2016-05-11,39345
2016-05-12,40301
2016-05-13,40728
2016-05-14,41125
2016-05-15,40883
2016-05-16,41041
2016-05-17,40726
2016-05-18,40988
2016-05-19,40826
2016-05-22,43591
