date_obj,Fremennik%20boots price
2015-03-26,7756
2015-03-27,7371
2015-03-28,7371
2015-03-29,7371
2015-03-30,7007
2015-03-31,7007
2015-04-01,7007
2015-04-02,7007
2015-04-03,6747
2015-04-04,6747
2015-04-05,6747
2015-04-06,6414
2015-04-07,6414
2015-04-08,6414
2015-04-09,6414
2015-04-10,6095
2015-04-11,6095
2015-04-12,6095
2015-04-13,6095
2015-04-14,5813
2015-04-15,5813
2015-04-16,5813
2015-04-17,5813
2015-04-18,5529
2015-04-19,5529
2015-04-20,5529
2015-04-21,5529
2015-04-22,5252
2015-04-23,5252
2015-04-24,5252
2015-04-25,5252
2015-04-26,4989
2015-04-27,4989
2015-04-28,4989
2015-04-29,4989
2015-04-30,4739
2015-05-01,4739
2015-05-02,4739
2015-05-03,4739
2015-05-04,4502
2015-05-05,4502
2015-05-06,4502
2015-05-07,4502
2015-05-08,4276
2015-05-09,4276
2015-05-10,4276
2015-05-11,4276
2015-05-12,4062
2015-05-13,4062
2015-05-14,4062
2015-05-15,4062
2015-05-16,3864
2015-05-17,3864
2015-05-18,3864
2015-05-19,3680
2015-05-20,3680
2015-05-21,3680
2015-05-22,3680
2015-05-23,3501
2015-05-24,3501
2015-05-25,3501
2015-05-26,3330
2015-05-27,3330
2015-05-28,3330
2015-05-29,3163
2015-05-30,3163
2015-05-31,3004
2015-06-01,3004
2015-06-02,2883
2015-06-03,2883
2015-06-04,2883
2015-06-05,2799
2015-06-06,2799
2015-06-07,2701
2015-06-08,2701
2015-06-09,2701
2015-06-10,2714
2015-06-11,2714
2015-06-12,2714
2015-06-13,2711
2015-06-14,2711
2015-06-15,2711
2015-06-16,2640
2015-06-17,2640
2015-06-18,2640
2015-06-19,2514
2015-06-20,2514
2015-06-21,2431
2015-06-22,2431
2015-06-23,2431
2015-06-24,2316
2015-06-25,2316
2015-06-26,2316
2015-06-27,2200
2015-06-28,2200
2015-06-29,2122
2015-06-30,2122
2015-07-01,2122
2015-07-02,2090
2015-07-03,2090
2015-07-04,2088
2015-07-05,2088
2015-07-06,2088
2015-07-07,2107
2015-07-08,2107
2015-07-09,2107
2015-07-10,2090
2015-07-11,2090
2015-07-12,2090
2015-07-13,2066
2015-07-14,2066
2015-07-15,2066
2015-07-16,2033
2015-07-17,2033
2015-07-18,2033
2015-07-19,2032
2015-07-20,2032
2015-07-21,2032
2015-07-22,2003
2015-07-23,2003
2015-07-24,2003
2015-07-25,1972
2015-07-26,1972
2015-07-27,1972
2015-07-28,2011
2015-07-29,2011
2015-07-30,2011
2015-07-31,1999
2015-08-01,1999
2015-08-02,2007
2015-08-03,2007
2015-08-04,2007
2015-08-05,2035
2015-08-06,2035
