date_obj,Ghrazi%20rapier price
2018-06-06,155612924
2018-06-07,163002021
2018-06-08,170707217
2018-06-09,178355668
2018-06-10,186482102
2018-06-11,195201380
2018-06-12,203916498
2018-06-13,213625028
2018-06-14,224306280
2018-06-15,235521594
2018-06-16,246983105
2018-06-17,259332261
2018-06-18,272298875
2018-06-19,285913819
2018-06-20,299907628
2018-06-21,314903010
2018-06-22,330648161
2018-06-23,346562120
2018-06-24,363890226
2018-06-25,382084738
2018-06-26,401188975
2018-06-27,421248424
2018-06-28,442310846
2018-06-29,464426389
2018-06-30,487647709
2018-07-01,511058316
2018-07-02,532233096
2018-07-03,511877632
2018-07-04,486328523
2018-07-05,462012096
2018-07-06,439145099
2018-07-07,450321740
2018-07-08,457554218
2018-07-09,451901029
2018-07-10,454349633
2018-07-11,472578778
2018-07-12,480633264
2018-07-13,491960548
2018-07-14,507937550
2018-07-15,522819274
2018-07-16,528831900
2018-07-17,522189573
2018-07-18,496213468
2018-07-19,504145556
2018-07-20,503906478
2018-07-21,499483441
2018-07-22,493448367
2018-07-23,470885790
2018-07-24,460584435
2018-07-25,447619190
2018-07-26,440022758
2018-07-27,437294136
2018-07-28,446941772
2018-07-29,447711631
2018-07-30,449374019
2018-07-31,454761420
2018-08-01,461034792
2018-08-02,459639452
2018-08-03,451543027
2018-08-04,448889728
2018-08-05,453639478
2018-08-06,457701580
2018-08-07,455856921
2018-08-08,450299010
2018-08-09,428885532
2018-08-10,408882791
2018-08-11,390332983
2018-08-12,392968705
2018-08-14,384568058
2018-08-16,389158564
2018-08-17,406632998
2018-08-18,412917323
2018-08-19,417953041
2018-08-20,418743025
2018-08-21,420232797
2018-08-22,420772407
2018-08-23,418416832
2018-08-24,414122615
2018-08-25,407225691
2018-08-26,407076133
2018-08-27,401947715
2018-08-28,392702069
2018-08-29,390379061
2018-08-30,390986377
2018-08-31,393009297
2018-09-01,395524928
2018-09-02,398059490
2018-09-03,395952678
2018-09-04,396448795
2018-09-05,397129170
2018-09-06,398134289
2018-09-07,399709192
2018-09-08,400773855
2018-09-09,381675323
2018-09-10,371297073
2018-09-11,355405332
2018-09-12,339208414
2018-09-13,348993809
2018-09-14,352114828
2018-09-15,357306441
2018-09-16,353130781
2018-09-17,353800461
2018-09-18,352285659
2018-09-19,353528801
2018-09-20,358772900
2018-09-21,365996208
2018-09-22,366655199
2018-09-23,367943030
2018-09-24,366786949
2018-09-25,363047552
2018-09-26,362336730
2018-09-27,362522275
2018-09-28,365744402
2018-09-29,365865448
2018-09-30,367697036
2018-10-02,369220495
2018-10-03,368907174
2018-10-04,376207338
2018-10-05,379454267
2018-10-06,376984402
2018-10-07,373953805
2018-10-08,371819463
2018-10-09,369583750
2018-10-10,374628385
2018-10-11,378857504
