date_obj,Guthix%20dragonhide%20set price
2016-02-13,135873
2016-02-14,135873
2016-02-15,135873
2016-02-16,139053
2016-02-17,139053
2016-02-18,139053
2016-02-19,139053
2016-02-20,139053
2016-02-21,139038
2016-02-22,139038
2016-02-23,139038
2016-02-24,139038
2016-02-25,139038
2016-02-26,139038
2016-02-27,138896
2016-02-28,138896
2016-02-29,138896
2016-03-01,138896
2016-03-02,138896
2016-03-03,138896
2016-03-04,133803
2016-03-05,133803
2016-03-06,133803
2016-03-07,133803
2016-03-08,133803
2016-03-09,133803
2016-03-10,129165
2016-03-11,129165
2016-03-12,129165
2016-03-13,129165
2016-03-14,129165
2016-03-15,126239
2016-03-16,126239
2016-03-17,126239
2016-03-18,126239
2016-03-19,126239
2016-03-20,126239
2016-03-21,127851
2016-03-22,127851
2016-03-23,127851
2016-03-24,127851
2016-03-25,127851
2016-03-26,126807
2016-03-27,126807
2016-03-28,126807
2016-03-29,126807
2016-03-30,126807
2016-03-31,126807
2016-04-01,130486
2016-04-02,130486
2016-04-03,130486
2016-04-04,130486
2016-04-05,130486
2016-04-06,129467
2016-04-07,129467
2016-04-08,129467
2016-04-09,129467
2016-04-10,127315
2016-04-11,127315
2016-04-12,127315
2016-04-13,127315
2016-04-14,127315
2016-04-15,127315
2016-04-16,129342
2016-04-17,129342
2016-04-18,129342
2016-04-19,129342
2016-04-20,129342
2016-04-21,129342
2016-04-22,133188
2016-04-23,133188
2016-04-24,133188
2016-04-25,133188
2016-04-26,133188
2016-04-27,133510
2016-04-28,133510
2016-04-29,133510
2016-04-30,133510
2016-05-01,133510
2016-05-02,132372
2016-05-03,132372
2016-05-04,132372
2016-05-05,132372
2016-05-06,132372
2016-05-07,129666
2016-05-08,129666
2016-05-09,129666
2016-05-10,129666
2016-05-11,129666
2016-05-12,129666
2016-05-13,124988
2016-05-14,124988
2016-05-15,124988
2016-05-16,124988
2016-05-17,124988
2016-05-18,123469
2016-05-19,123469
2016-05-22,123469
2016-05-23,118119
