date_obj,Watchtower%20teleport%20(tablet) price
2015-03-05,827
2015-03-06,827
2015-03-07,827
2015-03-08,827
2015-03-09,827
2015-03-10,827
2015-03-11,865
2015-03-12,865
2015-03-13,865
2015-03-14,865
2015-03-15,865
2015-03-16,865
2015-03-17,865
2015-03-18,865
2015-03-19,904
2015-03-20,904
2015-03-21,904
2015-03-22,904
2015-03-23,904
2015-03-24,904
2015-03-25,904
2015-03-26,896
2015-03-27,896
2015-03-28,896
2015-03-29,896
2015-03-30,896
2015-03-31,896
2015-04-01,896
2015-04-02,918
2015-04-03,918
2015-04-04,918
2015-04-05,918
2015-04-06,918
2015-04-07,918
2015-04-08,950
2015-04-09,950
2015-04-10,950
2015-04-11,950
2015-04-12,950
2015-04-13,950
2015-04-14,950
2015-04-15,923
2015-04-16,923
2015-04-17,923
2015-04-18,923
2015-04-19,923
2015-04-20,923
2015-04-21,876
2015-04-22,876
2015-04-23,876
2015-04-24,876
2015-04-25,876
2015-04-26,876
2015-04-27,876
2015-04-28,845
2015-04-29,845
2015-04-30,845
2015-05-01,845
2015-05-02,845
2015-05-03,845
2015-05-04,809
2015-05-05,809
2015-05-06,809
2015-05-07,809
2015-05-08,809
2015-05-09,809
2015-05-10,798
2015-05-11,798
2015-05-12,798
2015-05-13,798
2015-05-14,798
2015-05-15,798
2015-05-16,798
2015-05-17,793
2015-05-18,793
2015-05-19,793
2015-05-20,793
2015-05-21,793
2015-05-22,793
2015-05-23,793
2015-05-24,793
2015-05-25,796
2015-05-26,796
2015-05-27,796
2015-05-28,796
2015-05-29,796
2015-05-30,789
2015-05-31,789
2015-06-01,789
2015-06-02,789
2015-06-03,789
2015-06-04,789
2015-06-05,809
2015-06-06,809
2015-06-07,809
2015-06-08,809
2015-06-09,809
2015-06-10,809
2015-06-11,812
2015-06-12,812
2015-06-13,812
2015-06-14,812
2015-06-15,812
2015-06-16,812
2015-06-17,823
2015-06-18,823
2015-06-19,823
2015-06-20,823
2015-06-21,823
2015-06-22,823
2015-06-23,848
2015-06-24,848
2015-06-25,848
2015-06-26,848
2015-06-27,848
2015-06-28,848
2015-06-29,872
2015-06-30,872
2015-07-01,872
2015-07-02,872
2015-07-03,872
2015-07-04,872
2015-07-05,872
2015-07-06,884
2015-07-07,884
2015-07-08,884
2015-07-09,884
2015-07-10,884
2015-07-11,884
2015-07-12,884
2015-07-13,865
2015-07-14,865
2015-07-15,865
2015-07-16,865
2015-07-17,865
2015-07-18,865
2015-07-19,855
2015-07-20,855
2015-07-21,855
2015-07-22,855
2015-07-23,855
2015-07-24,855
