date_obj,Bronze%20platebody%20(t) price
2015-03-26,101068
2015-03-27,101068
2015-03-28,96634
2015-03-29,92230
2015-03-30,87908
2015-03-31,83954
2015-04-01,80695
2015-04-02,77071
2015-04-03,73504
2015-04-04,70200
2015-04-05,70200
2015-04-06,67039
2015-04-07,64114
2015-04-08,64114
2015-04-09,61320
2015-04-10,61320
2015-04-11,58574
2015-04-12,55937
2015-04-13,53583
2015-04-14,51053
2015-04-15,48769
2015-04-16,46470
2015-04-17,46470
2015-04-18,44146
2015-04-19,42153
2015-04-20,42153
2015-04-21,40194
2015-04-22,38610
2015-04-23,36821
2015-04-24,36821
2015-04-25,34979
2015-04-26,34979
2015-04-27,33659
2015-04-28,32081
2015-04-29,32081
2015-04-30,30642
2015-05-01,29283
2015-05-02,29283
2015-05-03,28288
2015-05-04,28288
2015-05-05,27059
2015-05-06,27059
2015-05-07,25979
2015-05-08,25979
2015-05-09,25031
2015-05-10,24635
2015-05-11,24635
2015-05-12,23607
2015-05-13,23607
2015-05-14,22508
2015-05-15,22508
2015-05-16,21500
2015-05-17,20526
2015-05-18,20526
2015-05-19,19818
2015-05-20,19818
2015-05-21,19818
2015-05-22,18827
2015-05-23,18827
2015-05-24,17967
2015-05-25,17123
2015-05-26,17123
2015-05-27,16360
2015-05-28,16360
2015-05-29,15799
2015-05-30,15160
2015-05-31,15160
2015-06-01,14846
2015-06-02,14846
2015-06-03,14446
2015-06-04,14446
2015-06-05,13899
2015-06-06,13899
2015-06-07,13674
2015-06-08,13674
2015-06-09,13393
2015-06-10,13393
2015-06-11,13344
2015-06-12,13344
2015-06-13,12939
2015-06-14,12939
2015-06-15,12939
2015-06-16,12986
2015-06-17,12986
2015-06-18,13378
2015-06-19,13378
2015-06-20,13682
2015-06-21,13682
2015-06-22,14300
2015-06-23,14300
2015-06-24,14854
2015-06-25,14854
2015-06-26,14854
2015-06-27,15212
2015-06-28,15212
2015-06-29,15317
2015-06-30,15317
2015-07-01,15317
2015-07-02,15123
2015-07-03,15123
2015-07-04,15184
2015-07-05,15184
2015-07-06,15184
2015-07-07,14899
2015-07-08,14899
2015-07-09,14899
2015-07-10,15148
2015-07-11,15148
2015-07-12,15148
2015-07-13,15438
2015-07-14,15438
2015-07-15,15438
2015-07-16,15535
2015-07-17,15535
2015-07-18,15535
2015-07-19,16147
2015-07-20,16147
2015-07-21,16835
2015-07-22,16835
2015-07-23,16780
2015-07-24,16780
2015-07-25,16183
2015-07-26,16183
2015-07-27,16487
2015-07-28,16487
2015-07-29,16736
2015-07-30,16736
2015-07-31,16736
2015-08-01,17313
2015-08-02,17313
2015-08-03,17518
2015-08-04,17518
2015-08-05,17518
2015-08-06,17707
2015-08-07,17707
2015-08-08,17707
2015-08-09,17811
2015-08-10,17811
2015-08-11,17811
2015-08-12,18046
2015-08-13,18046
2015-08-14,18060
2015-08-15,18060
2015-08-16,18060
2015-08-17,18275
2015-08-18,18275
2015-08-19,18504
2015-08-20,18504
2015-08-21,18686
2015-08-22,18686
2015-08-23,18686
2015-08-24,18318
2015-08-25,18318
2015-08-26,18318
2015-08-27,18605
2015-08-28,18605
2015-08-29,18605
2015-08-30,18281
2015-08-31,18281
2015-09-01,18094
2015-09-02,18094
2015-09-03,18094
2015-09-04,17919
2015-09-05,17919
2015-09-06,17919
2015-09-07,17932
2015-09-08,17932
2015-09-09,17932
2015-09-10,18260
2015-09-11,18260
2015-09-12,18260
2015-09-13,18400
2015-09-14,18400
2015-09-15,18498
2015-09-16,18498
2015-09-17,18498
2015-09-18,18840
2015-09-19,18840
2015-09-20,18695
2015-09-21,18695
2015-09-22,18695
2015-09-23,18260
2015-09-24,18260
2015-09-25,18260
2015-09-27,18235
2015-09-28,18457
2015-09-29,18457
2015-09-30,18856
2015-10-05,19321
2015-10-06,19321
2015-10-07,19321
2015-10-08,20032
2015-10-09,20032
2015-10-10,20032
2015-10-11,20032
2015-10-12,20153
2015-10-13,20153
2015-10-14,20153
2015-10-15,21112
2015-10-16,21112
2015-10-17,21112
2015-10-18,21112
2015-10-19,21538
2015-10-20,21538
2015-10-22,21538
2015-10-23,21322
2015-10-24,21322
2015-10-25,21322
2015-10-26,20754
2015-10-27,20754
2015-10-29,20754
2015-10-30,21046
2015-10-31,21046
2015-11-01,21046
2015-11-02,21044
2015-11-03,21044
2015-11-04,21044
2015-11-05,21044
2015-11-06,20630
2015-11-07,20630
2015-11-08,20630
2015-11-09,19784
2015-11-10,19784
2015-11-11,19784
2015-11-12,19331
2015-11-13,19331
2015-11-14,19331
2015-11-15,18954
2015-11-16,18954
2015-11-17,18954
2015-11-18,18757
2015-11-19,18757
2015-11-20,18120
2015-11-21,18120
2015-11-22,18120
2015-11-23,17705
2015-11-24,17705
2015-11-25,18043
