date_obj,Royal%20gown%20bottom price
2015-03-26,179722
2015-03-27,179722
2015-03-28,170997
2015-03-29,170997
2015-03-30,162508
2015-03-31,162508
2015-04-01,154440
2015-04-02,154440
2015-04-03,146862
2015-04-04,142405
2015-04-05,142405
2015-04-06,137524
2015-04-07,137524
2015-04-08,134900
2015-04-09,134900
2015-04-10,129538
2015-04-11,129538
2015-04-12,123146
2015-04-13,123146
2015-04-14,118178
2015-04-15,118178
2015-04-16,113426
2015-04-17,113426
2015-04-18,108580
2015-04-19,108580
2015-04-20,103529
2015-04-21,103529
2015-04-22,101988
2015-04-23,101988
2015-04-24,97306
2015-04-25,97306
2015-04-26,96573
2015-04-27,96573
2015-04-28,96267
2015-04-29,96267
2015-04-30,95250
2015-05-01,95250
2015-05-02,93191
2015-05-03,93191
2015-05-04,92527
2015-05-05,92527
2015-05-06,91252
2015-05-07,88542
2015-05-08,88542
2015-05-09,85819
2015-05-10,85819
2015-05-11,81528
2015-05-12,77824
2015-05-13,77824
2015-05-14,73947
2015-05-15,73947
2015-05-16,70249
2015-05-17,66825
2015-05-18,66825
2015-05-19,63748
2015-05-20,63748
2015-05-21,60681
2015-05-22,58746
2015-05-23,58746
2015-05-24,57724
2015-05-25,59317
2015-05-26,59317
2015-05-27,61061
2015-05-28,61061
2015-05-29,62517
2015-05-30,64359
2015-05-31,64359
2015-06-01,64807
2015-06-02,64807
2015-06-03,65314
2015-06-04,65314
2015-06-05,65273
2015-06-06,65273
2015-06-07,66161
2015-06-08,66161
2015-06-09,67427
2015-06-10,67427
2015-06-11,67759
2015-06-12,67759
2015-06-13,68853
2015-06-14,68853
2015-06-15,70183
2015-06-16,70183
2015-06-17,69702
2015-06-18,69702
2015-06-19,68904
2015-06-20,68904
2015-06-21,66669
2015-06-22,66669
2015-06-23,63715
2015-06-24,63715
2015-06-25,62491
2015-06-26,59840
2015-06-27,59840
2015-06-28,57846
2015-06-29,57846
2015-06-30,57735
2015-07-01,57735
2015-07-02,57735
2015-07-03,57709
2015-07-04,57709
2015-07-05,57664
2015-07-06,57664
2015-07-07,59226
2015-07-08,59226
2015-07-09,59226
2015-07-10,61666
2015-07-11,61666
2015-07-12,61666
2015-07-13,63783
2015-07-14,63783
2015-07-15,65938
2015-07-16,65938
2015-07-17,68755
2015-07-18,68755
2015-07-19,70723
2015-07-20,70723
2015-07-21,71484
2015-07-22,72930
2015-07-23,72930
2015-07-24,73801
2015-07-25,73801
2015-07-26,74796
2015-07-27,74796
2015-07-28,74062
2015-07-29,73475
2015-07-30,73475
2015-07-31,75753
2015-08-01,75753
2015-08-02,76684
2015-08-03,76684
2015-08-04,77777
2015-08-05,77777
2015-08-06,77683
2015-08-07,77683
2015-08-08,78711
2015-08-09,78711
2015-08-10,77730
2015-08-11,77730
2015-08-12,76552
2015-08-13,76552
2015-08-14,73759
2015-08-15,73759
2015-08-16,72910
2015-08-17,72910
2015-08-18,72966
2015-08-19,72966
2015-08-20,72222
2015-08-21,72222
2015-08-22,71419
2015-08-23,71419
2015-08-24,70059
2015-08-25,70059
2015-08-26,68331
2015-08-27,68395
2015-08-28,68395
2015-08-29,67742
2015-08-30,67742
2015-08-31,67711
2015-09-01,67711
2015-09-02,68221
2015-09-03,68221
2015-09-04,68185
2015-09-05,68185
2015-09-06,67313
2015-09-07,67313
2015-09-08,67169
2015-09-09,67169
2015-09-10,67180
2015-09-11,67180
2015-09-12,67064
2015-09-13,67064
2015-09-14,67604
2015-09-15,67604
2015-09-16,70583
2015-09-17,70583
2015-09-18,74113
2015-09-19,74113
2015-09-20,77674
2015-09-21,77674
2015-09-22,81347
2015-09-23,81347
2015-09-24,84634
2015-09-25,84634
2015-09-27,84439
2015-09-28,85056
2015-09-29,85056
2015-09-30,82594
2015-10-05,80432
2015-10-06,80146
2015-10-07,80146
2015-10-08,79427
2015-10-09,79427
2015-10-10,77884
2015-10-11,74399
2015-10-12,74399
2015-10-13,74399
2015-10-14,72181
2015-10-15,71638
2015-10-16,71638
2015-10-17,71638
2015-10-18,69898
2015-10-19,69898
2015-10-20,67526
2015-10-22,65096
2015-10-23,65096
2015-10-24,63870
2015-10-25,63492
2015-10-26,63492
2015-10-27,64216
2015-10-29,61866
2015-10-30,61866
2015-10-31,60334
2015-11-01,60334
2015-11-02,60334
2015-11-03,58136
2015-11-04,58136
2015-11-05,57500
2015-11-06,57500
2015-11-07,57693
2015-11-08,57693
2015-11-09,56256
2015-11-10,56256
2015-11-11,55536
2015-11-12,55536
2015-11-13,55536
2015-11-14,55271
2015-11-15,55271
2015-11-16,56239
2015-11-17,56239
2015-11-18,56239
2015-11-19,58274
2015-11-20,58274
2015-11-21,58274
2015-11-22,58842
2015-11-23,58842
2015-11-24,58842
2015-11-25,60149
2015-11-26,60149
2015-11-27,60149
2015-11-28,61256
2015-11-29,61256
2015-11-30,63315
2015-12-01,63315
2015-12-02,63315
2015-12-03,64541
2015-12-04,64541
2015-12-05,64541
2015-12-06,66187
2015-12-07,66187
2015-12-08,66187
2015-12-09,68338
2015-12-10,68338
2015-12-11,68338
2015-12-12,70027
2015-12-13,70027
2015-12-14,71507
2015-12-15,71507
2015-12-16,72418
2015-12-17,72418
2015-12-18,72418
2015-12-19,73798
2015-12-20,73798
2015-12-21,73798
2015-12-22,76272
2015-12-23,76272
2015-12-24,76931
2015-12-25,76931
2015-12-26,76931
2015-12-27,75016
2015-12-28,75016
2015-12-29,73225
2015-12-30,73225
2015-12-31,73225
2016-01-01,71079
2016-01-02,71079
2016-01-03,70100
2016-01-04,70100
2016-01-05,68513
2016-01-06,68513
2016-01-07,66585
2016-01-08,66585
2016-01-09,64606
2016-01-10,64606
2016-01-11,62584
2016-01-12,62584
2016-01-13,60808
2016-01-14,60808
2016-01-15,58887
2016-01-16,58887
2016-01-17,57251
2016-01-18,57251
2016-01-19,55498
2016-01-20,55498
2016-01-21,53506
2016-01-22,53506
2016-01-23,52218
2016-01-24,52218
2016-01-25,50631
2016-01-26,50631
2016-01-27,48755
2016-01-28,48755
2016-01-29,47725
2016-01-30,47725
2016-01-31,47312
2016-02-01,47312
2016-02-02,46021
2016-02-03,46021
2016-02-04,45222
2016-02-05,45222
2016-02-06,45258
2016-02-07,45258
2016-02-08,45179
2016-02-09,45179
2016-02-10,44499
2016-02-11,44499
2016-02-12,44499
2016-02-13,43613
2016-02-14,43613
2016-02-15,42109
2016-02-16,42109
2016-02-17,40672
2016-02-18,40672
2016-02-19,39486
2016-02-20,39486
2016-02-21,38840
2016-02-22,38840
2016-02-23,38840
2016-02-24,39130
2016-02-25,39692
2016-02-26,39692
2016-02-27,40480
2016-02-28,40480
2016-02-29,40980
2016-03-01,40980
2016-03-02,41178
2016-03-03,41178
2016-03-04,42138
2016-03-05,42138
2016-03-06,41984
2016-03-07,41984
2016-03-08,41859
2016-03-09,41859
2016-03-10,41693
2016-03-11,41693
2016-03-12,41021
2016-03-13,41021
2016-03-14,40836
2016-03-15,40836
2016-03-16,41466
2016-03-17,41466
2016-03-18,40912
2016-03-19,40912
2016-03-20,39275
2016-03-21,39275
2016-03-22,39275
2016-03-23,37311
2016-03-24,37311
2016-03-25,36222
2016-03-26,36222
2016-03-27,34722
2016-03-28,34722
2016-03-29,32985
2016-03-30,32985
2016-03-31,32985
2016-04-01,31575
2016-04-02,31575
2016-04-03,30766
2016-04-04,30766
2016-04-05,30525
2016-04-06,30525
2016-04-07,30358
2016-04-08,30358
2016-04-09,30025
2016-04-10,30025
2016-04-11,30025
2016-04-12,30582
2016-04-13,30582
2016-04-14,30731
2016-04-15,30731
2016-04-16,30498
2016-04-17,30498
2016-04-18,30863
2016-04-19,30863
2016-04-20,31062
2016-04-21,31062
2016-04-22,31062
2016-04-23,31123
2016-04-24,31123
2016-04-25,30947
2016-04-26,30947
2016-04-27,30893
2016-04-28,30893
2016-04-29,30547
2016-04-30,30547
2016-05-01,30489
2016-05-02,30489
2016-05-03,30019
2016-05-04,30019
2016-05-05,29599
2016-05-06,29599
2016-05-07,28119
2016-05-08,28119
2016-05-09,27038
2016-05-10,27038
2016-05-11,26383
2016-05-12,26383
2016-05-13,26044
2016-05-14,26044
2016-05-15,25844
2016-05-16,25844
2016-05-17,25178
2016-05-18,25178
2016-05-19,24665
2016-05-22,24050
2016-05-23,22943
2016-05-24,22943
2016-05-25,21819
2016-05-26,21819
2016-05-27,20916
2016-05-28,20916
2016-05-29,19908
2016-05-30,19908
2016-05-31,19043
2016-06-01,18491
2016-06-02,18491
2016-06-03,18271
2016-06-04,18192
2016-06-05,18192
2016-06-06,18019
2016-06-07,18019
2016-06-08,18503
2016-06-09,18503
2016-06-10,19301
2016-06-11,19301
2016-06-12,20173
2016-06-13,20173
2016-06-14,21001
2016-06-15,21001
2016-06-16,21921
2016-06-17,22745
2016-06-18,22745
2016-06-19,22989
2016-06-20,22989
2016-06-21,22906
2016-06-22,22906
2016-06-23,22718
2016-06-24,22718
2016-06-25,22757
2016-06-26,22757
2016-06-27,22757
2016-06-28,23804
2016-06-29,23804
2016-06-30,24889
