date_obj,Gilded%20armour%20set%20(sk) price
2015-03-26,1530642
2015-03-27,1530642
2015-03-28,1530642
2015-03-29,1530642
2015-03-30,1530642
2015-03-31,1530642
2015-04-01,1530642
2015-04-02,1530642
2015-04-03,1530642
2015-04-04,1530642
2015-04-05,1530642
2015-04-06,1483056
2015-04-07,1483056
2015-04-08,1483056
2015-04-09,1483056
2015-04-10,1483056
2015-04-11,1483056
2015-04-12,1483056
2015-04-13,1483056
2015-04-14,1483056
2015-04-15,1483056
2015-04-16,1483056
2015-04-17,1483056
2015-04-18,1483056
2015-04-19,1483056
2015-04-20,1417798
2015-04-21,1417798
2015-04-22,1417798
2015-04-23,1417798
2015-04-24,1417798
2015-04-25,1417798
2015-04-26,1417798
2015-04-27,1417798
2015-04-28,1417798
2015-04-29,1417798
2015-04-30,1417798
2015-05-01,1417798
2015-05-02,1417798
2015-05-03,1417798
2015-05-04,1417798
2015-05-05,1417798
2015-05-06,1417798
2015-05-07,1354947
2015-05-08,1354947
2015-05-09,1354947
2015-05-10,1354947
2015-05-11,1354947
2015-05-12,1354947
2015-05-13,1354947
2015-05-14,1354947
2015-05-15,1354947
2015-05-16,1354947
2015-05-17,1354947
2015-05-18,1354947
2015-05-19,1354947
2015-05-20,1354947
2015-05-21,1354947
2015-05-22,1354947
2015-05-23,1325912
2015-05-24,1325912
2015-05-25,1325912
2015-05-26,1325912
2015-05-27,1325912
2015-05-28,1325912
2015-05-29,1325912
2015-05-30,1325912
2015-05-31,1325912
2015-06-01,1325912
2015-06-02,1325912
2015-06-03,1325912
2015-06-04,1325912
2015-06-05,1325912
2015-06-06,1325912
2015-06-07,1325912
2015-06-08,1325912
2015-06-09,1281870
2015-06-10,1281870
2015-06-11,1281870
2015-06-12,1281870
2015-06-13,1281870
2015-06-14,1281870
2015-06-15,1281870
2015-06-16,1281870
2015-06-17,1281870
2015-06-18,1281870
2015-06-19,1281870
2015-06-20,1281870
2015-06-21,1281870
2015-06-22,1281870
2015-06-23,1281870
2015-06-24,1281870
2015-06-25,1281870
2015-06-26,1283258
2015-06-27,1283258
2015-06-28,1283258
2015-06-29,1283258
2015-06-30,1283258
2015-07-01,1283258
2015-07-02,1283258
2015-07-03,1283258
2015-07-04,1283258
2015-07-05,1283258
2015-07-06,1283258
2015-07-07,1283258
2015-07-08,1283258
2015-07-09,1283258
2015-07-10,1283258
2015-07-11,1283258
2015-07-12,1283258
2015-07-13,1283258
2015-07-14,1283258
2015-07-15,1283258
2015-07-16,1250138
2015-07-17,1250138
2015-07-18,1250138
2015-07-19,1250138
2015-07-20,1250138
2015-07-21,1250138
2015-07-22,1250138
2015-07-23,1250138
2015-07-24,1250138
2015-07-25,1250138
2015-07-26,1250138
2015-07-27,1250138
2015-07-28,1250138
2015-07-29,1250138
2015-07-30,1196959
2015-07-31,1196959
2015-08-01,1196959
2015-08-02,1196959
2015-08-03,1196959
2015-08-04,1196959
2015-08-05,1196959
2015-08-06,1196959
2015-08-07,1196959
2015-08-08,1196959
2015-08-09,1196959
2015-08-10,1196959
2015-08-11,1146648
2015-08-12,1146648
2015-08-13,1146648
2015-08-14,1146648
2015-08-15,1146648
2015-08-16,1146648
2015-08-17,1146648
2015-08-18,1146648
2015-08-19,1146648
2015-08-20,1146648
2015-08-21,1094976
2015-08-22,1094976
2015-08-23,1094976
2015-08-24,1094976
2015-08-25,1094976
2015-08-26,1094976
2015-08-27,1094976
2015-08-28,1094976
2015-08-29,1094976
2015-08-30,1094976
2015-08-31,1094976
2015-09-01,1094976
2015-09-02,1094976
2015-09-03,1094976
2015-09-04,1040735
2015-09-05,1040735
2015-09-06,1040735
2015-09-07,1040735
2015-09-08,1040735
2015-09-09,1040735
2015-09-10,1040735
2015-09-11,1040735
2015-09-12,1040735
2015-09-13,1040735
2015-09-14,1040735
2015-09-15,1040735
2015-09-16,997707
2015-09-17,997707
2015-09-18,997707
2015-09-19,997707
2015-09-20,997707
2015-09-21,997707
2015-09-22,997707
2015-09-23,997707
2015-09-24,997707
2015-09-25,997707
2015-09-27,1000531
2015-09-28,1000531
2015-09-29,1000531
2015-09-30,1000531
2015-10-05,1000531
2015-10-06,1000531
2015-10-07,1000531
2015-10-08,1000531
2015-10-09,1000531
2015-10-10,1000531
2015-10-11,1000531
2015-10-12,1000531
2015-10-13,1000531
2015-10-14,1000531
2015-10-15,1000531
2015-10-16,1000531
2015-10-17,1000531
2015-10-18,1000531
2015-10-19,992481
2015-10-20,992481
2015-10-22,992481
2015-10-23,992481
2015-10-24,992481
2015-10-25,992481
2015-10-26,992481
2015-10-27,992481
2015-10-29,992481
2015-10-30,992481
2015-10-31,992481
2015-11-01,992481
2015-11-02,992481
2015-11-03,992481
2015-11-04,992481
2015-11-05,992481
2015-11-06,992481
2015-11-07,961375
2015-11-08,961375
2015-11-09,961375
2015-11-10,961375
2015-11-11,961375
2015-11-12,961375
2015-11-13,961375
2015-11-14,961375
2015-11-15,961375
2015-11-16,961375
2015-11-17,961375
2015-11-18,961375
2015-11-19,961375
2015-11-20,961375
2015-11-21,961375
2015-11-22,961375
2015-11-23,961375
2015-11-24,939476
2015-11-25,939476
2015-11-26,939476
2015-11-27,939476
2015-11-28,939476
2015-11-29,939476
2015-11-30,939476
2015-12-01,939476
2015-12-02,939476
2015-12-03,939476
2015-12-04,939476
2015-12-05,939476
2015-12-06,939476
