date_obj,Ahrim's%20robeskirt price
2017-06-05,1256907
2017-06-06,1287581
2017-06-07,1228040
2017-06-08,1166638
2017-06-09,1108306
2017-06-10,1063914
2017-06-11,1010718
2017-06-12,960182
2017-06-13,968859
2017-06-14,1017077
2017-06-15,1067738
2017-06-16,1048773
2017-06-17,1020442
2017-06-18,1028429
2017-06-19,1048030
2017-06-20,1081514
2017-06-21,1090375
2017-06-22,1082782
2017-06-23,1115139
2017-06-24,1138229
2017-06-25,1097909
2017-06-26,1089970
2017-06-27,1073102
2017-06-28,1070796
2017-06-29,1019552
2017-06-30,969609
2017-07-01,946293
2017-07-02,939922
2017-07-03,967892
2017-07-04,999108
2017-07-05,1001144
2017-07-06,985518
2017-07-07,987035
2017-07-08,984393
2017-07-09,982557
2017-07-13,982404
2017-07-14,984803
2017-07-15,974971
2017-07-16,974194
2017-07-17,987513
2017-07-18,966127
2017-07-19,944913
2017-07-20,955881
2017-07-21,958655
2017-07-22,971550
2017-07-23,984925
2017-07-24,1031095
2017-07-25,1031188
2017-07-26,1004894
2017-07-27,997417
2017-07-28,1028028
2017-07-29,1042355
2017-07-30,1038559
2017-07-31,1014102
2017-08-01,1039350
2017-08-02,1060366
2017-08-03,1092749
2017-08-04,1077484
2017-08-05,1068033
2017-08-06,1050287
2017-08-07,1075205
2017-08-08,1073440
2017-08-09,1055958
2017-08-10,1042046
2017-08-11,1038837
2017-08-12,1024688
2017-08-13,1009943
2017-08-14,994846
2017-08-15,984559
2017-08-16,985238
2017-08-17,1017644
2017-08-18,1031979
2017-08-19,1025041
2017-08-20,1022377
2017-08-21,1035257
2017-08-22,1015351
2017-08-23,1027067
2017-08-24,1011988
2017-08-25,1002032
2017-08-26,1012604
2017-08-27,1013722
2017-08-28,1005823
2017-08-29,1004500
2017-08-30,1002844
2017-08-31,1014716
2017-09-01,1006607
2017-09-02,1039494
2017-09-03,1050425
2017-09-04,1078408
2017-09-05,1075167
2017-09-06,1074156
2017-09-07,1082143
2017-09-08,1050662
2017-09-09,1031392
2017-09-10,1010895
2017-09-11,990855
2017-09-12,999149
2017-09-13,1010020
2017-09-14,1010324
2017-09-15,1014854
2017-09-16,1020566
2017-09-17,1016610
2017-09-18,1022323
2017-09-19,1019785
