date_obj,Torstol%20potion%20(unf) price
2015-03-26,6010
2015-03-27,6010
2015-03-28,6010
2015-03-29,6010
2015-03-30,6010
2015-03-31,6010
2015-04-01,6010
2015-04-02,6010
2015-04-03,6010
2015-04-04,6010
2015-04-05,6010
2015-04-06,6010
2015-04-07,6010
2015-04-08,6010
2015-04-09,6010
2015-04-10,6010
2015-04-11,6010
2015-04-12,6010
2015-04-13,6010
2015-04-14,6010
2015-04-15,6010
2015-04-16,6010
2015-04-17,6010
2015-04-18,6010
2015-04-19,6010
2015-04-20,6010
2015-04-21,5733
2015-04-22,5733
2015-04-23,5733
2015-04-24,5733
2015-04-25,5733
2015-04-26,5733
2015-04-27,5733
2015-04-28,5733
2015-04-29,5733
2015-04-30,5733
2015-05-01,5733
2015-05-02,5733
2015-05-03,5733
2015-05-04,5733
2015-05-05,5733
2015-05-06,5733
2015-05-07,5733
2015-05-08,5733
2015-05-09,5733
2015-05-10,5733
2015-05-11,5733
2015-05-12,5733
2015-05-13,5733
2015-05-14,5733
2015-05-15,5733
2015-05-16,5733
2015-05-17,5733
2015-05-18,5733
2015-05-19,5733
2015-05-20,5733
2015-05-21,5733
2015-05-22,5733
2015-05-23,5733
2015-05-24,5733
2015-05-25,5733
2015-05-26,5733
2015-05-27,5733
2015-05-28,5655
2015-05-29,5655
2015-05-30,5655
2015-05-31,5655
2015-06-01,5655
2015-06-02,5655
2015-06-03,5655
2015-06-04,5655
2015-06-05,5655
2015-06-06,5655
2015-06-07,5655
2015-06-08,5655
2015-06-09,5655
2015-06-10,5655
2015-06-11,5655
2015-06-12,5655
2015-06-13,5655
2015-06-14,5655
2015-06-15,5655
2015-06-16,5655
2015-06-17,5655
2015-06-18,5655
2015-06-19,5655
2015-06-20,5655
2015-06-21,5655
2015-06-22,5655
2015-06-23,5655
2015-06-24,5655
2015-06-25,5655
2015-06-26,5655
2015-06-27,5655
2015-06-28,5655
2015-06-29,5655
2015-06-30,5655
2015-07-01,5655
2015-07-02,5655
2015-07-03,5821
2015-07-04,5821
2015-07-05,5821
2015-07-06,5821
2015-07-07,5821
2015-07-08,5821
2015-07-09,5821
2015-07-10,5821
2015-07-11,5821
2015-07-12,5821
2015-07-13,5821
2015-07-14,5821
2015-07-15,5821
2015-07-16,5821
2015-07-17,5821
2015-07-18,5821
2015-07-19,5821
2015-07-20,5821
2015-07-21,5821
2015-07-22,5821
2015-07-23,5821
2015-07-24,5821
2015-07-25,5821
2015-07-26,5821
2015-07-27,5821
2015-07-28,5821
2015-07-29,5821
2015-07-30,5821
2015-07-31,5821
2015-08-01,5821
2015-08-02,5821
2015-08-03,5821
2015-08-04,5821
2015-08-05,5821
2015-08-06,5821
2015-08-07,5821
2015-08-08,5821
2015-08-09,5821
2015-08-10,5821
2015-08-11,5841
2015-08-12,5841
2015-08-13,5841
2015-08-14,5841
2015-08-15,5841
2015-08-16,5841
2015-08-17,5841
2015-08-18,5841
2015-08-19,5841
2015-08-20,5841
2015-08-21,5841
2015-08-22,5841
2015-08-23,5841
2015-08-24,5841
2015-08-25,5841
2015-08-26,5841
2015-08-27,5841
2015-08-28,5841
2015-08-29,5841
2015-08-30,5841
2015-08-31,5841
2015-09-01,5841
2015-09-02,5841
2015-09-03,5841
2015-09-04,5841
2015-09-05,5841
2015-09-06,5841
2015-09-07,5841
2015-09-08,5841
2015-09-09,5841
2015-09-10,5841
2015-09-11,5841
2015-09-12,5841
2015-09-13,5841
2015-09-14,5841
2015-09-15,5841
2015-09-16,5841
2015-09-17,5841
2015-09-18,5841
2015-09-19,6053
2015-09-20,6053
2015-09-21,6053
2015-09-22,6053
2015-09-23,6053
2015-09-24,6053
2015-09-25,6053
2015-09-27,6053
2015-09-28,6053
2015-09-29,6053
2015-09-30,6053
2015-10-05,6053
2015-10-06,6053
2015-10-07,6053
2015-10-08,6053
2015-10-09,6053
2015-10-10,6053
2015-10-11,6053
2015-10-12,6053
2015-10-13,6053
2015-10-14,6053
2015-10-15,6053
2015-10-16,6053
2015-10-17,6053
2015-10-18,6053
2015-10-19,6053
2015-10-20,6053
2015-10-22,6053
2015-10-23,6053
2015-10-24,6053
2015-10-25,6053
2015-10-26,6053
2015-10-27,6188
2015-10-29,6188
2015-10-30,6188
2015-10-31,6188
2015-11-01,6188
2015-11-02,6188
2015-11-03,6188
2015-11-04,6188
2015-11-05,6188
2015-11-06,6188
2015-11-07,6188
2015-11-08,6188
2015-11-09,6188
2015-11-10,6188
2015-11-11,6188
2015-11-12,6188
2015-11-13,6188
2015-11-14,6188
2015-11-15,6188
2015-11-16,6188
2015-11-17,6188
2015-11-18,6188
2015-11-19,6188
2015-11-20,6188
2015-11-21,6188
2015-11-22,6188
2015-11-23,6188
2015-11-24,6188
2015-11-25,6188
2015-11-26,6188
2015-11-27,6188
2015-11-28,6188
2015-11-29,6188
2015-11-30,6188
2015-12-01,6188
2015-12-02,6188
2015-12-03,6188
2015-12-04,6188
2015-12-05,6188
2015-12-06,6162
2015-12-07,6162
2015-12-08,6162
2015-12-09,6162
2015-12-10,6162
2015-12-11,6162
2015-12-13,6162
2015-12-14,6162
2015-12-15,6162
2015-12-16,6162
2015-12-17,6162
2015-12-18,6162
2015-12-19,6162
2015-12-20,6162
2015-12-21,6162
2015-12-22,6162
2015-12-23,6162
2015-12-24,6162
2015-12-25,6162
2015-12-26,6162
2015-12-27,6162
2015-12-28,6162
2015-12-29,6162
2015-12-30,6162
2015-12-31,6162
2016-01-01,6162
2016-01-02,6162
2016-01-03,6162
2016-01-04,6162
2016-01-05,6162
2016-01-06,6162
2016-01-07,6311
2016-01-08,6311
2016-01-09,6311
2016-01-10,6311
2016-01-11,6311
2016-01-12,6311
2016-01-13,6311
2016-01-14,6311
2016-01-15,6311
2016-01-16,6311
2016-01-17,6311
2016-01-18,6311
2016-01-19,6311
2016-01-20,6311
2016-01-21,6311
2016-01-22,6311
2016-01-23,6311
2016-01-24,6311
2016-01-25,6311
2016-01-26,6311
