date_obj,3rd%20age%20kiteshield price
2015-03-26,80440854
2015-03-27,80440854
2015-03-28,80440854
2015-03-29,76888973
2015-03-30,76888973
2015-03-31,76888973
2015-04-01,76888973
2015-04-02,76888973
2015-04-03,76888973
2015-04-04,73969915
2015-04-05,73969915
2015-04-06,73969915
2015-04-07,73969915
2015-04-08,73969915
2015-04-09,73969915
2015-04-10,72464040
2015-04-11,72464040
2015-04-12,72464040
2015-04-13,72464040
2015-04-14,72464040
2015-04-15,69733156
2015-04-16,69733156
2015-04-17,69733156
2015-04-18,69733156
2015-04-19,69733156
2015-04-20,69733156
2015-04-21,68552242
2015-04-22,68552242
2015-04-23,68552242
2015-04-24,68552242
2015-04-25,65650440
2015-04-26,65650440
2015-04-27,65650440
2015-04-28,65650440
2015-04-29,66184032
2015-04-30,66184032
2015-05-01,66184032
2015-05-02,66184032
2015-05-03,66184032
2015-05-04,65154481
2015-05-05,65154481
2015-05-06,65154481
2015-05-07,65154481
2015-05-08,63520646
2015-05-09,63520646
2015-05-10,63520646
2015-05-11,63520646
2015-05-12,63285785
2015-05-13,63285785
2015-05-14,63285785
2015-05-15,63285785
2015-05-16,63285785
2015-05-17,64117777
2015-05-18,64117777
2015-05-19,64117777
2015-05-20,64117777
2015-05-21,64117777
2015-05-22,64117777
2015-05-23,64035527
2015-05-24,64035527
2015-05-25,64035527
2015-05-26,64035527
2015-05-27,61028354
2015-05-28,61028354
2015-05-29,61028354
2015-05-30,61523441
2015-05-31,61523441
2015-06-01,61523441
2015-06-02,61523441
2015-06-03,63222230
2015-06-04,63222230
2015-06-05,63222230
2015-06-06,63222230
2015-06-07,63082677
2015-06-08,63082677
2015-06-09,63082677
2015-06-10,63082677
2015-06-11,63082677
2015-06-12,62549429
2015-06-13,62549429
2015-06-14,62549429
2015-06-15,62549429
2015-06-16,62549429
2015-06-17,62549429
2015-06-18,61462750
2015-06-19,61462750
2015-06-20,61462750
2015-06-21,61462750
2015-06-22,59308022
2015-06-23,59308022
2015-06-24,59308022
2015-06-25,59308022
2015-06-26,56928836
2015-06-27,56928836
2015-06-28,56928836
2015-06-29,56928836
2015-06-30,55472546
2015-07-01,55472546
2015-07-02,55472546
2015-07-03,53676926
2015-07-04,53676926
2015-07-05,53676926
2015-07-06,54675278
2015-07-07,54675278
2015-07-08,54675278
2015-07-09,54204404
2015-07-10,54204404
2015-07-11,54204404
2015-07-12,53763081
2015-07-13,53763081
2015-07-14,53763081
2015-07-15,53763081
2015-07-16,53203878
2015-07-17,53203878
2015-07-18,53203878
2015-07-19,53203878
2015-07-20,51966578
2015-07-21,51966578
2015-07-22,51966578
2015-07-23,51621074
2015-07-24,51621074
2015-07-25,51621074
2015-07-26,51621074
2015-07-27,50941412
2015-07-28,50941412
2015-07-29,50941412
2015-07-30,50794566
2015-07-31,50794566
2015-08-01,50794566
2015-08-02,49999688
2015-08-03,49999688
2015-08-04,49999688
2015-08-05,48172467
2015-08-06,48172467
2015-08-07,48172467
2015-08-08,47753799
2015-08-09,47753799
2015-08-10,48277220
2015-08-11,48277220
2015-08-12,48277220
2015-08-13,48868082
2015-08-14,48868082
2015-08-15,48868082
2015-08-16,49276578
2015-08-17,49276578
2015-08-18,49276578
2015-08-19,48937275
2015-08-20,48937275
2015-08-21,48937275
2015-08-22,48937275
2015-08-23,48385035
2015-08-24,48385035
2015-08-25,48385035
2015-08-26,48385035
2015-08-27,48065559
2015-08-28,48065559
2015-08-29,48065559
2015-08-30,47447812
2015-08-31,47447812
2015-09-01,47447812
2015-09-02,47447812
2015-09-03,47184099
2015-09-04,47184099
2015-09-05,47184099
2015-09-06,47184099
2015-09-07,46893938
2015-09-08,46893938
2015-09-09,46893938
2015-09-10,46893938
2015-09-11,47281253
2015-09-12,47281253
2015-09-13,47281253
2015-09-14,48978688
2015-09-15,48978688
2015-09-16,48978688
2015-09-17,50869347
