date_obj,Dragon%20metal%20shard price
2018-01-03,1200000
2018-01-04,1200000
2018-01-05,1219569
2018-01-06,1219569
2018-01-07,1219569
2018-01-08,1219569
2018-01-09,1219569
2018-01-10,1219569
2018-01-11,1259947
2018-01-12,1259947
2018-01-13,1259947
2018-01-14,1259947
2018-01-15,1259947
2018-01-16,1259947
2018-01-17,1259947
2018-01-18,1259947
2018-01-19,1259947
2018-01-20,1259947
2018-01-21,1259947
2018-01-22,1259947
2018-01-23,1259947
2018-01-25,1318458
2018-01-26,1318458
2018-01-27,1318458
2018-01-28,1318458
2018-01-29,1318458
2018-01-30,1318458
2018-01-31,1318458
2018-02-01,1318458
2018-02-02,1318458
2018-02-03,1318458
2018-02-04,1318458
2018-02-05,1318458
2018-02-06,1318458
2018-02-07,1377251
2018-02-08,1377251
2018-02-09,1377251
2018-02-10,1377251
2018-02-11,1377251
2018-02-12,1377251
2018-02-13,1377251
2018-02-14,1377251
2018-02-15,1377251
2018-02-16,1377251
2018-02-17,1377251
2018-02-18,1377251
2018-02-19,1377251
2018-02-20,1435839
2018-02-21,1435839
2018-02-22,1435839
2018-02-23,1435839
2018-02-24,1435839
2018-02-25,1435839
2018-02-26,1435839
2018-02-27,1435839
2018-02-28,1435839
2018-03-01,1435839
2018-03-02,1435839
2018-03-03,1435839
2018-03-04,1435839
2018-03-05,1435839
2018-03-06,1435839
2018-03-07,1435839
2018-03-08,1435839
2018-03-09,1435839
2018-03-10,1435839
2018-03-11,1435839
2018-03-12,1435839
2018-03-13,1435839
2018-03-14,1435839
2018-03-15,1435839
2018-03-16,1435839
2018-03-17,1435839
2018-03-18,1495172
2018-03-20,1495172
2018-03-21,1495172
2018-03-23,1495172
2018-03-24,1495172
2018-03-25,1495172
2018-03-26,1495172
2018-03-27,1495172
2018-03-28,1495172
2018-03-29,1495172
2018-03-30,1495172
2018-03-31,1495172
2018-04-01,1495172
2018-04-02,1495172
2018-04-03,1495172
2018-04-04,1495172
2018-04-05,1495172
2018-04-06,1495172
2018-04-07,1495172
2018-04-08,1495172
2018-04-09,1495172
2018-04-10,1495172
2018-04-11,1495172
2018-04-12,1495172
2018-04-13,1495172
2018-04-14,1495172
2018-04-15,1495172
2018-04-16,1495172
2018-04-17,1495172
2018-04-18,1495172
2018-04-19,1495172
2018-04-20,1495172
2018-04-21,1495172
2018-04-22,1495172
2018-04-23,1495172
2018-04-24,1495172
2018-04-25,1495172
2018-04-26,1495172
2018-04-27,1495172
2018-04-28,1545748
2018-04-29,1545748
2018-04-30,1545748
2018-05-01,1545748
2018-05-03,1545748
2018-05-04,1545748
2018-05-05,1545748
2018-05-07,1545748
2018-05-08,1545748
2018-05-09,1545748
2018-05-10,1545748
2018-05-11,1545748
2018-05-12,1545748
2018-05-13,1545748
2018-05-14,1545748
2018-05-15,1545748
2018-05-16,1545748
2018-05-17,1545748
2018-05-18,1545748
2018-05-19,1545748
2018-05-20,1545748
2018-05-21,1545748
2018-05-22,1545748
2018-05-23,1545748
2018-05-24,1545748
2018-05-25,1545748
2018-05-26,1545748
2018-05-27,1545748
2018-05-28,1545748
2018-05-29,1545748
2018-05-30,1585432
2018-05-31,1585432
2018-06-01,1585432
2018-06-02,1585432
2018-06-03,1585432
2018-06-04,1585432
2018-06-05,1585432
