date_obj,Rune%20platelegs%20(t) price
2015-03-26,47213
2015-03-27,47213
2015-03-28,47019
2015-03-29,47019
2015-03-30,46638
2015-03-31,46638
2015-04-01,46638
2015-04-02,46563
2015-04-03,46563
2015-04-04,46075
2015-04-05,46075
2015-04-06,46075
2015-04-07,45266
2015-04-08,45266
2015-04-09,45266
2015-04-10,44287
2015-04-11,44287
2015-04-12,43428
2015-04-13,43428
2015-04-14,43428
2015-04-15,43174
2015-04-16,43174
2015-04-17,43174
2015-04-18,42921
2015-04-19,42921
2015-04-20,42921
2015-04-21,42439
2015-04-22,42439
2015-04-23,42495
2015-04-24,42495
2015-04-25,42495
2015-04-26,42060
2015-04-27,42060
2015-04-28,41730
2015-04-29,41730
2015-04-30,41730
2015-05-01,41562
2015-05-02,41562
2015-05-03,41562
2015-05-04,41298
2015-05-05,41298
2015-05-06,41671
2015-05-07,41671
2015-05-08,41671
2015-05-09,41692
2015-05-10,41692
2015-05-11,41692
2015-05-12,41604
2015-05-13,41604
2015-05-14,41604
2015-05-15,41806
2015-05-16,41806
2015-05-17,42505
2015-05-18,42505
2015-05-19,42505
2015-05-20,42505
2015-05-21,42576
2015-05-22,42576
2015-05-23,42576
2015-05-24,42346
2015-05-25,42346
2015-05-26,42346
2015-05-27,42664
2015-05-28,42664
2015-05-29,42803
2015-05-30,43105
2015-05-31,43105
2015-06-01,43319
2015-06-02,43319
2015-06-03,42990
2015-06-04,42990
2015-06-05,42022
2015-06-06,42022
2015-06-07,41457
2015-06-08,41457
2015-06-09,40946
2015-06-10,40946
2015-06-11,40877
2015-06-12,40877
2015-06-13,40623
2015-06-14,40623
2015-06-15,40453
2015-06-16,40453
2015-06-17,41038
2015-06-18,41038
2015-06-19,40886
2015-06-20,40886
2015-06-21,40942
2015-06-22,40942
2015-06-23,40698
2015-06-24,40912
2015-06-25,40912
2015-06-26,41301
2015-06-27,41301
2015-06-28,42108
2015-06-29,42108
2015-06-30,42728
2015-07-01,42728
2015-07-02,43282
2015-07-03,43282
2015-07-04,43120
2015-07-05,43120
2015-07-06,43317
2015-07-07,43317
2015-07-08,43645
2015-07-09,43645
2015-07-10,43541
2015-07-11,43541
2015-07-12,43826
2015-07-13,43826
2015-07-14,43999
2015-07-15,43999
2015-07-16,44468
2015-07-17,44468
2015-07-18,44714
2015-07-19,44714
2015-07-20,44395
2015-07-21,44395
2015-07-22,44320
2015-07-23,44320
2015-07-24,45195
2015-07-25,45195
2015-07-26,45795
2015-07-27,45795
2015-07-28,45176
2015-07-29,45184
2015-07-30,45184
2015-07-31,45184
2015-08-01,44448
2015-08-02,44448
2015-08-03,43214
2015-08-04,43214
2015-08-05,41762
2015-08-06,41762
2015-08-07,40957
2015-08-08,40957
2015-08-09,40883
2015-08-10,40883
2015-08-11,40688
2015-08-12,40688
2015-08-13,41377
2015-08-14,42339
2015-08-15,42339
2015-08-16,42138
2015-08-17,42138
2015-08-18,42766
2015-08-19,42766
2015-08-20,43575
2015-08-21,43575
2015-08-22,43933
2015-08-23,43933
2015-08-24,44345
2015-08-25,44345
2015-08-26,44345
2015-08-27,44478
2015-08-28,44478
2015-08-29,44637
2015-08-30,44637
2015-08-31,44752
2015-09-01,44752
2015-09-02,44752
2015-09-03,45112
2015-09-04,45112
2015-09-05,44398
2015-09-06,44398
2015-09-07,43846
2015-09-08,43846
2015-09-09,44285
2015-09-10,44285
2015-09-11,43961
2015-09-12,43961
2015-09-13,43563
2015-09-14,43563
2015-09-15,44229
2015-09-16,44229
2015-09-17,44294
2015-09-18,44294
2015-09-19,44864
2015-09-20,44864
2015-09-21,45263
2015-09-22,45263
2015-09-23,45565
2015-09-24,45565
2015-09-25,45565
2015-09-27,45077
2015-09-28,44475
2015-09-29,44475
2015-09-30,44702
