date_obj,Jar%20of%20darkness price
2016-06-15,550000
2016-06-16,550000
2016-06-17,550000
2016-06-18,550000
2016-06-19,550000
2016-06-20,550000
2016-06-21,568880
2016-06-22,568880
2016-06-23,568880
2016-06-24,568880
2016-06-25,568880
2016-06-26,568880
2016-06-27,568880
2016-06-28,568880
2016-06-29,568880
2016-06-30,568880
2016-07-01,568880
2016-07-02,568880
2016-07-03,568880
2016-07-04,568880
2016-07-05,568880
2016-07-06,568880
2016-07-07,568880
2016-07-08,568880
2016-07-09,592469
2016-07-10,592469
2016-07-11,592469
2016-07-12,592469
2016-07-13,592469
2016-07-14,592469
2016-07-15,592469
2016-07-16,592469
2016-07-17,592469
2016-07-18,592469
2016-07-23,617394
2016-07-24,617394
2016-07-25,617394
2016-07-26,617394
2016-07-27,617394
2016-07-28,617394
2016-07-29,617394
2016-07-30,617394
2016-07-31,617394
2016-08-01,617394
2016-08-02,617394
2016-08-03,617394
2016-08-04,617394
2016-08-05,617394
2016-08-06,617394
2016-08-07,644026
2016-08-08,644026
2016-08-09,644026
2016-08-10,644026
2016-08-11,644026
2016-08-12,644026
2016-08-13,644026
2016-08-14,644026
2016-08-15,644026
2016-08-16,644026
2016-08-17,644026
2016-08-18,644026
2016-08-19,644026
2016-08-20,644026
2016-08-21,644026
2016-08-22,644026
2016-08-23,672295
2016-08-24,672295
2016-08-25,672295
2016-08-26,699490
2016-08-28,699490
2016-08-31,699490
2016-09-01,699490
2016-09-02,699490
2016-09-03,699490
2016-09-04,728484
2016-09-05,728484
2016-09-06,728484
2016-09-07,728484
2016-09-08,728484
2016-09-09,728484
2016-09-10,728484
2016-09-11,728484
2016-09-12,728484
2016-09-13,728484
2016-09-14,728484
2016-09-15,728484
2016-09-16,728484
2016-09-17,728484
2016-09-18,728484
2016-09-19,728484
2016-09-20,728484
2016-09-21,728484
2016-09-22,728484
2016-09-23,757626
2016-09-24,757626
2016-09-25,757626
2016-09-26,757626
2016-09-27,757626
2016-09-28,757626
2016-09-29,757626
2016-09-30,757626
2016-10-01,757626
2016-10-02,757626
2016-10-03,757626
2016-10-04,757626
2016-10-05,757626
2016-10-06,757626
2016-10-07,757626
2016-10-08,757626
2016-10-09,757626
2016-10-10,757626
2016-10-11,788564
2016-10-12,788564
2016-10-13,788564
2016-10-14,788564
2016-10-15,788564
2016-10-16,788564
2016-10-17,788564
2016-10-18,788564
2016-10-19,788564
2016-10-20,788564
2016-10-21,788564
2016-10-22,788564
2016-10-23,788564
2016-10-24,788564
2016-10-25,788564
2016-10-26,788564
2016-10-27,788564
2016-10-28,788564
2016-10-29,821930
2016-10-30,821930
2016-10-31,821930
2016-11-01,821930
2016-11-02,821930
2016-11-03,821930
2016-11-04,821930
2016-11-05,821930
2016-11-06,821930
2016-11-07,821930
2016-11-08,821930
2016-11-09,821930
2016-11-10,821930
2016-11-11,821930
2016-11-12,821930
2016-11-13,821930
2016-11-14,821930
2016-12-07,855873
2016-12-08,855873
2016-12-09,890261
2016-12-10,890261
2016-12-11,890261
2016-12-12,890261
2016-12-13,890261
2016-12-14,890261
2016-12-15,890261
2016-12-16,890261
2016-12-17,890261
2016-12-18,890261
2016-12-19,890261
2016-12-20,890261
2016-12-21,890261
2016-12-22,890261
2016-12-23,890261
2016-12-24,890261
2016-12-25,890261
2016-12-26,890261
2016-12-27,890261
2016-12-28,890261
2016-12-29,890261
2016-12-30,890261
2016-12-31,890261
2017-01-01,925314
2017-01-02,925314
2017-01-03,925314
2017-01-04,925314
2017-01-05,925314
2017-01-06,925314
2017-01-07,925314
2017-01-08,925314
2017-01-09,925314
2017-01-10,925314
2017-01-11,925314
2017-01-12,925314
2017-01-13,925314
2017-01-14,925314
2017-01-15,925314
2017-01-16,925314
2017-01-17,925314
2017-01-18,925314
2017-01-19,925314
2017-01-20,964933
2017-01-21,964933
2017-01-22,964933
2017-01-27,964933
2017-01-28,964933
2017-01-29,964933
2017-01-30,964933
2017-01-31,964933
2017-02-01,964933
2017-02-02,964933
2017-02-03,964933
2017-02-04,964933
2017-02-05,964933
2017-02-06,964933
2017-02-07,964933
2017-02-08,964933
2017-02-09,964933
2017-02-10,1003621
2017-02-11,1003621
2017-02-12,1003621
2017-02-13,1003621
2017-02-14,1003621
2017-02-15,1003621
2017-02-16,1003621
2017-02-18,1003621
2017-02-19,1003621
2017-02-20,1003621
2017-02-21,1003621
2017-02-22,1003621
2017-02-23,1003621
2017-02-24,1003621
2017-02-25,1003621
2017-02-26,1003621
2017-02-27,1003621
2017-02-28,1003621
2017-03-01,1003621
2017-03-02,1003621
2017-03-03,1003621
2017-03-04,1003621
2017-03-05,1003621
2017-03-06,1003621
2017-03-07,1003621
2017-03-08,1003621
2017-03-09,1043127
2017-03-10,1043127
2017-03-11,1043127
2017-03-12,1043127
2017-03-13,1043127
2017-03-14,1043127
2017-03-15,1043127
2017-03-16,1043127
2017-03-17,1043127
2017-03-18,1043127
2017-03-19,1043127
2017-03-20,1043127
2017-03-21,1043127
2017-03-22,1043127
2017-03-23,1043127
2017-03-24,1043127
2017-03-25,1043127
2017-03-26,1043127
2017-03-27,1043127
2017-03-28,1043127
2017-03-29,1043127
2017-03-30,1043127
2017-03-31,1043127
2017-04-01,1043127
2017-04-02,1043127
2017-04-03,1086164
2017-04-04,1086164
2017-04-12,1086164
2017-04-13,1086164
2017-04-14,1086164
2017-04-15,1086164
2017-04-16,1086164
2017-04-17,1086164
2017-04-18,1086164
2017-04-19,1086164
2017-04-20,1086164
2017-04-21,1086164
2017-04-22,1086164
2017-04-23,1086164
2017-04-24,1086164
2017-04-25,1086164
2017-04-26,1086164
2017-04-27,1130843
2017-04-28,1130843
2017-04-29,1130843
2017-04-30,1130843
2017-05-01,1130843
2017-05-02,1130843
2017-05-03,1130843
2017-05-04,1130843
2017-05-05,1130843
2017-05-06,1130843
2017-05-07,1130843
2017-05-08,1130843
2017-05-09,1180695
2017-05-10,1180695
2017-05-11,1180695
2017-05-12,1180695
2017-05-13,1180695
2017-05-14,1180695
2017-05-15,1180695
2017-05-16,1180695
2017-05-17,1180695
2017-05-18,1180695
2017-05-19,1180695
2017-05-20,1180695
2017-05-21,1180695
2017-05-22,1180695
2017-05-23,1180695
2017-05-24,1180695
2017-05-25,1180695
2017-05-26,1180695
2017-05-27,1232188
2017-05-28,1232188
2017-05-29,1232188
2017-05-30,1232188
2017-05-31,1232188
2017-06-01,1232188
2017-06-02,1232188
2017-06-03,1232188
2017-06-04,1232188
2017-06-06,1232188
2017-06-07,1232188
2017-06-08,1232188
2017-06-09,1232188
2017-06-10,1232188
2017-06-11,1232188
2017-06-12,1232188
2017-06-13,1232188
2017-06-14,1286383
2017-06-15,1286383
2017-06-16,1286383
2017-06-17,1286383
2017-06-18,1286383
2017-06-19,1286383
2017-06-20,1286383
2017-06-21,1286383
2017-06-22,1286383
2017-06-23,1286383
2017-06-24,1286383
2017-06-25,1286383
2017-06-26,1286383
2017-06-27,1286383
2017-06-28,1286383
2017-06-29,1286383
2017-06-30,1286383
2017-07-01,1286383
2017-07-02,1286383
2017-07-03,1286383
2017-07-04,1286383
2017-07-05,1286383
2017-07-06,1286383
2017-07-07,1286383
2017-07-08,1286383
2017-07-13,1343795
2017-07-14,1343795
2017-07-15,1343795
2017-07-16,1343795
2017-07-17,1343795
2017-07-18,1343795
2017-07-19,1343795
2017-07-20,1343795
2017-07-21,1343795
2017-07-22,1343795
2017-07-23,1343795
2017-07-24,1343795
2017-07-25,1343795
2017-07-26,1343795
2017-07-27,1343795
2017-07-28,1343795
2017-07-29,1343795
2017-07-30,1343795
2017-07-31,1343795
2017-08-01,1343795
2017-08-02,1401515
2017-08-03,1401515
2017-08-04,1401515
2017-08-05,1401515
2017-08-06,1401515
2017-08-09,1401515
2017-08-10,1401515
2017-08-11,1401515
2017-08-12,1401515
2017-08-13,1401515
2017-08-14,1401515
2017-08-15,1401515
2017-08-16,1401515
2017-08-17,1401515
2017-08-18,1401515
2017-08-19,1401515
2017-08-20,1401515
2017-08-21,1401515
2017-08-22,1401515
2017-08-23,1401515
2017-08-24,1401515
2017-08-25,1401515
2017-08-26,1401515
2017-08-27,1463580
2017-08-28,1463580
2017-08-29,1463580
2017-08-30,1463580
2017-08-31,1463580
2017-09-01,1463580
2017-09-02,1463580
2017-09-03,1463580
2017-09-04,1463580
2017-09-05,1463580
2017-09-06,1463580
2017-09-07,1463580
2017-09-08,1463580
2017-09-09,1463580
2017-09-10,1463580
2017-09-11,1463580
2017-09-12,1463580
2017-09-13,1463580
2017-09-14,1463580
2017-09-15,1463580
2017-09-16,1463580
2017-09-17,1463580
2017-09-19,1463580
2017-09-20,1463580
2017-09-21,1463580
2017-09-22,1463580
2017-09-23,1463580
2017-09-24,1463580
2017-09-25,1463580
2017-09-26,1524838
2017-09-27,1524838
2017-09-28,1524838
2017-09-29,1524838
2017-09-30,1524838
2017-10-01,1524838
2017-10-02,1524838
2017-10-03,1524838
2017-10-04,1524838
2017-10-05,1524838
2017-10-06,1524838
2017-10-07,1524838
2017-10-08,1524838
2017-10-09,1524838
2017-10-10,1524838
2017-10-11,1524838
2017-10-12,1524838
2017-10-13,1524838
2017-10-14,1524838
2017-10-15,1524838
2017-10-16,1524838
2017-10-17,1524838
2017-10-18,1524838
2017-10-19,1524838
2017-10-20,1524838
2017-10-21,1524838
2017-10-22,1589399
2017-10-23,1589399
2017-10-24,1589399
2017-10-25,1589399
2017-10-26,1589399
2017-10-27,1589399
2017-10-28,1589399
2017-10-29,1589399
2017-10-30,1589399
2017-10-31,1589399
2017-11-01,1589399
2017-11-02,1589399
2017-11-03,1589399
2017-11-04,1589399
2017-11-05,1589399
2017-11-06,1589399
2017-11-07,1589399
2017-11-08,1589399
2017-11-09,1589399
2017-11-10,1589399
2017-11-11,1662356
2017-11-12,1662356
2017-11-13,1662356
2017-11-14,1662356
2017-11-15,1662356
2017-11-16,1662356
2017-11-17,1662356
2017-11-18,1662356
2017-11-19,1662356
2017-11-20,1662356
2017-11-21,1662356
2017-11-22,1662356
2017-11-23,1662356
2017-11-24,1662356
2017-11-25,1662356
2017-11-26,1662356
2017-11-27,1662356
2017-11-28,1662356
2017-11-29,1662356
2017-11-30,1662356
2017-12-01,1662356
2017-12-02,1662356
2017-12-03,1662356
2017-12-04,1662356
2017-12-05,1662356
2017-12-06,1739071
2017-12-07,1739071
2017-12-08,1739071
2017-12-09,1739071
2017-12-10,1739071
2017-12-11,1739071
2017-12-12,1739071
2017-12-14,1739071
2017-12-15,1739071
2017-12-16,1739071
2017-12-17,1739071
2017-12-18,1739071
2017-12-19,1739071
2017-12-20,1739071
2017-12-21,1739071
2017-12-22,1739071
2017-12-23,1739071
2017-12-24,1739071
2017-12-25,1739071
2017-12-26,1739071
2017-12-27,1739071
2017-12-28,1739071
2017-12-29,1739071
2017-12-30,1739071
2017-12-31,1739071
2018-01-01,1739071
2018-01-02,1739071
2018-01-03,1814010
2018-01-04,1814010
2018-01-05,1814010
2018-01-06,1814010
2018-01-07,1814010
2018-01-08,1814010
2018-01-09,1814010
2018-01-10,1814010
2018-01-11,1814010
2018-01-12,1814010
2018-01-13,1814010
2018-01-14,1814010
2018-01-15,1814010
2018-01-16,1814010
2018-01-17,1814010
2018-01-18,1814010
2018-01-19,1814010
2018-01-20,1814010
2018-01-21,1814010
2018-01-22,1893767
2018-01-23,1893767
2018-01-25,1893767
2018-01-26,1893767
2018-01-27,1893767
2018-01-28,1893767
2018-01-29,1893767
2018-01-30,1893767
2018-01-31,1893767
2018-02-01,1893767
2018-02-02,1893767
2018-02-03,1975036
2018-02-04,1975036
2018-02-05,1975036
2018-02-06,1975036
2018-02-07,1975036
2018-02-08,1975036
2018-02-09,1975036
2018-02-10,1975036
2018-02-11,1975036
2018-02-12,1975036
2018-02-13,1975036
2018-02-14,1975036
2018-02-15,1975036
2018-02-16,1975036
2018-02-17,2056058
2018-02-18,2056058
2018-02-19,2056058
2018-02-20,2056058
2018-02-21,2056058
2018-02-22,2056058
2018-02-23,2056058
2018-02-24,2056058
2018-02-25,2056058
2018-02-26,2056058
2018-02-27,2056058
2018-02-28,2056058
2018-03-01,2056058
2018-03-02,2146794
2018-03-03,2146794
2018-03-04,2146794
2018-03-05,2146794
2018-03-06,2146794
2018-03-07,2146794
2018-03-08,2146794
2018-03-09,2146794
2018-03-10,2146794
2018-03-11,2146794
2018-03-12,2146794
2018-03-13,2146794
2018-03-14,2146794
2018-03-15,2146794
2018-03-16,2146794
2018-03-17,2245065
2018-03-18,2245065
2018-03-19,2245065
2018-03-20,2245065
2018-03-21,2245065
2018-03-23,2245065
2018-03-24,2245065
2018-03-25,2245065
2018-03-26,2245065
2018-03-27,2245065
