date_obj,White%20bead price
2015-03-26,4547
2015-03-27,4547
2015-03-28,4332
2015-03-29,4209
2015-03-30,4010
2015-03-31,3870
2015-04-01,3870
2015-04-02,3716
2015-04-03,3571
2015-04-04,3445
2015-04-05,3445
2015-04-06,3314
2015-04-07,3359
2015-04-08,3359
2015-04-09,3509
2015-04-10,3417
2015-04-11,3274
2015-04-12,3125
2015-04-13,2973
2015-04-14,2973
2015-04-15,2853
2015-04-16,2762
2015-04-17,2817
2015-04-18,2902
2015-04-19,3047
2015-04-20,3047
2015-04-21,3175
2015-04-22,3175
2015-04-23,3216
2015-04-24,3216
2015-04-25,3344
2015-04-26,3279
2015-04-27,3221
2015-04-28,3156
2015-04-29,3156
2015-04-30,3107
2015-05-01,3152
2015-05-02,3267
2015-05-03,3267
2015-05-04,3369
2015-05-05,3415
2015-05-06,3566
2015-05-07,3729
2015-05-08,3908
2015-05-09,4097
2015-05-10,4232
2015-05-11,4232
2015-05-12,4361
2015-05-13,4361
2015-05-14,4580
2015-05-15,4580
2015-05-16,4809
2015-05-17,4892
2015-05-18,4921
2015-05-19,4921
2015-05-20,4801
2015-05-21,4801
2015-05-22,4618
2015-05-23,4697
2015-05-24,4807
2015-05-25,4901
2015-05-26,4901
2015-05-27,4676
2015-05-28,4442
2015-05-29,4239
2015-05-30,4071
2015-05-31,4071
2015-06-01,3880
2015-06-02,3880
2015-06-03,3688
2015-06-04,3503
2015-06-05,3327
2015-06-06,3160
2015-06-07,3017
2015-06-08,3054
2015-06-09,3103
2015-06-10,2973
2015-06-11,2973
2015-06-12,2839
2015-06-13,2700
2015-06-14,2565
2015-06-15,2445
2015-06-16,2322
2015-06-17,2211
2015-06-18,2116
2015-06-19,2153
2015-06-20,2123
2015-06-21,2123
2015-06-22,2068
2015-06-23,1979
2015-06-24,1885
2015-06-25,1885
2015-06-26,1790
2015-06-27,1790
2015-06-28,1746
2015-06-29,1746
2015-06-30,1738
2015-07-01,1704
2015-07-02,1704
2015-07-03,1678
2015-07-04,1671
2015-07-05,1671
2015-07-06,1713
2015-07-07,1796
2015-07-08,1886
2015-07-09,1886
2015-07-10,1945
2015-07-11,1945
2015-07-12,1976
2015-07-13,1978
2015-07-14,1938
2015-07-15,1876
2015-07-16,1876
2015-07-17,1881
2015-07-18,1881
2015-07-19,1898
2015-07-20,1961
2015-07-21,1961
2015-07-22,1976
2015-07-23,1976
2015-07-24,2036
2015-07-25,2036
2015-07-26,2138
2015-07-27,2245
2015-07-28,2352
2015-07-29,2428
2015-07-30,2428
2015-07-31,2550
2015-08-01,2673
2015-08-02,2807
2015-08-03,2931
2015-08-04,2931
2015-08-05,3078
2015-08-06,3107
2015-08-07,3107
2015-08-08,3110
2015-08-09,3020
2015-08-10,2939
2015-08-11,2919
2015-08-12,2919
2015-08-13,2815
2015-08-14,2785
2015-08-15,2785
2015-08-16,2684
2015-08-17,2684
2015-08-18,2672
2015-08-19,2672
2015-08-20,2656
2015-08-21,2656
2015-08-22,2775
2015-08-23,2775
2015-08-24,2914
2015-08-25,2914
2015-08-26,2914
2015-08-27,3060
2015-08-28,3060
2015-08-29,3185
2015-08-30,3185
2015-08-31,3201
2015-09-01,3201
2015-09-02,3201
2015-09-03,3078
2015-09-04,3078
2015-09-05,2941
2015-09-06,2941
2015-09-07,2846
2015-09-08,2846
2015-09-09,2819
2015-09-10,2819
2015-09-11,2810
2015-09-12,2810
2015-09-13,2814
2015-09-14,2814
2015-09-15,2822
2015-09-16,2822
2015-09-17,2956
2015-09-18,2956
2015-09-19,3101
2015-09-20,3101
2015-09-21,3251
2015-09-22,3251
2015-09-23,3412
2015-09-24,3412
2015-09-25,3412
2015-09-27,3567
2015-09-28,3732
2015-09-29,3732
2015-09-30,3919
2015-10-05,3870
2015-10-06,3872
2015-10-07,3872
2015-10-08,3891
2015-10-09,3891
2015-10-10,3845
2015-10-11,3769
2015-10-12,3769
2015-10-13,3760
2015-10-14,3760
2015-10-15,3659
2015-10-16,3659
2015-10-17,3585
2015-10-18,3585
2015-10-19,3435
2015-10-20,3435
2015-10-22,3346
2015-10-23,3198
2015-10-24,3198
2015-10-25,3075
2015-10-26,3075
2015-10-27,2970
2015-10-29,2961
2015-10-30,2961
2015-10-31,2965
2015-11-01,2965
2015-11-02,3069
2015-11-03,3069
2015-11-04,3223
2015-11-05,3223
2015-11-06,3385
2015-11-07,3555
2015-11-08,3555
2015-11-09,3703
2015-11-10,3703
2015-11-11,3889
2015-11-12,3889
2015-11-13,4069
2015-11-14,4069
2015-11-15,4234
2015-11-16,4234
2015-11-17,4437
2015-11-18,4437
2015-11-19,4596
2015-11-20,4596
2015-11-21,4555
2015-11-22,4409
2015-11-23,4409
2015-11-24,4409
2015-11-25,4333
2015-11-26,4333
2015-11-27,4292
2015-11-28,4292
2015-11-29,4301
2015-11-30,4301
2015-12-01,4158
2015-12-02,4158
2015-12-03,4037
2015-12-04,4037
2015-12-05,3933
2015-12-06,3933
2015-12-07,3790
2015-12-08,3790
2015-12-09,3724
2015-12-10,3724
2015-12-11,3664
2015-12-13,3847
2015-12-14,3847
2015-12-15,3963
2015-12-16,3963
2015-12-17,3899
2015-12-18,3899
2015-12-19,4017
2015-12-20,4017
2015-12-21,4218
2015-12-22,4218
2015-12-23,4429
2015-12-24,4429
2015-12-25,4651
2015-12-26,4651
2015-12-27,4768
2015-12-28,4768
2015-12-29,4618
2015-12-30,4618
2015-12-31,4495
2016-01-01,4495
2016-01-02,4453
2016-01-03,4453
2016-01-04,4268
2016-01-05,4268
2016-01-06,4157
2016-01-07,4157
2016-01-08,4065
2016-01-09,4065
2016-01-10,3916
2016-01-11,3916
2016-01-12,3784
2016-01-13,3784
2016-01-14,3649
2016-01-15,3649
2016-01-16,3466
2016-01-17,3466
2016-01-18,3292
2016-01-19,3292
2016-01-20,3130
2016-01-21,3130
2016-01-22,3046
2016-01-23,3046
2016-01-24,3025
2016-01-25,3074
2016-01-26,3074
2016-01-27,3228
2016-01-28,3228
2016-01-29,3386
2016-01-30,3386
2016-01-31,3556
2016-02-01,3556
2016-02-02,3721
2016-02-03,3721
2016-02-04,3898
2016-02-05,3898
2016-02-06,4087
2016-02-07,4087
2016-02-08,4081
2016-02-09,4081
2016-02-10,3891
2016-02-11,3891
2016-02-12,3728
2016-02-13,3543
2016-02-14,3543
2016-02-15,3371
2016-02-16,3371
2016-02-17,3328
2016-02-18,3328
2016-02-19,3274
2016-02-20,3274
2016-02-21,3145
2016-02-22,3145
2016-02-23,3050
2016-02-24,3050
2016-02-25,3002
2016-02-26,3002
2016-02-27,3119
2016-02-28,3119
2016-02-29,3165
2016-03-01,3165
2016-03-02,3036
2016-03-03,3036
2016-03-04,3065
2016-03-05,3065
2016-03-06,3200
2016-03-07,3200
2016-03-08,3268
2016-03-09,3268
2016-03-10,3313
2016-03-11,3313
2016-03-12,3223
2016-03-13,3223
2016-03-14,3158
2016-03-15,3158
2016-03-16,3043
2016-03-17,3043
2016-03-18,2959
2016-03-19,2959
2016-03-20,2880
2016-03-21,2880
2016-03-22,2850
2016-03-23,2850
2016-03-24,2811
2016-03-25,2811
2016-03-26,2842
2016-03-27,2842
2016-03-28,2924
2016-03-29,2924
2016-03-30,3045
2016-03-31,3045
2016-04-01,3154
2016-04-02,3154
2016-04-03,3054
2016-04-04,3054
2016-04-05,2953
2016-04-06,2953
2016-04-07,2824
2016-04-08,2824
2016-04-09,2805
2016-04-10,2832
2016-04-11,2832
2016-04-12,2830
2016-04-13,2830
2016-04-14,2826
2016-04-15,2826
2016-04-16,2742
2016-04-17,2742
2016-04-18,2673
2016-04-19,2673
2016-04-20,2670
2016-04-21,2670
2016-04-22,2679
2016-04-23,2679
2016-04-24,2601
2016-04-25,2536
2016-04-26,2536
2016-04-27,2486
2016-04-28,2486
2016-04-29,2530
2016-04-30,2583
2016-05-01,2583
2016-05-02,2618
2016-05-03,2618
2016-05-04,2641
2016-05-05,2706
2016-05-06,2706
2016-05-07,2804
2016-05-08,2804
2016-05-09,2897
2016-05-10,2897
2016-05-11,2845
2016-05-12,2845
2016-05-13,2855
2016-05-14,2855
2016-05-15,2823
2016-05-16,2823
2016-05-17,2873
2016-05-18,3017
2016-05-19,3017
2016-05-22,3091
2016-05-23,3063
2016-05-24,3063
