date_obj,Dagannoth%20hide price
2015-03-26,537
2015-03-27,537
2015-03-28,511
2015-03-29,511
2015-03-30,511
2015-03-31,486
2015-04-01,486
2015-04-02,486
2015-04-03,486
2015-04-04,462
2015-04-05,462
2015-04-06,462
2015-04-07,462
2015-04-08,439
2015-04-09,439
2015-04-10,439
2015-04-11,439
2015-04-12,418
2015-04-13,418
2015-04-14,418
2015-04-15,418
2015-04-16,397
2015-04-17,397
2015-04-18,397
2015-04-19,397
2015-04-20,379
2015-04-21,379
2015-04-22,379
2015-04-23,379
2015-04-24,379
2015-04-25,379
2015-04-26,362
2015-04-27,362
2015-04-28,362
2015-04-29,362
2015-04-30,344
2015-05-01,344
2015-05-02,344
2015-05-03,344
2015-05-04,344
2015-05-05,326
2015-05-06,326
2015-05-07,326
2015-05-08,326
2015-05-09,326
2015-05-10,310
2015-05-11,310
2015-05-12,310
2015-05-13,310
2015-05-14,310
2015-05-15,298
2015-05-16,298
2015-05-17,298
2015-05-18,298
2015-05-19,284
2015-05-20,284
2015-05-21,284
2015-05-22,284
2015-05-23,284
2015-05-24,284
2015-05-25,271
2015-05-26,271
2015-05-27,271
2015-05-28,258
2015-05-29,258
2015-05-30,246
2015-05-31,246
2015-06-01,246
2015-06-02,234
2015-06-03,234
2015-06-04,234
2015-06-05,223
2015-06-06,223
2015-06-07,223
2015-06-08,223
2015-06-09,212
2015-06-10,212
2015-06-11,212
2015-06-12,212
2015-06-13,202
2015-06-14,202
2015-06-15,202
2015-06-16,192
2015-06-17,192
2015-06-18,192
2015-06-19,192
2015-06-20,187
2015-06-21,187
2015-06-22,187
2015-06-23,187
2015-06-24,178
2015-06-25,178
2015-06-26,178
2015-06-27,178
2015-06-28,170
2015-06-29,170
2015-06-30,170
2015-07-01,170
2015-07-02,170
2015-07-03,163
2015-07-04,163
2015-07-05,163
2015-07-06,163
2015-07-07,163
2015-07-08,155
2015-07-09,155
2015-07-10,155
2015-07-11,155
2015-07-12,155
2015-07-13,148
2015-07-14,148
2015-07-15,148
2015-07-16,148
2015-07-17,148
2015-07-18,140
2015-07-19,140
2015-07-20,140
2015-07-21,140
2015-07-22,140
2015-07-23,134
2015-07-24,134
2015-07-25,134
2015-07-26,134
2015-07-27,134
2015-07-28,128
2015-07-29,128
2015-07-30,128
2015-07-31,128
2015-08-01,128
2015-08-02,125
2015-08-03,125
2015-08-04,125
2015-08-05,125
2015-08-06,125
2015-08-07,125
2015-08-08,121
2015-08-09,121
2015-08-10,121
