date_obj,Black%20wizard%20hat%20(g) price
2015-03-26,204909
2015-03-27,204909
2015-03-28,207003
2015-03-29,208811
2015-03-30,212786
2015-03-31,210127
2015-04-01,210127
2015-04-02,206670
2015-04-03,200288
2015-04-04,195733
2015-04-05,193366
2015-04-06,190281
2015-04-07,187679
2015-04-08,185182
2015-04-09,181491
2015-04-10,177547
2015-04-11,176365
2015-04-12,174077
2015-04-13,172694
2015-04-14,172694
2015-04-15,173016
2015-04-16,175806
2015-04-17,178383
2015-04-18,177745
2015-04-19,179109
2015-04-20,181296
2015-04-21,180760
2015-04-22,181445
2015-04-23,186678
2015-04-24,192680
2015-04-25,196425
2015-04-26,198751
2015-04-27,201806
2015-04-28,206288
2015-04-29,206288
2015-04-30,208009
2015-05-01,204366
2015-05-02,196963
2015-05-03,191857
2015-05-04,182842
2015-05-05,173849
2015-05-06,165804
2015-05-07,157945
2015-05-08,151192
2015-05-09,144844
2015-05-10,138209
2015-05-11,133305
2015-05-12,130853
2015-05-13,129619
2015-05-14,127850
2015-05-15,126244
2015-05-16,124987
2015-05-17,125754
2015-05-18,125678
2015-05-19,125202
2015-05-20,125202
2015-05-21,127494
2015-05-22,130016
2015-05-23,133324
2015-05-24,136576
2015-05-25,138636
2015-05-26,139965
2015-05-27,142872
2015-05-28,144420
2015-05-29,143668
2015-05-30,145346
2015-05-31,148551
2015-06-01,150312
2015-06-02,150312
2015-06-03,153477
2015-06-04,153918
2015-06-05,155015
2015-06-06,155889
2015-06-07,159840
2015-06-08,161919
2015-06-09,164187
2015-06-10,165631
2015-06-11,165631
2015-06-12,167275
2015-06-13,170835
2015-06-14,172259
2015-06-15,174608
2015-06-16,178690
2015-06-17,184244
2015-06-18,186234
2015-06-19,188962
2015-06-20,191959
2015-06-21,191959
2015-06-22,195151
2015-06-23,198391
2015-06-24,201571
2015-06-25,201571
2015-06-26,203728
2015-06-27,203728
2015-06-28,207778
2015-06-29,207778
2015-06-30,210591
2015-07-01,212283
2015-07-02,212283
2015-07-03,218087
2015-07-04,222201
2015-07-05,222133
2015-07-06,221371
2015-07-07,220707
2015-07-08,222617
2015-07-09,222617
2015-07-10,228545
2015-07-11,231386
2015-07-12,231386
2015-07-13,230126
2015-07-14,229927
2015-07-15,228488
2015-07-16,234668
2015-07-17,240290
2015-07-18,240290
2015-07-19,241969
2015-07-20,245636
2015-07-21,245636
2015-07-22,246125
2015-07-23,246125
2015-07-24,249364
2015-07-25,254048
2015-07-26,254048
2015-07-27,252383
2015-07-28,252032
2015-07-29,248471
2015-07-30,242623
2015-07-31,242623
2015-08-01,242304
2015-08-02,241583
2015-08-03,238787
2015-08-04,238787
2015-08-05,242125
2015-08-06,238044
2015-08-07,238588
2015-08-08,241884
2015-08-09,246550
2015-08-10,248031
2015-08-11,255706
2015-08-12,255706
2015-08-13,264930
2015-08-14,272339
2015-08-15,272339
2015-08-16,277331
2015-08-17,282849
2015-08-18,286128
2015-08-19,284672
2015-08-20,283891
2015-08-21,280231
2015-08-22,276629
2015-08-23,274330
2015-08-24,271504
2015-08-25,271504
2015-08-26,269155
2015-08-27,264732
2015-08-28,263438
2015-08-29,259371
2015-08-30,259371
2015-08-31,257085
2015-09-01,254079
2015-09-02,254079
2015-09-03,253385
2015-09-04,254068
