date_obj,Zul-andra%20teleport price
2015-03-26,294
2015-03-27,294
2015-03-28,279
2015-03-29,265
2015-03-30,252
2015-03-31,240
2015-04-01,240
2015-04-02,229
2015-04-03,219
2015-04-04,208
2015-04-05,208
2015-04-06,197
2015-04-07,189
2015-04-08,189
2015-04-09,179
2015-04-10,173
2015-04-11,171
2015-04-12,171
2015-04-13,171
2015-04-14,171
2015-04-15,162
2015-04-16,162
2015-04-17,153
2015-04-18,146
2015-04-19,146
2015-04-20,138
2015-04-21,138
2015-04-22,135
2015-04-23,132
2015-04-24,132
2015-04-25,127
2015-04-26,127
2015-04-27,122
2015-04-28,116
2015-04-29,116
2015-04-30,110
2015-05-01,104
2015-05-02,101
2015-05-03,101
2015-05-04,97
2015-05-05,97
2015-05-06,95
2015-05-07,95
2015-05-08,95
2015-05-09,95
2015-05-10,97
2015-05-11,97
2015-05-12,102
2015-05-13,102
2015-05-14,102
2015-05-15,102
2015-05-16,105
2015-05-17,110
2015-05-18,110
2015-05-19,115
2015-05-20,115
2015-05-21,115
2015-05-22,109
2015-05-23,109
2015-05-24,103
2015-05-25,99
2015-05-26,99
2015-05-27,94
2015-05-28,94
2015-05-29,97
2015-05-30,100
2015-05-31,100
2015-06-01,98
2015-06-02,98
2015-06-03,95
2015-06-04,95
2015-06-05,92
2015-06-06,89
2015-06-07,87
2015-06-08,87
2015-06-09,85
2015-06-10,88
2015-06-11,88
2015-06-12,91
2015-06-13,94
2015-06-14,97
2015-06-15,98
2015-06-16,99
2015-06-17,99
2015-06-18,99
2015-06-19,99
2015-06-20,102
2015-06-21,102
2015-06-22,104
2015-06-23,104
2015-06-24,106
2015-06-25,106
2015-06-26,106
2015-06-27,106
2015-06-28,112
2015-06-29,112
2015-06-30,117
2015-07-01,116
2015-07-02,116
2015-07-03,111
2015-07-04,111
2015-07-05,105
2015-07-06,105
2015-07-07,102
2015-07-08,101
2015-07-09,101
2015-07-10,101
2015-07-11,101
2015-07-12,103
2015-07-13,100
2015-07-14,101
2015-07-15,103
2015-07-16,103
2015-07-17,102
2015-07-18,102
2015-07-19,101
2015-07-20,98
2015-07-21,98
2015-07-22,94
2015-07-23,94
2015-07-24,95
2015-07-25,95
2015-07-26,95
2015-07-27,92
2015-07-28,92
2015-07-29,90
2015-07-30,90
2015-07-31,87
2015-08-01,87
2015-08-02,86
2015-08-03,86
2015-08-04,86
2015-08-05,87
2015-08-06,87
2015-08-07,87
2015-08-08,87
2015-08-09,87
2015-08-10,91
2015-08-11,94
2015-08-12,94
2015-08-13,96
2015-08-14,100
2015-08-15,100
2015-08-16,98
2015-08-17,95
2015-08-18,95
2015-08-19,93
2015-08-20,93
2015-08-21,92
2015-08-22,96
2015-08-23,96
2015-08-24,97
2015-08-25,97
2015-08-26,94
2015-08-27,90
2015-08-28,90
2015-08-29,89
2015-08-30,89
2015-08-31,90
2015-09-01,94
2015-09-02,94
2015-09-03,95
2015-09-04,94
2015-09-05,94
2015-09-06,95
2015-09-07,95
2015-09-08,93
2015-09-09,93
2015-09-10,88
2015-09-11,83
2015-09-12,83
2015-09-13,84
2015-09-14,84
2015-09-15,82
2015-09-16,82
2015-09-17,83
2015-09-18,83
2015-09-19,85
2015-09-20,85
2015-09-21,85
2015-09-22,85
2015-09-23,86
2015-09-24,86
2015-09-25,86
2015-09-27,89
2015-09-28,89
2015-09-29,90
2015-09-30,88
2015-10-05,88
2015-10-06,86
2015-10-07,86
2015-10-08,88
2015-10-09,92
2015-10-10,92
2015-10-11,90
2015-10-12,90
2015-10-13,88
2015-10-14,88
2015-10-15,93
2015-10-16,98
2015-10-17,103
2015-10-18,109
