date_obj,Light%20infinity%20colour%20kit price
2015-03-26,153669
2015-03-27,153669
2015-03-28,146579
2015-03-29,139551
2015-03-30,133208
2015-03-31,127040
2015-04-01,127040
2015-04-02,121222
2015-04-03,121222
2015-04-04,115361
2015-04-05,115361
2015-04-06,115361
2015-04-07,110145
2015-04-08,110145
2015-04-09,110145
2015-04-10,104637
2015-04-11,104637
2015-04-12,104637
2015-04-13,99545
2015-04-14,99545
2015-04-15,94713
2015-04-16,94713
2015-04-17,90145
2015-04-18,90145
2015-04-19,86287
2015-04-20,86287
2015-04-21,86287
2015-04-22,86287
2015-04-23,81972
2015-04-24,81972
2015-04-25,78197
2015-04-26,78197
2015-04-27,74474
2015-04-28,74474
2015-04-29,70892
2015-04-30,70892
2015-05-01,67347
2015-05-02,67347
2015-05-03,64141
2015-05-04,64141
2015-05-05,61064
2015-05-06,61064
2015-05-07,58010
2015-05-08,58010
2015-05-09,55267
2015-05-10,55267
2015-05-11,52614
2015-05-12,50231
2015-05-13,50231
2015-05-14,47806
2015-05-15,47806
2015-05-16,47806
2015-05-17,45415
2015-05-18,43285
2015-05-19,42902
2015-05-20,42902
2015-05-21,41449
2015-05-22,41449
2015-05-23,40843
2015-05-24,40843
2015-05-25,40659
2015-05-26,40659
2015-05-27,40978
2015-05-28,40978
2015-05-29,41038
2015-05-30,41465
2015-05-31,41465
2015-06-01,41465
2015-06-02,41754
2015-06-03,41754
2015-06-04,41754
2015-06-05,42444
2015-06-06,42444
2015-06-07,42384
2015-06-08,42384
2015-06-09,42384
2015-06-10,42364
2015-06-11,42364
2015-06-12,42364
2015-06-13,40245
2015-06-14,40245
2015-06-15,38385
2015-06-16,38385
2015-06-17,38385
2015-06-18,36814
2015-06-19,36814
2015-06-20,36814
2015-06-21,35914
2015-06-22,35914
2015-06-23,34155
2015-06-24,34155
2015-06-25,34155
2015-06-26,32508
2015-06-27,32508
2015-06-28,32508
2015-06-29,31024
2015-06-30,31024
2015-07-01,30436
2015-07-02,30436
2015-07-03,30436
2015-07-04,29019
2015-07-05,29019
2015-07-06,28053
2015-07-07,28053
2015-07-08,29052
2015-07-09,29052
2015-07-10,29052
2015-07-11,30461
2015-07-12,30461
2015-07-13,31977
2015-07-14,31977
2015-07-15,33523
2015-07-16,33523
2015-07-17,35104
2015-07-18,35104
2015-07-19,36318
2015-07-20,36318
2015-07-21,37658
2015-07-22,39028
2015-07-23,39028
2015-07-24,40112
2015-07-25,40112
2015-07-26,39130
2015-07-27,39130
2015-07-28,39113
2015-07-29,39113
2015-07-30,38896
2015-07-31,38896
2015-08-01,38875
2015-08-02,38764
2015-08-03,38764
2015-08-04,38764
2015-08-05,40209
2015-08-06,40209
2015-08-07,40534
2015-08-08,40534
2015-08-09,40258
2015-08-10,40258
2015-08-11,39536
2015-08-12,39536
2015-08-13,38719
2015-08-14,37048
2015-08-15,37048
2015-08-16,35317
2015-08-17,35317
2015-08-18,35863
2015-08-19,35863
2015-08-20,36108
2015-08-21,36108
2015-08-22,37063
2015-08-23,37063
2015-08-24,38566
2015-08-25,38566
2015-08-26,38566
2015-08-27,39799
2015-08-28,39799
2015-08-29,40855
2015-08-30,40855
2015-08-31,40468
2015-09-01,40468
2015-09-02,40468
2015-09-03,39699
2015-09-04,39699
2015-09-05,39699
2015-09-06,39882
2015-09-07,39882
2015-09-08,41055
2015-09-09,41055
2015-09-10,40760
2015-09-11,40760
2015-09-12,40654
2015-09-13,40654
2015-09-14,40732
2015-09-15,40732
