date_obj,Zamorak%20robe%20top price
2015-03-26,92666
2015-03-27,92666
2015-03-28,88884
2015-03-29,87331
2015-03-30,88278
2015-03-31,89877
2015-04-01,90683
2015-04-02,90667
2015-04-03,91656
2015-04-04,93816
2015-04-05,96453
2015-04-06,98806
2015-04-07,98454
2015-04-08,96642
2015-04-09,94948
2015-04-10,92377
2015-04-11,92863
2015-04-12,93011
2015-04-13,93067
2015-04-14,95081
2015-04-15,98356
2015-04-16,99072
2015-04-17,100914
2015-04-18,101426
2015-04-19,101930
2015-04-20,101930
2015-04-21,104352
2015-04-22,103569
2015-04-23,101115
2015-04-24,97845
2015-04-25,94699
2015-04-26,91328
2015-04-27,88381
2015-04-28,86912
2015-04-29,86912
2015-04-30,86523
2015-05-01,89263
2015-05-02,91967
2015-05-03,91967
2015-05-04,93946
2015-05-05,94311
2015-05-06,93144
2015-05-07,91127
2015-05-08,88668
2015-05-09,84822
2015-05-10,81221
2015-05-11,81221
2015-05-12,79178
2015-05-13,81493
2015-05-14,80070
2015-05-15,78416
2015-05-16,76109
2015-05-17,72618
2015-05-18,70209
2015-05-19,68020
2015-05-20,66549
2015-05-21,66549
2015-05-22,64734
2015-05-23,66108
2015-05-24,65946
2015-05-25,65604
2015-05-26,65934
2015-05-27,65596
2015-05-28,67014
2015-05-29,66286
2015-05-30,65759
2015-05-31,66172
2015-06-01,66597
2015-06-02,66597
2015-06-03,68025
2015-06-04,67904
2015-06-05,68265
2015-06-06,70297
2015-06-07,73679
2015-06-08,77068
2015-06-09,80836
2015-06-10,83820
2015-06-11,85388
2015-06-12,87113
2015-06-13,89715
2015-06-14,91805
2015-06-15,94559
2015-06-16,97707
2015-06-17,100891
2015-06-18,104768
2015-06-19,109874
2015-06-20,111151
2015-06-21,113964
2015-06-22,112822
2015-06-23,110394
2015-06-24,105452
2015-06-25,105452
2015-06-26,101487
2015-06-27,101487
2015-06-28,98019
2015-06-29,96222
2015-06-30,95508
2015-07-01,95377
2015-07-02,95377
2015-07-03,95144
2015-07-04,94416
2015-07-05,96259
2015-07-06,96339
2015-07-07,96353
2015-07-08,96578
2015-07-09,97471
2015-07-10,98167
2015-07-11,97529
2015-07-12,96734
2015-07-13,98511
2015-07-14,103321
2015-07-15,108049
2015-07-16,111925
2015-07-17,115479
2015-07-18,119790
2015-07-19,123237
2015-07-20,127892
2015-07-21,130435
2015-07-22,132557
2015-07-23,132557
2015-07-24,133820
2015-07-25,137255
2015-07-26,137328
2015-07-27,135103
2015-07-28,133449
2015-07-29,133244
2015-07-30,134624
2015-07-31,140029
2015-08-01,145458
2015-08-02,151293
2015-08-03,155295
2015-08-04,159629
2015-08-05,162967
2015-08-06,168935
2015-08-07,172507
2015-08-08,170544
2015-08-09,170272
2015-08-10,167861
2015-08-11,166604
2015-08-12,166604
2015-08-13,168297
2015-08-14,176176
2015-08-15,176176
2015-08-16,177809
2015-08-17,185974
2015-08-18,188700
2015-08-19,191546
2015-08-20,197043
2015-08-21,192427
2015-08-22,195708
2015-08-23,191896
2015-08-24,190929
2015-08-25,190929
2015-08-26,189235
2015-08-27,184991
2015-08-28,176114
2015-08-29,168517
2015-08-30,161161
2015-08-31,154954
2015-09-01,152141
2015-09-02,152141
2015-09-03,147605
2015-09-04,141593
2015-09-05,136030
2015-09-06,132680
2015-09-07,130014
2015-09-08,125770
2015-09-09,123432
2015-09-10,123323
2015-09-11,124452
2015-09-12,127385
2015-09-13,130866
2015-09-14,134858
2015-09-15,136128
2015-09-16,136128
2015-09-17,139349
2015-09-18,139516
2015-09-19,140105
2015-09-20,141396
2015-09-21,143831
2015-09-22,146812
2015-09-23,149290
2015-09-24,149290
2015-09-25,144343
2015-09-27,138864
2015-09-28,138234
2015-09-29,140244
2015-09-30,141694
2015-10-05,144761
2015-10-06,145534
2015-10-07,145681
2015-10-08,144451
2015-10-09,144572
2015-10-10,144572
2015-10-11,143582
2015-10-12,143409
