date_obj,Supercompost price
2015-03-26,731
2015-03-27,731
2015-03-28,713
2015-03-29,699
2015-03-30,690
2015-03-31,693
2015-04-01,701
2015-04-02,709
2015-04-03,717
2015-04-04,736
2015-04-05,742
2015-04-06,753
2015-04-07,767
2015-04-08,784
2015-04-09,794
2015-04-10,779
2015-04-11,767
2015-04-12,756
2015-04-13,761
2015-04-14,774
2015-04-15,776
2015-04-16,788
2015-04-17,777
2015-04-18,761
2015-04-19,743
2015-04-20,718
2015-04-21,702
2015-04-22,691
2015-04-23,691
2015-04-24,687
2015-04-25,695
2015-04-26,705
2015-04-27,708
2015-04-28,721
2015-04-29,721
2015-04-30,723
2015-05-01,743
2015-05-02,772
2015-05-03,792
2015-05-04,812
2015-05-05,798
2015-05-06,787
2015-05-07,787
2015-05-08,790
2015-05-09,810
2015-05-10,823
2015-05-11,818
2015-05-12,819
2015-05-13,801
2015-05-14,777
2015-05-15,761
2015-05-16,747
2015-05-17,732
2015-05-18,719
2015-05-19,721
2015-05-20,721
2015-05-21,719
2015-05-22,700
2015-05-23,686
2015-05-24,665
2015-05-25,655
2015-05-26,655
2015-05-27,660
2015-05-28,675
2015-05-29,667
2015-05-30,666
2015-05-31,671
2015-06-01,675
2015-06-02,681
2015-06-03,703
2015-06-04,718
2015-06-05,731
2015-06-06,740
2015-06-07,737
2015-06-08,749
2015-06-09,756
2015-06-10,756
2015-06-11,762
2015-06-12,752
2015-06-13,762
2015-06-14,764
2015-06-15,770
2015-06-16,763
2015-06-17,763
2015-06-18,754
2015-06-19,758
2015-06-20,754
2015-06-21,750
2015-06-22,754
2015-06-23,760
2015-06-24,762
2015-06-25,750
2015-06-26,758
2015-06-27,767
2015-06-28,772
2015-06-29,775
2015-06-30,764
2015-07-01,753
2015-07-02,731
2015-07-03,729
2015-07-04,726
2015-07-05,716
2015-07-06,714
2015-07-07,692
2015-07-08,678
2015-07-09,676
2015-07-10,663
2015-07-11,657
2015-07-12,648
2015-07-13,652
2015-07-14,657
2015-07-15,656
2015-07-16,639
2015-07-17,618
2015-07-18,604
2015-07-19,596
2015-07-20,583
2015-07-21,577
2015-07-22,580
2015-07-23,590
2015-07-24,587
2015-07-25,586
2015-07-26,595
2015-07-27,609
2015-07-28,616
2015-07-29,631
2015-07-30,654
2015-07-31,670
2015-08-01,664
2015-08-02,673
2015-08-03,677
2015-08-04,680
2015-08-05,688
2015-08-06,678
2015-08-07,672
2015-08-08,682
2015-08-09,690
2015-08-10,689
2015-08-11,695
2015-08-12,704
2015-08-13,704
2015-08-14,698
2015-08-15,704
2015-08-16,693
2015-08-17,691
2015-08-18,670
2015-08-19,662
2015-08-20,657
2015-08-21,655
