date_obj,Jangerberries price
2015-03-26,5280
2015-03-27,5280
2015-03-28,5016
2015-03-29,5016
2015-03-30,5016
2015-03-31,5016
2015-04-01,5016
2015-04-02,4765
2015-04-03,4765
2015-04-04,4765
2015-04-05,4765
2015-04-06,4528
2015-04-07,4528
2015-04-08,4528
2015-04-09,4528
2015-04-10,4528
2015-04-11,4301
2015-04-12,4301
2015-04-13,4301
2015-04-14,4301
2015-04-15,4301
2015-04-16,4085
2015-04-17,4085
2015-04-18,4085
2015-04-19,4085
2015-04-20,4085
2015-04-21,3880
2015-04-22,3880
2015-04-23,3880
2015-04-24,3880
2015-04-25,3880
2015-04-26,3686
2015-04-27,3686
2015-04-28,3686
2015-04-29,3686
2015-04-30,3686
2015-05-01,3501
2015-05-02,3501
2015-05-03,3501
2015-05-04,3501
2015-05-05,3501
2015-05-06,3327
2015-05-07,3327
2015-05-08,3327
2015-05-09,3327
2015-05-10,3327
2015-05-11,3162
2015-05-12,3162
2015-05-13,3162
2015-05-14,3162
2015-05-15,3162
2015-05-16,3003
2015-05-17,3003
2015-05-18,3003
2015-05-19,3003
2015-05-20,3003
2015-05-21,2859
2015-05-22,2859
2015-05-23,2859
2015-05-24,2859
2015-05-25,2721
2015-05-26,2721
2015-05-27,2721
2015-05-28,2721
2015-05-29,2721
2015-05-30,2584
2015-05-31,2584
2015-06-01,2584
2015-06-02,2584
2015-06-03,2584
2015-06-04,2473
2015-06-05,2473
2015-06-06,2473
2015-06-07,2473
2015-06-08,2351
2015-06-09,2351
2015-06-10,2351
2015-06-11,2351
2015-06-12,2351
2015-06-13,2233
2015-06-14,2233
2015-06-15,2233
2015-06-16,2233
2015-06-17,2233
2015-06-18,2121
2015-06-19,2121
2015-06-20,2121
2015-06-21,2121
2015-06-22,2121
2015-06-23,2014
2015-06-24,2014
2015-06-25,2014
2015-06-26,2014
2015-06-27,2014
2015-06-28,1913
2015-06-29,1913
2015-06-30,1913
2015-07-01,1913
2015-07-02,1913
2015-07-03,1817
2015-07-04,1817
2015-07-05,1817
2015-07-06,1817
2015-07-07,1817
2015-07-08,1726
2015-07-09,1726
2015-07-10,1726
2015-07-11,1726
2015-07-12,1726
2015-07-13,1641
2015-07-14,1641
2015-07-15,1641
2015-07-16,1641
2015-07-17,1559
2015-07-18,1559
2015-07-19,1559
2015-07-20,1559
2015-07-21,1559
2015-07-22,1481
2015-07-23,1481
2015-07-24,1481
2015-07-25,1481
2015-07-26,1481
2015-07-27,1406
2015-07-28,1406
2015-07-29,1406
2015-07-30,1406
2015-07-31,1336
2015-08-01,1336
2015-08-02,1336
2015-08-03,1336
2015-08-04,1336
2015-08-05,1269
2015-08-06,1269
2015-08-07,1269
2015-08-08,1269
2015-08-09,1269
2015-08-10,1205
2015-08-11,1205
2015-08-12,1205
2015-08-13,1205
2015-08-14,1205
2015-08-15,1205
2015-08-16,1205
2015-08-17,1147
2015-08-18,1147
2015-08-19,1147
2015-08-20,1147
2015-08-21,1147
2015-08-22,1147
2015-08-23,1147
2015-08-24,1093
2015-08-25,1093
2015-08-26,1093
2015-08-27,1093
2015-08-28,1093
2015-08-29,1093
2015-08-30,1093
2015-08-31,1093
2015-09-01,1061
2015-09-02,1061
2015-09-03,1061
2015-09-04,1061
2015-09-05,1061
2015-09-06,1061
2015-09-07,1061
2015-09-08,1061
2015-09-09,1061
2015-09-10,1027
2015-09-11,1027
2015-09-12,1027
2015-09-13,1027
2015-09-14,1027
2015-09-15,1027
2015-09-16,1027
2015-09-17,1027
2015-09-18,1027
2015-09-19,993
2015-09-20,993
2015-09-21,993
2015-09-22,993
2015-09-23,993
2015-09-24,993
2015-09-25,993
2015-09-27,993
2015-09-28,960
2015-09-29,960
2015-09-30,960
2015-10-05,960
2015-10-06,960
2015-10-07,920
2015-10-08,920
2015-10-09,920
2015-10-10,920
2015-10-11,920
2015-10-12,920
2015-10-13,920
2015-10-14,920
2015-10-15,920
2015-10-16,902
2015-10-17,902
2015-10-18,902
2015-10-19,902
2015-10-20,902
2015-10-22,902
2015-10-23,902
2015-10-24,902
2015-10-25,896
2015-10-26,896
2015-10-27,896
2015-10-29,896
2015-10-30,896
2015-10-31,896
2015-11-01,896
2015-11-02,896
2015-11-03,868
2015-11-04,868
2015-11-05,868
2015-11-06,868
2015-11-07,868
2015-11-08,868
2015-11-09,868
2015-11-10,868
2015-11-11,868
2015-11-12,872
2015-11-13,872
2015-11-14,872
2015-11-15,872
2015-11-16,872
2015-11-17,872
2015-11-18,872
2015-11-19,872
2015-11-20,872
2015-11-21,872
2015-11-22,892
2015-11-23,892
2015-11-24,892
2015-11-25,892
2015-11-26,892
2015-11-27,892
2015-11-28,892
2015-11-29,892
2015-11-30,888
2015-12-01,888
2015-12-02,888
2015-12-03,888
2015-12-04,888
2015-12-05,888
2015-12-06,888
2015-12-07,846
2015-12-08,846
2015-12-09,846
2015-12-10,846
2015-12-11,846
2015-12-12,846
2015-12-13,803
2015-12-14,803
2015-12-15,803
2015-12-16,803
2015-12-17,803
2015-12-18,803
2015-12-19,803
2015-12-20,762
2015-12-21,762
2015-12-22,762
2015-12-23,762
2015-12-24,762
2015-12-25,762
2015-12-26,762
2015-12-27,723
2015-12-28,723
2015-12-29,723
2015-12-30,723
2015-12-31,723
2016-01-01,723
2016-01-02,688
2016-01-03,688
2016-01-04,688
2016-01-05,688
2016-01-06,688
2016-01-07,688
2016-01-08,653
2016-01-09,653
2016-01-10,653
2016-01-11,653
2016-01-12,653
2016-01-13,653
2016-01-14,621
2016-01-15,621
2016-01-16,621
2016-01-17,621
2016-01-18,621
2016-01-19,621
2016-01-20,589
2016-01-21,589
2016-01-22,589
2016-01-23,589
2016-01-24,589
2016-01-25,589
2016-01-26,560
2016-01-27,560
2016-01-28,560
2016-01-29,560
2016-01-30,560
2016-01-31,560
2016-02-01,533
2016-02-02,533
2016-02-03,533
2016-02-04,533
2016-02-05,533
2016-02-06,533
2016-02-07,533
2016-02-08,506
2016-02-09,506
2016-02-10,506
2016-02-11,506
2016-02-12,506
2016-02-13,506
2016-02-14,481
2016-02-15,481
2016-02-16,481
2016-02-17,481
2016-02-18,481
2016-02-19,481
2016-02-20,481
2016-02-21,456
2016-02-22,456
2016-02-23,456
2016-02-24,456
2016-02-25,456
2016-02-26,456
2016-02-27,456
2016-02-28,437
2016-02-29,437
2016-03-01,437
2016-03-02,437
2016-03-03,437
2016-03-04,437
2016-03-05,437
2016-03-06,427
2016-03-07,427
2016-03-08,427
2016-03-09,427
2016-03-10,427
2016-03-11,427
2016-03-12,427
2016-03-13,411
2016-03-14,411
2016-03-15,411
2016-03-16,411
2016-03-17,411
2016-03-18,411
2016-03-19,417
2016-03-20,417
2016-03-21,417
2016-03-22,417
2016-03-23,417
2016-03-24,417
2016-03-25,425
2016-03-26,425
2016-03-27,425
2016-03-28,425
2016-03-29,425
2016-03-30,425
2016-03-31,424
2016-04-01,424
2016-04-02,424
2016-04-03,424
2016-04-04,424
2016-04-05,424
2016-04-06,425
2016-04-07,425
2016-04-08,425
2016-04-09,425
2016-04-10,425
2016-04-11,425
2016-04-12,419
2016-04-13,419
2016-04-14,419
2016-04-15,419
2016-04-16,419
2016-04-17,419
2016-04-18,408
2016-04-19,408
2016-04-20,408
2016-04-21,408
2016-04-22,408
2016-04-23,408
2016-04-24,408
2016-04-25,411
2016-04-26,411
2016-04-27,411
2016-04-28,411
2016-04-29,411
2016-04-30,411
2016-05-01,412
2016-05-02,412
2016-05-03,412
2016-05-04,412
2016-05-05,403
2016-05-06,403
2016-05-07,403
2016-05-08,403
2016-05-09,403
2016-05-10,399
2016-05-11,399
2016-05-12,399
2016-05-13,399
2016-05-14,399
2016-05-15,394
2016-05-16,394
2016-05-17,394
2016-05-18,394
2016-05-19,394
2016-05-22,384
2016-05-23,384
2016-05-24,384
2016-05-25,384
2016-05-26,368
2016-05-27,368
2016-05-28,368
2016-05-29,368
2016-05-30,368
2016-05-31,358
2016-06-01,358
2016-06-02,358
2016-06-03,358
2016-06-04,358
2016-06-05,358
2016-06-06,352
2016-06-07,352
2016-06-08,352
2016-06-09,352
2016-06-10,352
2016-06-11,352
2016-06-12,355
2016-06-13,355
2016-06-14,355
2016-06-15,355
2016-06-16,355
2016-06-17,352
2016-06-18,352
2016-06-19,352
2016-06-20,352
2016-06-21,352
2016-06-22,356
2016-06-23,356
2016-06-24,356
2016-06-25,356
2016-06-26,356
2016-06-27,356
2016-06-28,351
