date_obj,Torstol price
2016-01-06,7165
2016-01-07,7165
2016-01-08,6871
2016-01-09,6871
2016-01-10,6916
2016-01-11,6916
2016-01-12,7066
2016-01-13,7066
2016-01-14,6973
2016-01-15,6973
2016-01-16,6945
2016-01-17,6945
2016-01-18,7057
2016-01-19,7057
2016-01-20,7101
2016-01-21,7101
2016-01-22,7049
2016-01-23,7049
2016-01-24,7032
2016-01-25,7178
2016-01-26,7178
2016-01-27,7206
2016-01-28,7206
2016-01-29,7399
2016-01-30,7399
2016-01-31,7453
2016-02-01,7453
2016-02-02,7356
2016-02-03,7356
2016-02-04,7418
2016-02-05,7418
2016-02-06,7571
2016-02-07,7571
2016-02-08,7454
2016-02-09,7454
2016-02-10,7593
2016-02-11,7593
2016-02-12,7880
2016-02-13,8041
2016-02-14,8041
2016-02-15,8301
2016-02-16,8301
2016-02-17,8172
2016-02-18,8172
2016-02-19,8250
2016-02-20,8250
2016-02-21,8174
2016-02-22,8174
2016-02-23,8346
2016-02-24,8346
2016-02-25,8210
2016-02-26,8210
2016-02-27,8305
2016-02-28,8305
2016-02-29,8050
2016-03-01,8050
2016-03-02,7920
2016-03-03,7920
2016-03-04,7835
2016-03-05,7835
2016-03-06,7778
2016-03-07,7778
2016-03-08,7925
2016-03-09,7925
2016-03-10,7822
2016-03-11,7822
2016-03-12,7719
2016-03-13,7719
2016-03-14,7621
2016-03-15,7621
2016-03-16,7506
2016-03-17,7506
2016-03-18,7407
2016-03-19,7407
2016-03-20,7534
2016-03-21,7534
2016-03-22,7769
2016-03-23,7769
2016-03-24,7697
2016-03-25,7876
2016-03-26,7876
2016-03-27,7749
2016-03-28,7954
2016-03-29,7954
2016-03-30,7964
2016-03-31,7964
2016-04-01,7604
2016-04-02,7604
2016-04-03,7455
2016-04-04,7455
2016-04-05,7447
2016-04-06,7447
2016-04-07,7452
2016-04-08,7452
2016-04-09,7716
2016-04-10,7716
2016-04-11,7675
2016-04-12,7675
2016-04-13,7649
2016-04-14,7649
2016-04-15,7558
