date_obj,Morrigan's%20leather%20body price
2018-09-05,8000000
2018-09-06,8000000
2018-09-07,8000000
2018-09-08,8000000
2018-09-09,8000000
2018-09-10,8000000
2018-09-11,8000000
2018-09-12,8000000
2018-09-13,8000000
2018-09-14,8000000
2018-09-15,8000000
2018-09-16,8000000
2018-09-17,8000000
2018-09-18,8000000
2018-09-19,8000000
2018-09-20,8000000
2018-09-21,8000000
2018-09-22,8000000
2018-09-23,8000000
2018-09-24,8000000
2018-09-25,8000000
2018-09-26,8000000
2018-09-27,8000000
2018-09-28,8000000
2018-09-29,8000000
2018-09-30,8000000
2018-10-02,8000000
2018-10-03,8000000
2018-10-04,8000000
2018-10-05,8000000
2018-10-06,8000000
2018-10-07,8000000
2018-10-08,8000000
2018-10-09,8000000
2018-10-10,8000000
2018-10-11,8000000
2018-10-12,8000000
2018-10-13,8000000
2018-10-14,8000000
2018-10-15,8000000
2018-10-16,8000000
2018-10-17,8000000
2018-10-18,8000000
2018-10-19,8000000
2018-10-20,8000000
2018-10-21,8000000
2018-10-21,8000000
2018-10-22,8000000
2018-10-23,8000000
2018-10-23,8000000
2018-10-24,8000000
2018-10-25,8000000
2018-10-26,8000000
2018-10-26,8000000
2018-10-27,8000000
2018-10-28,8000000
2018-10-29,8000000
2018-10-30,8000000
2018-10-31,8000000
2018-11-01,8000000
2018-11-03,8000000
2018-11-04,8000000
2018-11-05,8000000
2018-11-06,8000000
2018-11-07,8000000
2018-11-08,8000000
2018-11-09,8000000
2018-11-10,8000000
2018-11-11,8000000
2018-11-12,8000000
2018-11-13,8000000
2018-11-14,8000000
2018-11-15,8000000
2018-11-16,8000000
2018-11-17,8000000
2018-11-18,8000000
2018-11-19,8000000
2018-11-20,8000000
2018-11-21,8000000
2018-11-22,8000000
2018-11-23,8000000
2018-11-24,8000000
2018-11-25,8000000
2018-11-26,8000000
2018-11-27,8000000
2018-11-28,8000000
2018-11-29,8000000
2018-12-01,8000000
2018-12-02,8000000
2018-12-03,8000000
2018-12-04,8000000
