date_obj,Twisted%20teleport%20scroll price
2020-01-13,100000
2020-01-14,100000
2020-01-15,105000
2020-01-16,110250
2020-01-17,115763
2020-01-18,121552
2020-01-19,127630
2020-01-20,134012
2020-01-21,140713
2020-01-22,147749
2020-01-23,155137
2020-01-24,162894
2020-01-25,171039
2020-01-26,179591
2020-01-27,188571
2020-01-28,198000
2020-01-29,207900
2020-01-30,218295
2020-01-31,229210
2020-02-01,240671
2020-02-02,252705
2020-02-03,265246
2020-02-04,278156
2020-02-05,291802
2020-02-06,306393
2020-02-07,321561
2020-02-08,336860
2020-02-09,352514
2020-02-10,370140
2020-02-11,388360
2020-02-12,407778
2020-02-13,426137
2020-02-14,435426
2020-02-15,455258
2020-02-16,477193
2020-02-17,500064
2020-02-18,522814
2020-02-19,522814
2020-02-20,548955
2020-02-21,548955
2020-02-22,576403
2020-02-23,603757
2020-02-24,632988
2020-02-25,632988
2020-02-26,661616
2020-02-27,661616
2020-02-28,694697
2020-02-29,694697
2020-03-01,729432
2020-03-02,729432
2020-03-03,758457
2020-03-04,758457
2020-03-05,772418
2020-03-06,741671
2020-03-07,741671
2020-03-08,706293
2020-03-09,706293
2020-03-10,688153
2020-03-11,688153
2020-03-12,667213
2020-03-13,667213
2020-03-14,662876
2020-03-15,662876
2020-03-16,646046
2020-03-17,646046
2020-03-18,628269
2020-03-19,628269
2020-03-20,654340
2020-03-21,654340
2020-03-22,668452
2020-03-23,668452
2020-03-24,692471
2020-03-25,692471
2020-03-26,713643
2020-03-27,713643
2020-03-28,713643
2020-03-29,734200
2020-03-30,734200
2020-03-31,760983
2020-04-01,787231
2020-04-02,787231
2020-04-03,777225
2020-04-04,777225
2020-04-05,778920
2020-04-06,778920
2020-04-07,741637
2020-04-08,705617
2020-04-09,705617
2020-04-10,705617
2020-04-11,709686
2020-04-12,709686
2020-04-13,681286
2020-04-14,681286
2020-04-15,678356
2020-04-16,678356
2020-04-17,669580
2020-04-18,669580
2020-04-19,662440
2020-04-20,662440
2020-04-21,645420
2020-04-22,645420
2020-04-23,614354
2020-04-24,614354
2020-04-25,586719
2020-04-26,586719
2020-04-27,570063
2020-04-28,570063
2020-04-29,579574
2020-04-30,579574
2020-05-01,575976
2020-05-02,575976
2020-05-03,575976
2020-05-04,549127
2020-05-05,549127
2020-05-06,538280
2020-05-07,538280
2020-05-08,538280
2020-05-09,558050
2020-05-10,558050
2020-05-11,558050
2020-05-12,564563
2020-05-13,564563
