date_obj,Spectral%20sigil price
2015-03-26,31593160
2015-03-27,31593160
2015-03-28,31593160
2015-03-29,31593160
2015-03-30,31593160
2015-03-31,31593160
2015-04-01,31593160
2015-04-02,31593160
2015-04-03,31593160
2015-04-04,31593160
2015-04-05,31593160
2015-04-06,32716758
2015-04-07,32716758
2015-04-08,32716758
2015-04-09,32716758
2015-04-10,32716758
2015-04-11,32716758
2015-04-12,32716758
2015-04-13,32716758
2015-04-14,32716758
2015-04-15,32716758
2015-04-16,32716758
2015-04-17,34039876
2015-04-18,34039876
2015-04-19,34039876
2015-04-20,34039876
2015-04-21,34039876
2015-04-22,34039876
2015-04-23,35568516
2015-04-24,35568516
2015-04-25,35568516
2015-04-26,35568516
2015-04-27,35568516
2015-04-28,35568516
2015-04-29,37048821
2015-04-30,37048821
2015-05-01,37048821
2015-05-02,37048821
2015-05-03,37048821
2015-05-04,37048821
2015-05-05,37048821
2015-05-06,37048821
2015-05-07,37048821
2015-05-08,37048821
2015-05-09,38687784
2015-05-10,38687784
2015-05-11,38687784
2015-05-12,38687784
2015-05-13,38687784
2015-05-14,38687784
2015-05-15,38687784
2015-05-16,38687784
2015-05-17,38687784
2015-05-18,38687784
2015-05-19,38687784
2015-05-20,38687784
2015-05-21,40105825
2015-05-22,40105825
2015-05-23,40105825
2015-05-24,40105825
2015-05-25,40105825
2015-05-26,40105825
2015-05-27,40105825
2015-05-28,40105825
2015-05-29,40105825
2015-05-30,40105825
2015-05-31,40105825
2015-06-01,40105825
2015-06-02,40105825
2015-06-03,40105825
2015-06-04,40105825
2015-06-05,40105825
2015-06-06,40105825
2015-06-07,40105825
2015-06-08,40105825
2015-06-09,40105825
2015-06-10,40105825
2015-06-11,40105825
2015-06-12,40105825
2015-06-13,40105825
2015-06-14,40105825
2015-06-15,40105825
2015-06-16,38894661
2015-06-17,38894661
2015-06-18,38894661
2015-06-19,38894661
2015-06-20,38894661
2015-06-21,38894661
2015-06-22,38894661
2015-06-23,38894661
2015-06-24,38894661
2015-06-25,38894661
2015-06-26,38894661
2015-06-27,38894661
2015-06-28,38894661
2015-06-29,38894661
2015-06-30,38894661
2015-07-01,38894661
2015-07-02,38894661
2015-07-03,38894661
2015-07-04,38894661
2015-07-05,38894661
2015-07-06,38894661
2015-07-07,38894661
2015-07-08,38894661
2015-07-09,38894661
