date_obj,Steel%20gold-trimmed%20set%20(sk) price
2016-07-06,3000000
2016-07-07,3000000
2016-07-08,3000000
2016-07-09,3000000
2016-07-10,3000000
2016-07-11,3000000
2016-07-12,3000000
2016-07-13,3000000
2016-07-14,3000000
2016-07-15,3000000
2016-07-16,3000000
2016-07-17,3000000
2016-07-18,3000000
2016-07-24,3000000
2016-07-25,3000000
2016-07-26,3000000
2016-07-27,3000000
2016-07-28,3000000
2016-07-29,3000000
2016-07-30,3000000
2016-07-31,3000000
2016-08-01,3000000
2016-08-02,3000000
2016-08-03,3000000
2016-08-04,3000000
2016-08-05,3000000
2016-08-06,3000000
2016-08-07,3000000
2016-08-08,3000000
2016-08-09,3000000
2016-08-10,3000000
2016-08-11,3000000
2016-08-12,3000000
2016-08-13,3000000
2016-08-14,3000000
2016-08-15,3000000
2016-08-16,3000000
2016-08-17,3000000
2016-08-18,3000000
2016-08-19,3000000
2016-08-20,3000000
2016-08-21,3000000
2016-08-22,3000000
2016-08-23,3000000
2016-08-24,3000000
2016-08-25,3000000
2016-08-26,3000000
2016-08-28,3000000
2016-08-31,3000000
2016-09-01,3000000
2016-09-02,3000000
2016-09-03,3000000
2016-09-04,3000000
2016-09-05,3000000
2016-09-06,3000000
2016-09-07,3000000
2016-09-08,3000000
2016-09-09,3000000
2016-09-10,3000000
2016-09-11,3000000
2016-09-12,3000000
2016-09-13,3000000
2016-09-14,3000000
2016-09-15,3000000
2016-09-16,3000000
2016-09-17,3000000
2016-09-18,3000000
2016-09-19,3000000
2016-09-20,3000000
2016-09-21,3000000
2016-09-22,3000000
2016-09-23,3000000
2016-09-24,3000000
2016-09-25,3000000
2016-09-26,3000000
2016-09-27,3000000
2016-09-28,3000000
2016-09-29,3000000
2016-09-30,3000000
2016-10-01,3000000
2016-10-02,3000000
2016-10-03,3000000
2016-10-04,3000000
2016-10-05,3000000
2016-10-06,3000000
2016-10-07,3000000
2016-10-08,3000000
2016-10-09,3000000
2016-10-10,3000000
2016-10-11,3000000
2016-10-12,3000000
2016-10-13,3000000
2016-10-14,3000000
2016-10-15,3000000
2016-10-16,3000000
2016-10-17,3000000
2016-10-18,3000000
2016-10-19,3000000
2016-10-20,3000000
2016-10-21,2855620
2016-10-22,2855620
2016-10-23,2855620
2016-10-24,2855620
2016-10-25,2855620
2016-10-26,2855620
2016-10-27,2855620
2016-10-28,2855620
2016-10-29,2855620
2016-10-30,2855620
2016-10-31,285000
2016-11-01,285000
2016-11-02,285000
2016-11-03,285000
2016-11-04,285000
2016-11-05,285000
2016-11-06,285000
2016-11-07,285000
2016-11-08,285000
2016-11-09,285000
2016-11-10,285000
2016-11-11,285000
2016-11-12,285000
2016-11-13,285000
2016-11-14,285000
2016-12-08,285000
2016-12-09,285000
2016-12-10,285000
2016-12-11,285000
2016-12-12,285000
2016-12-13,285000
2016-12-14,285000
2016-12-15,285000
2016-12-16,285000
2016-12-17,285000
2016-12-18,285000
2016-12-19,285000
2016-12-20,285000
2016-12-21,285000
2016-12-22,285000
2016-12-23,285000
2016-12-24,285000
2016-12-25,285000
2016-12-26,285000
2016-12-27,285000
2016-12-28,285000
2016-12-29,285000
2016-12-30,285000
2016-12-31,285000
2017-01-01,285000
2017-01-02,285000
2017-01-03,285000
2017-01-04,285000
2017-01-05,285000
2017-01-06,285000
2017-01-07,285000
2017-01-08,285000
2017-01-09,285000
2017-01-10,285000
2017-01-11,285000
2017-01-12,285000
2017-01-13,285000
2017-01-14,285000
2017-01-15,285000
2017-01-16,285000
2017-01-17,285000
2017-01-18,285000
2017-01-19,285000
2017-01-20,274169
2017-01-21,274169
2017-01-22,274169
2017-01-27,274169
2017-01-28,274169
2017-01-29,274169
2017-01-30,274169
2017-01-31,274169
2017-02-01,274169
2017-02-02,274169
2017-02-03,274169
2017-02-04,274169
2017-02-05,274169
2017-02-06,274169
2017-02-07,274169
2017-02-08,274169
2017-02-09,274169
2017-02-10,274169
2017-02-11,274169
2017-02-12,274169
2017-02-13,274169
2017-02-14,274169
2017-02-15,274169
2017-02-16,274169
2017-02-18,274169
2017-02-19,274169
2017-02-20,274169
2017-02-21,274169
2017-02-22,274169
2017-02-23,274169
2017-02-24,274169
2017-02-25,274169
2017-02-26,274169
2017-02-27,274169
2017-02-28,274169
2017-03-01,274169
2017-03-02,274169
2017-03-03,274169
2017-03-04,261279
2017-03-05,261279
2017-03-06,261279
2017-03-07,261279
2017-03-08,261279
2017-03-09,261279
2017-03-10,261279
2017-03-11,261279
2017-03-12,261279
2017-03-13,261279
2017-03-14,261279
2017-03-15,261279
2017-03-16,261279
2017-03-17,261279
2017-03-18,261279
2017-03-19,261279
2017-03-20,261279
2017-03-21,261279
2017-03-22,261279
2017-03-23,261279
2017-03-24,261279
2017-03-25,261279
2017-03-26,261279
2017-03-27,261279
2017-03-28,261279
2017-03-29,261279
2017-03-30,261279
2017-03-31,261279
2017-04-01,261279
2017-04-02,261279
2017-04-03,261279
2017-04-04,261279
2017-04-12,261279
2017-04-13,261279
2017-04-14,261279
2017-04-15,261279
2017-04-16,261279
2017-04-17,261279
2017-04-18,261279
2017-04-19,261279
2017-04-20,261279
2017-04-21,261279
2017-04-22,261279
