date_obj,Fremennik%20teal%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,10000
2015-03-09,10000
2015-03-10,10000
2015-03-11,10000
2015-03-12,10000
2015-03-13,10000
2015-03-14,10000
2015-03-15,10000
2015-03-16,10000
2015-03-17,10000
2015-03-18,10000
2015-03-19,10000
2015-03-20,10000
2015-03-21,10000
2015-03-22,10000
2015-03-23,10000
2015-03-24,10000
2015-03-25,10000
2015-03-26,10000
2015-03-27,10000
2015-03-28,10000
2015-03-29,10000
2015-03-30,10000
2015-03-31,10000
2015-04-01,10000
2015-04-02,9586
2015-04-03,9586
2015-04-04,9586
2015-04-05,9586
2015-04-06,9586
2015-04-07,9586
2015-04-08,9586
2015-04-09,9586
2015-04-10,9586
2015-04-11,9586
2015-04-12,9586
2015-04-13,9586
2015-04-14,9586
2015-04-15,9586
2015-04-16,9586
2015-04-17,9586
2015-04-18,9586
2015-04-19,9586
2015-04-20,9586
2015-04-21,9586
2015-04-22,9586
2015-04-23,9586
2015-04-24,9586
2015-04-25,9586
2015-04-26,9586
2015-04-27,9586
2015-04-28,9586
2015-04-29,9586
2015-04-30,9586
2015-05-01,9186
2015-05-02,9186
2015-05-03,9186
2015-05-04,9186
2015-05-05,9186
2015-05-06,9186
2015-05-07,9186
2015-05-08,9186
2015-05-09,9186
2015-05-10,9186
2015-05-11,9186
2015-05-12,9186
2015-05-13,9186
2015-05-14,9186
2015-05-15,9186
2015-05-16,9186
2015-05-17,9186
2015-05-18,9186
2015-05-19,9186
2015-05-20,9186
2015-05-21,9186
2015-05-22,9186
2015-05-23,9186
2015-05-24,9186
2015-05-25,9186
2015-05-26,9186
2015-05-27,9186
2015-05-28,8726
2015-05-29,8726
2015-05-30,8726
2015-05-31,8726
2015-06-01,8726
2015-06-02,8726
2015-06-03,8726
2015-06-04,8726
2015-06-05,8726
2015-06-06,8726
2015-06-07,8726
2015-06-08,8726
2015-06-09,8726
2015-06-10,8726
2015-06-11,8726
2015-06-12,8726
2015-06-13,8726
2015-06-14,8726
2015-06-15,8726
2015-06-16,8726
2015-06-17,8726
2015-06-18,8293
2015-06-19,8293
2015-06-20,8293
2015-06-21,8293
2015-06-22,8293
2015-06-23,8293
2015-06-24,8293
2015-06-25,8293
2015-06-26,8293
2015-06-27,8293
2015-06-28,8293
2015-06-29,8293
2015-06-30,8293
2015-07-01,8293
2015-07-02,8293
2015-07-03,8293
2015-07-04,8293
2015-07-05,8293
2015-07-06,8293
2015-07-07,7903
2015-07-08,7903
2015-07-09,7903
2015-07-10,7903
2015-07-11,7903
2015-07-12,7903
2015-07-13,7903
2015-07-14,7903
2015-07-15,7903
2015-07-16,7903
2015-07-17,7903
2015-07-18,7903
2015-07-19,7903
2015-07-20,7903
2015-07-21,7903
2015-07-22,7903
2015-07-23,7903
2015-07-24,7903
2015-07-25,7903
2015-07-26,7903
2015-07-27,7903
2015-07-28,7903
2015-07-29,7903
2015-07-30,7903
2015-07-31,7571
2015-08-01,7571
2015-08-02,7571
2015-08-03,7571
2015-08-04,7571
2015-08-05,7571
2015-08-06,7571
2015-08-07,7571
2015-08-08,7571
2015-08-09,7571
2015-08-10,7571
2015-08-11,7571
2015-08-12,7571
2015-08-13,7571
2015-08-14,7571
2015-08-15,7571
2015-08-16,7571
2015-08-17,7571
2015-08-18,7571
2015-08-19,7571
2015-08-20,7571
2015-08-21,7229
2015-08-22,7229
2015-08-23,7229
2015-08-24,7229
2015-08-25,7229
2015-08-26,7229
2015-08-27,7229
2015-08-28,7229
2015-08-29,7229
2015-08-30,7229
2015-08-31,7229
2015-09-02,7229
2015-09-07,7229
2015-09-08,7229
2015-09-10,7229
2015-09-14,6870
2015-09-16,6870
2015-09-22,6870
2015-09-23,6870
2015-09-24,6870
2015-09-25,6870
2015-09-27,6870
2015-09-28,6870
2015-09-29,6870
2015-09-30,6559
2015-10-05,6559
2015-10-06,6559
2015-10-07,6559
2015-10-08,6559
2015-10-09,6559
2015-10-10,6559
2015-10-11,6559
2015-10-12,6559
2015-10-13,6559
2015-10-14,6559
2015-10-15,6559
2015-10-16,6559
2015-10-17,6559
2015-10-18,6559
2015-10-19,6237
2015-10-20,6237
2015-10-22,6237
2015-10-23,6237
2015-10-24,6237
2015-10-25,6237
2015-10-26,6237
2015-10-27,6237
2015-10-29,6237
2015-10-30,6237
2015-10-31,6237
2015-11-01,6237
2015-11-02,6237
2015-11-03,6237
2015-11-04,6237
2015-11-05,6237
2015-11-06,6237
2015-11-07,6237
2015-11-08,6237
