date_obj,Sweetcorn%20seed price
2015-03-05,182
2015-03-06,172
2015-03-07,163
2015-03-08,154
2015-03-09,146
2015-03-10,138
2015-03-11,131
2015-03-12,124
2015-03-13,117
2015-03-14,111
2015-03-15,105
2015-03-16,99
2015-03-17,94
2015-03-18,94
2015-03-19,89
2015-03-20,84
2015-03-21,84
2015-03-22,83
2015-03-23,83
2015-03-24,81
2015-03-25,81
2015-03-26,80
2015-03-27,80
2015-03-28,77
2015-03-29,76
2015-03-30,76
2015-03-31,75
2015-04-01,75
2015-04-02,76
2015-04-03,76
2015-04-04,73
2015-04-05,73
2015-04-06,69
2015-04-07,65
2015-04-08,65
2015-04-09,63
2015-04-10,60
2015-04-11,59
2015-04-12,59
2015-04-13,58
2015-04-14,58
2015-04-15,56
2015-04-16,56
2015-04-17,53
2015-04-18,53
2015-04-19,50
2015-04-20,50
2015-04-21,47
2015-04-22,47
2015-04-23,44
2015-04-24,44
2015-04-25,41
2015-04-26,41
2015-04-27,38
2015-04-28,38
2015-04-29,36
2015-04-30,36
2015-05-01,34
2015-05-02,34
2015-05-03,34
2015-05-04,34
2015-05-05,33
2015-05-06,33
2015-05-07,31
2015-05-08,31
2015-05-09,31
2015-05-10,31
2015-05-11,30
2015-05-12,30
2015-05-13,30
2015-05-14,30
2015-05-15,31
2015-05-16,31
2015-05-17,31
2015-05-18,31
2015-05-19,31
2015-05-20,31
2015-05-21,31
2015-05-22,30
2015-05-23,30
2015-05-24,30
2015-05-25,30
2015-05-26,31
2015-05-27,31
2015-05-28,30
2015-05-29,30
2015-05-30,32
2015-05-31,32
2015-06-01,34
2015-06-02,34
2015-06-03,36
2015-06-04,36
2015-06-05,37
2015-06-06,37
2015-06-07,35
2015-06-08,35
2015-06-09,36
2015-06-10,38
2015-06-11,38
2015-06-12,40
2015-06-13,41
2015-06-14,41
2015-06-15,41
2015-06-16,41
2015-06-17,43
2015-06-18,46
2015-06-19,46
2015-06-20,49
2015-06-21,49
2015-06-22,52
2015-06-23,52
2015-06-24,54
2015-06-25,54
2015-06-26,57
2015-06-27,57
2015-06-28,60
2015-06-29,60
2015-06-30,62
2015-07-01,64
2015-07-02,64
2015-07-03,68
2015-07-04,72
2015-07-05,72
2015-07-06,74
2015-07-07,76
2015-07-08,77
2015-07-09,77
2015-07-10,78
2015-07-11,78
2015-07-12,80
2015-07-13,80
2015-07-14,80
2015-07-15,78
2015-07-16,78
2015-07-17,77
2015-07-18,77
2015-07-19,74
2015-07-20,71
2015-07-21,71
2015-07-22,69
2015-07-23,69
