date_obj,Doogle%20leaves price
2015-03-04,2
2015-03-05,2
2015-03-06,3
2015-03-07,3
2015-03-08,3
2015-03-09,3
2015-03-10,4
2015-03-11,4
2015-03-12,4
2015-03-13,4
2015-03-14,5
2015-03-15,5
2015-03-16,5
2015-03-17,5
2015-03-18,6
2015-03-19,6
2015-03-20,6
2015-03-21,6
2015-03-22,7
2015-03-23,7
2015-03-24,7
2015-03-25,7
2015-03-26,8
2015-03-27,8
2015-03-28,8
2015-03-29,8
2015-03-30,9
2015-03-31,9
2015-04-01,9
2015-04-02,9
2015-04-03,10
2015-04-04,10
2015-04-05,10
2015-04-06,10
2015-04-07,10
2015-04-08,10
2015-04-09,10
2015-04-10,10
2015-04-11,10
2015-04-12,10
2015-04-13,11
2015-04-14,11
2015-04-15,11
2015-04-16,11
2015-04-17,11
2015-04-18,11
2015-04-19,11
2015-04-20,11
2015-04-21,12
2015-04-22,12
2015-04-23,12
2015-04-24,12
2015-04-25,13
2015-04-26,13
2015-04-27,13
2015-04-28,14
2015-04-29,14
2015-04-30,14
2015-05-01,14
2015-05-02,14
2015-05-03,14
2015-05-04,14
2015-05-05,14
2015-05-06,15
2015-05-07,15
2015-05-08,15
2015-05-09,15
2015-05-10,16
2015-05-11,16
2015-05-12,16
2015-05-13,16
2015-05-14,17
2015-05-15,17
2015-05-16,17
2015-05-17,17
2015-05-18,18
2015-05-19,18
2015-05-20,18
2015-05-21,18
2015-05-22,18
2015-05-23,19
2015-05-24,19
2015-05-25,19
2015-05-26,19
2015-05-27,20
2015-05-28,20
2015-05-29,20
2015-05-30,20
2015-05-31,20
2015-06-01,20
2015-06-02,20
2015-06-03,21
2015-06-04,21
2015-06-05,21
2015-06-06,21
2015-06-07,22
2015-06-08,22
2015-06-09,22
2015-06-10,22
2015-06-11,23
2015-06-12,23
2015-06-13,23
2015-06-14,23
2015-06-15,24
2015-06-16,24
2015-06-17,24
2015-06-18,24
2015-06-19,25
2015-06-20,25
2015-06-21,25
2015-06-22,25
2015-06-23,26
2015-06-24,26
2015-06-25,26
2015-06-26,26
2015-06-27,27
2015-06-28,27
2015-06-29,27
2015-06-30,27
2015-07-01,28
2015-07-02,28
2015-07-03,28
2015-07-04,28
2015-07-05,29
2015-07-06,29
2015-07-07,29
2015-07-08,30
2015-07-09,30
2015-07-10,30
2015-07-11,30
2015-07-12,30
2015-07-13,31
2015-07-14,31
2015-07-15,31
2015-07-16,31
2015-07-17,32
2015-07-18,32
2015-07-19,32
2015-07-20,32
2015-07-21,33
2015-07-22,33
2015-07-23,33
2015-07-24,34
2015-07-25,34
2015-07-26,34
2015-07-27,34
2015-07-28,35
2015-07-29,35
2015-07-30,35
2015-07-31,35
2015-08-01,36
2015-08-02,36
2015-08-03,36
2015-08-04,37
2015-08-05,37
2015-08-06,37
2015-08-07,37
2015-08-08,38
2015-08-09,38
2015-08-10,38
2015-08-11,39
2015-08-12,39
2015-08-13,39
2015-08-14,39
2015-08-15,39
2015-08-16,39
2015-08-17,40
2015-08-18,40
2015-08-19,40
2015-08-20,40
2015-08-21,40
2015-08-22,41
2015-08-23,41
2015-08-24,41
2015-08-25,41
2015-08-26,41
2015-08-27,41
2015-08-28,43
2015-08-29,43
2015-08-30,43
2015-08-31,43
2015-09-02,43
2015-09-07,45
2015-09-08,45
2015-09-10,46
2015-09-14,46
2015-09-16,47
2015-09-22,48
2015-09-23,48
2015-09-24,48
2015-09-25,48
2015-09-27,48
2015-09-28,48
2015-09-29,49
2015-09-30,49
2015-10-05,50
2015-10-06,50
2015-10-07,50
2015-10-08,50
2015-10-09,50
2015-10-10,50
2015-10-11,52
2015-10-12,52
2015-10-13,52
2015-10-14,52
2015-10-15,52
2015-10-16,52
2015-10-17,52
2015-10-18,54
2015-10-19,54
2015-10-20,54
2015-10-22,54
2015-10-23,54
2015-10-24,54
2015-10-25,56
2015-10-26,56
2015-10-27,56
2015-10-29,56
2015-10-30,56
2015-10-31,56
2015-11-01,58
2015-11-02,58
2015-11-03,58
2015-11-04,58
2015-11-05,58
2015-11-06,58
2015-11-07,58
2015-11-08,60
2015-11-09,60
2015-11-10,60
2015-11-11,60
2015-11-12,60
2015-11-13,60
2015-11-14,60
2015-11-15,61
2015-11-16,61
2015-11-17,61
2015-11-18,61
2015-11-19,61
2015-11-20,61
2015-11-21,61
2015-11-22,64
2015-11-23,64
2015-11-24,64
2015-11-25,64
2015-11-26,64
2015-11-27,64
2015-11-28,64
2015-11-29,66
2015-11-30,66
2015-12-01,66
2015-12-02,66
2015-12-03,66
2015-12-04,66
2015-12-05,66
2015-12-06,69
2015-12-07,69
2015-12-08,69
2015-12-09,69
2015-12-10,69
2015-12-11,69
2015-12-12,72
2015-12-13,72
2015-12-14,72
2015-12-15,72
