date_obj,Desert%20shirt price
2015-03-26,5383
2015-03-27,5383
2015-03-28,5116
2015-03-29,5116
2015-03-30,4860
2015-03-31,4860
2015-04-01,4617
2015-04-02,4617
2015-04-03,4386
2015-04-04,4168
2015-04-05,4168
2015-04-06,3959
2015-04-07,3959
2015-04-08,3761
2015-04-09,3761
2015-04-10,3572
2015-04-11,3572
2015-04-12,3393
2015-04-13,3393
2015-04-14,3223
2015-04-15,3223
2015-04-16,3061
2015-04-17,3061
2015-04-18,2907
2015-04-19,2907
2015-04-20,2763
2015-04-21,2763
2015-04-22,2624
2015-04-23,2624
2015-04-24,2492
2015-04-25,2492
2015-04-26,2367
2015-04-27,2367
2015-04-28,2248
2015-04-29,2248
2015-04-30,2135
2015-05-01,2028
2015-05-02,1927
2015-05-03,1927
2015-05-04,1830
2015-05-05,1830
2015-05-06,1738
2015-05-07,1738
2015-05-08,1651
2015-05-09,1651
2015-05-10,1568
2015-05-11,1568
2015-05-12,1489
2015-05-13,1489
2015-05-14,1414
2015-05-15,1414
2015-05-16,1344
2015-05-17,1277
2015-05-18,1277
2015-05-19,1213
2015-05-20,1213
2015-05-21,1213
2015-05-22,1152
2015-05-23,1152
2015-05-24,1094
2015-05-25,1094
2015-05-26,1039
2015-05-27,1039
2015-05-28,987
2015-05-29,987
2015-05-30,937
2015-05-31,937
2015-06-01,890
2015-06-02,890
2015-06-03,845
2015-06-04,845
2015-06-05,802
2015-06-06,761
2015-06-07,761
2015-06-08,722
2015-06-09,686
2015-06-10,683
2015-06-11,683
2015-06-12,658
2015-06-13,628
2015-06-14,628
2015-06-15,598
2015-06-16,598
2015-06-17,568
2015-06-18,540
2015-06-19,540
2015-06-20,513
2015-06-21,513
2015-06-22,487
2015-06-23,487
2015-06-24,462
2015-06-25,462
2015-06-26,438
2015-06-27,438
2015-06-28,416
2015-06-29,416
2015-06-30,395
2015-07-01,381
2015-07-02,381
2015-07-03,382
2015-07-04,382
2015-07-05,382
2015-07-06,382
2015-07-07,369
2015-07-08,358
2015-07-09,358
2015-07-10,348
2015-07-11,348
2015-07-12,336
2015-07-13,336
2015-07-14,330
2015-07-15,330
2015-07-16,313
2015-07-17,301
2015-07-18,301
2015-07-19,300
2015-07-20,305
2015-07-21,305
2015-07-22,304
2015-07-23,304
2015-07-24,288
2015-07-25,288
2015-07-26,276
2015-07-27,276
2015-07-28,269
2015-07-29,263
2015-07-30,263
2015-07-31,250
2015-08-01,250
2015-08-02,250
2015-08-03,250
2015-08-04,248
2015-08-05,237
2015-08-06,237
2015-08-07,231
2015-08-08,222
2015-08-09,222
2015-08-10,213
2015-08-11,213
2015-08-12,213
2015-08-13,214
2015-08-14,215
2015-08-15,215
2015-08-16,215
2015-08-17,211
2015-08-18,211
2015-08-19,211
2015-08-20,211
2015-08-21,207
2015-08-22,207
2015-08-23,204
2015-08-24,195
2015-08-25,195
2015-08-26,195
2015-08-27,196
2015-08-28,196
2015-08-29,195
2015-08-30,195
2015-08-31,199
2015-09-01,199
2015-09-02,196
2015-09-03,196
2015-09-04,186
2015-09-05,186
