date_obj,Torstol%20seed price
2015-03-05,12508
2015-03-06,11937
2015-03-07,11419
2015-03-08,11009
2015-03-09,10682
2015-03-10,10707
2015-03-11,11240
2015-03-12,11802
2015-03-13,12393
2015-03-14,12891
2015-03-15,13536
2015-03-16,14213
2015-03-17,14924
2015-03-18,15671
2015-03-19,16455
2015-03-20,17278
2015-03-21,18038
2015-03-22,18792
2015-03-23,19623
2015-03-24,20243
2015-03-25,20412
2015-03-26,21058
2015-03-27,21058
2015-03-28,21671
2015-03-29,22218
2015-03-30,22716
2015-03-31,23603
2015-04-01,23911
2015-04-02,24475
2015-04-03,25150
2015-04-04,24977
2015-04-05,23792
2015-04-06,23158
2015-04-07,22308
2015-04-08,22526
2015-04-09,22785
2015-04-10,22991
2015-04-11,23914
2015-04-12,24898
2015-04-13,25598
2015-04-14,25981
2015-04-15,25674
2015-04-16,24598
2015-04-17,24108
2015-04-18,23380
2015-04-19,23222
2015-04-20,23564
2015-04-21,23656
2015-04-22,24625
2015-04-23,24231
2015-04-24,24053
2015-04-25,24534
2015-04-26,25054
2015-04-27,25957
2015-04-28,26252
2015-04-29,26506
2015-04-30,26645
2015-05-01,26659
2015-05-02,26453
2015-05-03,26948
2015-05-04,26302
2015-05-05,26945
2015-05-06,27740
2015-05-07,27275
2015-05-08,27615
2015-05-09,28570
2015-05-10,28123
2015-05-11,27263
2015-05-12,27172
2015-05-13,27501
2015-05-14,27435
2015-05-15,27377
2015-05-16,27268
2015-05-17,27697
2015-05-18,27617
2015-05-19,27323
2015-05-20,28394
2015-05-21,29570
2015-05-22,30023
2015-05-23,30499
2015-05-24,30753
2015-05-25,30795
2015-05-26,29772
2015-05-27,28828
2015-05-28,27868
2015-05-29,28305
2015-05-30,29141
2015-05-31,29356
2015-06-01,30207
2015-06-02,30097
2015-06-03,31239
2015-06-04,31409
2015-06-05,32331
2015-06-06,32841
2015-06-07,32440
2015-06-08,32521
2015-06-09,33119
2015-06-10,33768
2015-06-11,34176
2015-06-12,35207
2015-06-13,35490
2015-06-14,33917
2015-06-15,32739
2015-06-16,32051
2015-06-17,31803
2015-06-18,30774
2015-06-19,30735
2015-06-20,30973
2015-06-21,31186
2015-06-22,31411
2015-06-23,31672
2015-06-24,32222
2015-06-25,32914
2015-06-26,33581
2015-06-27,34556
2015-06-28,35165
2015-06-29,33927
2015-06-30,33816
2015-07-01,34549
2015-07-02,34554
2015-07-03,34783
2015-07-04,34847
2015-07-05,34032
2015-07-06,34289
2015-07-07,33604
2015-07-08,33956
2015-07-09,34744
2015-07-10,36213
2015-07-11,37143
2015-07-12,37464
2015-07-13,36477
2015-07-14,35767
2015-07-15,36085
2015-07-16,34791
2015-07-17,35116
2015-07-18,35816
2015-07-19,36076
2015-07-20,35814
2015-07-21,35309
2015-07-22,34949
2015-07-23,35019
2015-07-24,36160
2015-07-25,36406
2015-07-26,36889
2015-07-27,38132
2015-07-28,39013
2015-07-29,40551
2015-07-30,42206
2015-07-31,42179
2015-08-01,41989
2015-08-02,42956
2015-08-03,41402
2015-08-04,42222
2015-08-05,41966
2015-08-06,43343
2015-08-07,44552
2015-08-08,45349
2015-08-09,44608
2015-08-10,43953
2015-08-11,44813
2015-08-12,44661
2015-08-13,46610
2015-08-14,45994
2015-08-15,44820
2015-08-16,43771
2015-08-17,43172
2015-08-18,43562
2015-08-19,44220
2015-08-20,45112
2015-08-21,43495
2015-08-22,41323
2015-08-23,42050
2015-08-24,41157
2015-08-25,41148
2015-08-26,41409
2015-08-27,39831
2015-08-28,38105
2015-08-29,36505
2015-08-30,35603
2015-08-31,35603
2015-09-02,32640
2015-09-07,39156
2015-09-08,40268
2015-09-10,38158
2015-09-14,39558
2015-09-16,39919
2015-09-22,36873
2015-09-23,36237
2015-09-24,35972
2015-09-25,35613
2015-09-27,34688
2015-09-28,35091
2015-09-29,35689
2015-09-30,34818
2015-10-05,31298
2015-10-06,31430
2015-10-07,31002
2015-10-08,29620
2015-10-09,28781
2015-10-10,27933
2015-10-11,28729
2015-10-12,29298
2015-10-13,30125
2015-10-14,30075
2015-10-15,29452
2015-10-16,28566
2015-10-17,29277
2015-10-18,29329
2015-10-19,30289
2015-10-20,30792
2015-10-22,30409
2015-10-23,31041
2015-10-24,30682
2015-10-25,31198
2015-10-26,30030
2015-10-27,30452
2015-10-29,32023
2015-10-30,32891
2015-10-31,33578
2015-11-01,32983
2015-11-02,31864
2015-11-03,30617
2015-11-04,29833
2015-11-05,30153
2015-11-06,29280
2015-11-07,29198
2015-11-08,30127
2015-11-09,29430
2015-11-10,29465
2015-11-11,29515
2015-11-12,28941
2015-11-13,29655
2015-11-14,29642
2015-11-15,29943
2015-11-16,29814
2015-11-17,29083
